State_Name,Year,Assembly_No,Party,Total_Cand,Winners,Deposit_Lost,Avg_Winning_Margin,Strike_Rate,position
Maharashtra,2019,13,AIMIM,44,2,35,0.48,4.55,13
Maharashtra,2019,13,BJP,164,105,3,10.64,64.02,3
Maharashtra,2019,13,BVA,31,3,28,1.01,9.68,10
Maharashtra,2019,13,CPIM,11,1,9,0.26,9.09,11
Maharashtra,2019,13,INC,147,44,25,3.85,29.93,6
Maharashtra,2019,13,IND,1399,13,1339,0.1,0.93,16
Maharashtra,2019,13,JSS,4,1,2,3.01,25.0,8
Maharashtra,2019,13,KTSTP,1,1,0,14.49,100.0,1
Maharashtra,2019,13,MNS,101,1,87,0.04,0.99,15
Maharashtra,2019,13,NCP,121,54,16,6.59,44.63,4
Maharashtra,2019,13,PHJSP,26,2,24,1.05,7.69,12
Maharashtra,2019,13,PWPI,24,1,18,1.39,4.17,14
Maharashtra,2019,13,RSPS,1,1,0,6.69,100.0,2
Maharashtra,2019,13,SHS,126,56,9,7.93,44.44,5
Maharashtra,2019,13,SP,7,2,5,2.7,28.57,7
Maharashtra,2019,13,SWP,5,1,2,1.02,20.0,9
Maharashtra,2014,12,AIMIM,24,2,14,0.49,8.33,6
Maharashtra,2014,12,BBM,70,1,62,0.06,1.43,11
Maharashtra,2014,12,BJP,260,122,49,7.29,46.92,1
Maharashtra,2014,12,BVA,36,3,33,1.34,8.33,7
Maharashtra,2014,12,CPM,20,1,18,0.14,5.0,9
Maharashtra,2014,12,INC,287,42,152,1.44,14.63,5
Maharashtra,2014,12,IND,1699,7,1683,0.02,0.41,13
Maharashtra,2014,12,MNS,219,1,209,0.04,0.46,12
Maharashtra,2014,12,NCP,278,41,158,1.71,14.75,4
Maharashtra,2014,12,PWPI,51,3,45,0.45,5.88,8
Maharashtra,2014,12,RSPS,6,1,2,0.95,16.67,3
Maharashtra,2014,12,SHS,282,63,129,2.39,22.34,2
Maharashtra,2014,12,SP,22,1,21,0.35,4.55,10
Maharashtra,2009,11,BBM,103,1,98,0.09,0.97,15
Maharashtra,2009,11,BJP,119,46,15,4.11,38.66,5
Maharashtra,2009,11,BVA,4,2,1,8.41,50.0,2
Maharashtra,2009,11,CPM,20,1,17,0.61,5.0,12
Maharashtra,2009,11,INC,169,82,9,5.94,48.52,4
Maharashtra,2009,11,IND,1820,24,1747,0.12,1.32,14
Maharashtra,2009,11,JSS,37,2,26,0.44,5.41,11
Maharashtra,2009,11,LKSGM,2,1,1,10.54,50.0,3
Maharashtra,2009,11,MNS,143,13,92,1.12,9.09,9
Maharashtra,2009,11,NCP,113,62,4,7.67,54.87,1
Maharashtra,2009,11,PWPI,17,4,11,2.16,23.53,7
Maharashtra,2009,11,RSPS,26,1,25,0.05,3.85,13
Maharashtra,2009,11,SHS,160,44,33,3.05,27.5,6
Maharashtra,2009,11,SP,31,4,25,0.95,12.9,8
Maharashtra,2009,11,SWP,14,1,10,1.41,7.14,10
Maharashtra,2004,10,ABHS,20,1,18,0.95,5.0,8
Maharashtra,2004,10,BBM,83,1,76,0.04,1.2,12
Maharashtra,2004,10,BJP,111,54,10,4.45,48.65,2
Maharashtra,2004,10,CPM,16,3,13,1.99,18.75,6
Maharashtra,2004,10,INC,157,69,8,7.34,43.95,3
Maharashtra,2004,10,IND,1083,19,1002,0.23,1.75,11
Maharashtra,2004,10,JSS,19,4,12,0.81,21.05,5
Maharashtra,2004,10,NCP,124,71,1,8.44,57.26,1
Maharashtra,2004,10,PWPI,43,2,35,0.49,4.65,10
Maharashtra,2004,10,RPI(A),20,1,16,0.76,5.0,9
Maharashtra,2004,10,SHS,163,62,15,4.3,38.04,4
Maharashtra,2004,10,STBP,7,1,4,0.74,14.29,7
Maharashtra,1999,9,BBM,34,3,18,0.78,8.82,10
Maharashtra,1999,9,BJP,117,56,13,6.6,47.86,2
Maharashtra,1999,9,CPM,23,2,20,1.07,8.7,11
Maharashtra,1999,9,GGP,16,1,15,0.02,6.25,13
Maharashtra,1999,9,INC,249,75,41,3.42,30.12,4
Maharashtra,1999,9,IND,837,12,789,0.14,1.43,14
Maharashtra,1999,9,JD(S),25,2,13,0.61,8.0,12
Maharashtra,1999,9,NCP,223,58,53,2.97,26.01,5
Maharashtra,1999,9,NVPP,1,1,0,34.39,100.0,1
Maharashtra,1999,9,PWPI,22,5,12,2.83,22.73,6
Maharashtra,1999,9,RPI,10,1,4,0.43,10.0,9
Maharashtra,1999,9,SHS,161,69,28,5.5,42.86,3
Maharashtra,1999,9,SJP(M),5,1,4,0.62,20.0,7
Maharashtra,1999,9,SP,15,2,10,1.43,13.33,8
Maharashtra,1995,8,BJP,116,65,25,8.39,56.03,1
Maharashtra,1995,8,CPM,18,3,12,1.4,16.67,6
Maharashtra,1995,8,INC,286,80,35,3.44,27.97,5
Maharashtra,1995,8,IND,3178,45,3046,0.18,1.42,10
Maharashtra,1995,8,JD,182,11,151,0.94,6.04,9
Maharashtra,1995,8,MVC,3,1,2,1.09,33.33,4
Maharashtra,1995,8,NVAS,2,1,1,16,50.0,2
Maharashtra,1995,8,PWP,42,6,26,1.64,14.29,7
Maharashtra,1995,8,SHS,169,73,60,6.94,43.2,3
Maharashtra,1995,8,SP,22,3,15,0.56,13.64,8
Maharashtra,1990,7,BJP,104,42,23,4.53,40.38,2
Maharashtra,1990,7,CPI,16,2,12,1.38,12.5,6
Maharashtra,1990,7,CPM,13,3,9,3.56,23.08,4
Maharashtra,1990,7,ICS(SCS),71,1,67,0.29,1.41,10
Maharashtra,1990,7,INC,276,141,10,8.81,51.09,1
Maharashtra,1990,7,IND,2286,13,2212,0.05,0.57,11
Maharashtra,1990,7,JD,214,24,128,0.96,11.21,7
Maharashtra,1990,7,MUL,9,1,5,1.92,11.11,8
Maharashtra,1990,7,PWP,40,8,23,2.1,20.0,5
Maharashtra,1990,7,RPK,18,1,15,0.76,5.56,9
Maharashtra,1990,7,SHS,183,52,64,3.51,28.42,3
Maharashtra,1985,6,BJP,67,16,14,2.42,23.88,5
Maharashtra,1985,6,CPI,31,2,26,1.16,6.45,7
Maharashtra,1985,6,CPM,14,2,8,2.96,14.29,6
Maharashtra,1985,6,ICS,126,54,14,5.84,42.86,3
Maharashtra,1985,6,INC,287,161,7,10.29,56.1,1
Maharashtra,1985,6,IND,1506,20,1420,0.18,1.33,8
Maharashtra,1985,6,JNP,61,20,7,3.84,32.79,4
Maharashtra,1985,6,PWP,29,13,4,8.08,44.83,2
Maharashtra,1980,5,BJP,145,14,74,0.78,9.66,7
Maharashtra,1980,5,CPI,17,2,7,4.03,11.76,6
Maharashtra,1980,5,CPM,10,2,2,1.61,20.0,4
Maharashtra,1980,5,INC(I),286,186,5,12.35,65.03,1
Maharashtra,1980,5,INC(U),192,47,56,3.88,24.48,2
Maharashtra,1980,5,IND,612,10,570,0.28,1.63,9
Maharashtra,1980,5,JNP(JP),111,17,50,1.78,15.32,5
Maharashtra,1980,5,PWP,41,9,13,2.55,21.95,3
Maharashtra,1980,5,RPK,42,1,35,0.28,2.38,8
Maharashtra,1978,4,CPI,48,1,41,0.03,2.08,10
Maharashtra,1978,4,CPM,12,9,2,14.55,75.0,1
Maharashtra,1978,4,FBL,6,3,1,21.03,50.0,2
Maharashtra,1978,4,INC,259,69,77,3.88,26.64,5
Maharashtra,1978,4,INC(I),203,62,85,6.83,30.54,4
Maharashtra,1978,4,IND,894,28,822,0.61,3.13,9
Maharashtra,1978,4,JNP,215,99,26,9.84,46.05,3
Maharashtra,1978,4,PWP,88,13,47,1.48,14.77,6
Maharashtra,1978,4,RPI,25,2,16,0.35,8.0,8
Maharashtra,1978,4,RPK,23,2,12,0.22,8.7,7
Maharashtra,1972,3,BJS,122,5,85,0.17,4.1,10
Maharashtra,1972,3,BKD,2,1,0,19.04,50.0,3
Maharashtra,1972,3,CPI,44,2,26,0.29,4.55,9
Maharashtra,1972,3,CPM,20,1,15,0.26,5.0,8
Maharashtra,1972,3,FBL,26,2,10,0.64,7.69,5
Maharashtra,1972,3,INC,271,222,1,27.08,81.92,2
Maharashtra,1972,3,IND,343,23,272,1.02,6.71,6
Maharashtra,1972,3,MUL,1,1,0,11.51,100.0,1
Maharashtra,1972,3,PWP,58,7,21,2.22,12.07,4
Maharashtra,1972,3,RPI,118,2,103,0.04,1.69,12
Maharashtra,1972,3,SHS,26,1,18,0.06,3.85,11
Maharashtra,1972,3,SOP,52,3,18,0.57,5.77,7
Maharashtra,1967,2,BJS,166,4,116,0.26,2.41,9
Maharashtra,1967,2,CPI,41,10,7,3.48,24.39,3
Maharashtra,1967,2,CPM,11,1,3,0.4,9.09,5
Maharashtra,1967,2,INC,270,203,0,14.72,75.19,1
Maharashtra,1967,2,IND,463,16,391,0.47,3.46,8
Maharashtra,1967,2,PSP,66,8,40,1.64,12.12,4
Maharashtra,1967,2,PWP,58,19,11,4.32,32.76,2
Maharashtra,1967,2,RPI,79,5,29,0.96,6.33,7
Maharashtra,1967,2,SSP,48,4,14,0.51,8.33,6
Maharashtra,1962,1,CPI,56,6,13,1.59,10.71,3
Maharashtra,1962,1,INC,264,214,1,21.39,81.06,1
Maharashtra,1962,1,IND,437,15,347,0.54,3.43,7
Maharashtra,1962,1,PSP,101,10,47,0.92,9.9,4
Maharashtra,1962,1,PWP,79,15,30,1.78,18.99,2
Maharashtra,1962,1,REP,66,3,27,0.26,4.55,6
Maharashtra,1962,1,SOC,14,1,12,0.52,7.14,5
