Assembly_No,TCPD_Prof_Main,MLAs_var
13,Agriculture,79
13,Business,129
13,Education,1
13,Former Government,1
13,Liberal Profession or Professional,6
13,Other,28
13,Politics,13
13,Retired or Pension,4
13,Salaried Work or Employed,6
13,Small Business or Self-employed,5
13,Social Work,8
13,Unknown,8
12,Agricultural Labour,1
12,Agriculture,80
12,Business,117
12,Liberal Profession or Professional,11
12,Other,37
12,Politics,4
12,Retired or Pension,1
12,Salaried Work or Employed,10
12,Small Business or Self-employed,4
12,Social Work,12
12,Unknown,11
11,Other,247
11,Unknown,41
10,Other,277
10,Unknown,11
