Assembly_No,Party_ID,MyNeta_education,MLAs_var_Party,Party_MLAs,Year,Party,pty_mla_var_perc
13,706,10th Pass,1,2,2019,AIMIM,50
13,706,Unknown,1,2,2019,AIMIM,50
13,1605,10th Pass,16,105,2019,BJP,15.24
13,1605,12th Pass,13,105,2019,BJP,12.38
13,1605,5th Pass,4,105,2019,BJP,3.81
13,1605,8th Pass,3,105,2019,BJP,2.86
13,1605,Doctorate,3,105,2019,BJP,2.86
13,1605,Graduate,30,105,2019,BJP,28.57
13,1605,Graduate Professional,20,105,2019,BJP,19.05
13,1605,Literate,2,105,2019,BJP,1.9
13,1605,Others,3,105,2019,BJP,2.86
13,1605,Post Graduate,10,105,2019,BJP,9.52
13,1605,Unknown,1,105,2019,BJP,0.95
13,9677,12th Pass,1,3,2019,BVA,33.33
13,9677,Graduate,1,3,2019,BVA,33.33
13,9677,Post Graduate,1,3,2019,BVA,33.33
13,2560,12th Pass,1,1,2019,CPIM,100
13,3482,10th Pass,4,44,2019,INC,9.09
13,3482,12th Pass,8,44,2019,INC,18.18
13,3482,8th Pass,2,44,2019,INC,4.55
13,3482,Doctorate,2,44,2019,INC,4.55
13,3482,Graduate,10,44,2019,INC,22.73
13,3482,Graduate Professional,6,44,2019,INC,13.64
13,3482,Literate,1,44,2019,INC,2.27
13,3482,Post Graduate,11,44,2019,INC,25
13,10809,10th Pass,1,13,2019,IND,7.69
13,10809,12th Pass,4,13,2019,IND,30.77
13,10809,Graduate,4,13,2019,IND,30.77
13,10809,Graduate Professional,1,13,2019,IND,7.69
13,10809,Others,1,13,2019,IND,7.69
13,10809,Unknown,2,13,2019,IND,15.38
13,4180,12th Pass,1,1,2019,JSS,100
13,24510,Graduate,1,1,2019,KTSTP,100
13,11633,10th Pass,1,1,2019,MNS,100
13,5792,10th Pass,8,54,2019,NCP,14.81
13,5792,12th Pass,9,54,2019,NCP,16.67
13,5792,5th Pass,1,54,2019,NCP,1.85
13,5792,8th Pass,2,54,2019,NCP,3.7
13,5792,Doctorate,1,54,2019,NCP,1.85
13,5792,Graduate,12,54,2019,NCP,22.22
13,5792,Graduate Professional,10,54,2019,NCP,18.52
13,5792,Others,1,54,2019,NCP,1.85
13,5792,Post Graduate,8,54,2019,NCP,14.81
13,5792,Unknown,2,54,2019,NCP,3.7
13,24532,12th Pass,1,2,2019,PHJSP,50
13,24532,Post Graduate,1,2,2019,PHJSP,50
13,12019,Post Graduate,1,1,2019,PWPI,100
13,6792,Unknown,1,1,2019,RSPS,100
13,18691,10th Pass,12,56,2019,SHS,21.43
13,18691,12th Pass,12,56,2019,SHS,21.43
13,18691,5th Pass,1,56,2019,SHS,1.79
13,18691,8th Pass,5,56,2019,SHS,8.93
13,18691,Graduate,14,56,2019,SHS,25
13,18691,Graduate Professional,6,56,2019,SHS,10.71
13,18691,Literate,1,56,2019,SHS,1.79
13,18691,Others,1,56,2019,SHS,1.79
13,18691,Post Graduate,3,56,2019,SHS,5.36
13,18691,Unknown,1,56,2019,SHS,1.79
13,7425,Graduate,2,2,2019,SP,100
13,12961,12th Pass,1,1,2019,SWP,100
12,706,Graduate Professional,1,2,2014,AIMIM,50
12,706,Post Graduate,1,2,2014,AIMIM,50
12,1875,Unknown,1,1,2014,BBM,100
12,1605,10th Pass,16,122,2014,BJP,13.11
12,1605,12th Pass,18,122,2014,BJP,14.75
12,1605,5th Pass,5,122,2014,BJP,4.1
12,1605,8th Pass,5,122,2014,BJP,4.1
12,1605,Doctorate,5,122,2014,BJP,4.1
12,1605,Graduate,32,122,2014,BJP,26.23
12,1605,Graduate Professional,20,122,2014,BJP,16.39
12,1605,Literate,1,122,2014,BJP,0.82
