Assembly_No,Total_Candidates,No_Incumbents,Successful_Incumbents,Total_Seats,Turncoats,Successful_Turncoats,No_Recontests,First_contests,Second_contests,Multiple_contests,No_first_time_winners,First_Contest_winners,Year,Party_ID,pty_Total_Candidates,pty_Incumbents,pty_Turncoats,pty_Recontests,pty_First_contests,pty_Second_contests,pty_Multiple_contests,pty_first_time_winners,pty_First_Contest_winners,pty_Successful_Incumbents,pty_Successful_Turncoats,Party,pty_recontests_pct,Color,pty_incm_recontests_pct,hover_pty_incm_recontests_pct,pty_incm_Strike_Rate,hover_pty_incm_Strike_Rate,pty_turn_Strike_Rate,hover_pty_turn_Strike_Rate,pty_fist_time_winners_pct
13,3237,227,127,288,97,34,450,2720,216,301,118,78,2019,13,24,0,0,0,24,0,0,0,0,0,0,AAAP,0,#87CEEB,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
13,3237,227,127,288,97,34,450,2720,216,301,118,78,2019,18403,3,0,0,0,3,0,0,0,0,0,0,AAPP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
13,3237,227,127,288,97,34,450,2720,216,301,118,78,2019,24485,2,0,0,0,2,0,0,0,0,0,0,ABEP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
13,3237,227,127,288,97,34,450,2720,216,301,118,78,2019,268,7,0,0,0,7,0,0,0,0,0,0,ABHM,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
13,3237,227,127,288,97,34,450,2720,216,301,118,78,2019,8690,3,0,0,1,2,1,0,0,0,0,0,ABHS,0.22,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
13,3237,227,127,288,97,34,450,2720,216,301,118,78,2019,8736,1,0,0,0,1,0,0,0,0,0,0,ABMP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
13,3237,227,127,288,97,34,450,2720,216,301,118,78,2019,3040,1,0,0,0,1,0,0,0,0,0,0,AIFB,0,#DA0000,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
13,3237,227,127,288,97,34,450,2720,216,301,118,78,2019,726,1,0,0,0,1,0,0,0,0,0,0,AIMF,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
13,3237,227,127,288,97,34,450,2720,216,301,118,78,2019,706,44,1,1,3,41,2,1,2,2,0,0,AIMIM,0.67,#285B35,0.44,1 (0.44%),0,0.0% (0/1),0,0.0% (0/1),1.69
13,3237,227,127,288,97,34,450,2720,216,301,118,78,2019,840,6,0,0,0,6,0,0,0,0,0,0,ANC,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
13,3237,227,127,288,97,34,450,2720,216,301,118,78,2019,880,28,0,0,0,28,0,0,0,0,0,0,APoI,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
13,3237,227,127,288,97,34,450,2720,216,301,118,78,2019,873,3,0,0,0,3,0,0,0,0,0,0,ARP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
13,3237,227,127,288,97,34,450,2720,216,301,118,78,2019,24483,4,0,0,0,4,0,0,0,0,0,0,AimPP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
13,3237,227,127,288,97,34,450,2720,216,301,118,78,2019,1060,25,0,0,0,25,0,0,0,0,0,0,BAHUMP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
13,3237,227,127,288,97,34,450,2720,216,301,118,78,2019,18015,23,0,0,0,23,0,0,0,0,0,0,BALP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
13,3237,227,127,288,97,34,450,2720,216,301,118,78,2019,1096,3,0,0,0,3,0,0,0,0,0,0,BARESP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
13,3237,227,127,288,97,34,450,2720,216,301,118,78,2019,24491,1,0,0,0,1,0,0,0,0,0,0,BDNP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
13,3237,227,127,288,97,34,450,2720,216,301,118,78,2019,1890,1,0,0,0,1,0,0,0,0,0,0,BHABHAPA,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
13,3237,227,127,288,97,34,450,2720,216,301,118,78,2019,18101,1,0,0,0,1,0,0,0,0,0,0,BHAPRAP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
13,3237,227,127,288,97,34,450,2720,216,301,118,78,2019,24492,1,0,0,0,1,0,0,0,0,0,0,BHJSRP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
13,3237,227,127,288,97,34,450,2720,216,301,118,78,2019,24496,1,0,0,0,1,0,0,0,0,0,0,BHYS,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
13,3237,227,127,288,97,34,450,2720,216,301,118,78,2019,1605,164,103,21,120,37,50,77,28,21,69,13,BJP,26.67,#ff9933,45.37,103 (45.37%),66.99,66.99% (69/103),61.9,61.9% (13/21),23.73
13,3237,227,127,288,97,34,450,2720,216,301,118,78,2019,18060,4,0,0,0,4,0,0,0,0,0,0,BMFP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
13,3237,227,127,288,97,34,450,2720,216,301,118,78,2019,1731,1,0,0,0,1,0,0,0,0,0,0,BMSM,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
13,3237,227,127,288,97,34,450,2720,216,301,118,78,2019,1074,81,0,0,5,76,5,0,0,0,0,0,BMUP,1.11,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
13,3237,227,127,288,97,34,450,2720,216,301,118,78,2019,17432,2,0,0,0,2,0,0,0,0,0,0,BPSJP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
13,3237,227,127,288,97,34,450,2720,216,301,118,78,2019,16651,262,0,2,14,242,15,5,0,0,0,0,BSP,3.11,#003399,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/2),0
13,3237,227,127,288,97,34,450,2720,216,301,118,78,2019,2055,10,0,1,1,9,1,0,0,0,0,0,BTP,0.22,#bddc3e,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/1),0
