Assembly_No,Party_ID,TCPD_Prof_Main,MLAs_var_Party,Party_MLAs,Year,Party,pty_mla_var_perc
13,706,Business,1,2,2019,AIMIM,50
13,706,Unknown,1,2,2019,AIMIM,50
13,1605,Agriculture,27,105,2019,BJP,25.71
13,1605,Business,44,105,2019,BJP,41.9
13,1605,Education,1,105,2019,BJP,0.95
13,1605,Former Government,1,105,2019,BJP,0.95
13,1605,Liberal Profession or Professional,2,105,2019,BJP,1.9
13,1605,Other,14,105,2019,BJP,13.33
13,1605,Politics,6,105,2019,BJP,5.71
13,1605,Salaried Work or Employed,3,105,2019,BJP,2.86
13,1605,Small Business or Self-employed,2,105,2019,BJP,1.9
13,1605,Social Work,4,105,2019,BJP,3.81
13,1605,Unknown,1,105,2019,BJP,0.95
13,9677,Business,3,3,2019,BVA,100
13,2560,Social Work,1,1,2019,CPIM,100
13,3482,Agriculture,9,44,2019,INC,20.45
13,3482,Business,24,44,2019,INC,54.55
13,3482,Liberal Profession or Professional,1,44,2019,INC,2.27
13,3482,Other,6,44,2019,INC,13.64
13,3482,Politics,3,44,2019,INC,6.82
13,3482,Retired or Pension,1,44,2019,INC,2.27
13,10809,Agriculture,4,13,2019,IND,30.77
13,10809,Business,5,13,2019,IND,38.46
13,10809,Retired or Pension,1,13,2019,IND,7.69
13,10809,Social Work,1,13,2019,IND,7.69
13,10809,Unknown,2,13,2019,IND,15.38
13,4180,Agriculture,1,1,2019,JSS,100
13,24510,Agriculture,1,1,2019,KTSTP,100
13,11633,Business,1,1,2019,MNS,100
13,5792,Agriculture,22,54,2019,NCP,40.74
13,5792,Business,22,54,2019,NCP,40.74
13,5792,Liberal Profession or Professional,1,54,2019,NCP,1.85
13,5792,Other,2,54,2019,NCP,3.7
13,5792,Politics,1,54,2019,NCP,1.85
13,5792,Retired or Pension,1,54,2019,NCP,1.85
13,5792,Salaried Work or Employed,1,54,2019,NCP,1.85
13,5792,Small Business or Self-employed,1,54,2019,NCP,1.85
13,5792,Social Work,1,54,2019,NCP,1.85
13,5792,Unknown,2,54,2019,NCP,3.7
13,24532,Agriculture,1,2,2019,PHJSP,50
13,24532,Other,1,2,2019,PHJSP,50
13,12019,Retired or Pension,1,1,2019,PWPI,100
13,6792,Unknown,1,1,2019,RSPS,100
13,18691,Agriculture,14,56,2019,SHS,25
13,18691,Business,28,56,2019,SHS,50
13,18691,Liberal Profession or Professional,2,56,2019,SHS,3.57
13,18691,Other,3,56,2019,SHS,5.36
13,18691,Politics,3,56,2019,SHS,5.36
13,18691,Salaried Work or Employed,2,56,2019,SHS,3.57
13,18691,Small Business or Self-employed,2,56,2019,SHS,3.57
13,18691,Social Work,1,56,2019,SHS,1.79
13,18691,Unknown,1,56,2019,SHS,1.79
13,7425,Business,1,2,2019,SP,50
13,7425,Other,1,2,2019,SP,50
13,12961,Other,1,1,2019,SWP,100
12,706,Liberal Profession or Professional,1,2,2014,AIMIM,50
12,706,Other,1,2,2014,AIMIM,50
12,1875,Unknown,1,1,2014,BBM,100
12,1605,Agriculture,26,122,2014,BJP,21.31
12,1605,Business,53,122,2014,BJP,43.44
12,1605,Liberal Profession or Professional,5,122,2014,BJP,4.1
12,1605,Other,23,122,2014,BJP,18.85
12,1605,Politics,2,122,2014,BJP,1.64
12,1605,Retired or Pension,1,122,2014,BJP,0.82
12,1605,Salaried Work or Employed,4,122,2014,BJP,3.28
12,1605,Small Business or Self-employed,1,122,2014,BJP,0.82
12,1605,Social Work,5,122,2014,BJP,4.1
