Assembly_No,MyNeta_education,MLAs_var
13,10th Pass,4
13,12th Pass,9
13,Doctorate,1
13,Graduate,22
13,Graduate Professional,5
13,Others,1
13,Post Graduate,18
12,10th Pass,5
12,12th Pass,6
12,5th Pass,1
12,Graduate,23
12,Graduate Professional,2
12,Illiterate,1
12,Others,3
12,Post Graduate,9
12,Unknown,10
11,10th Pass,3
11,12th Pass,4
11,5th Pass,1
11,Doctorate,3
11,Graduate,17
11,Graduate Professional,10
11,Others,1
11,Post Graduate,14
11,Unknown,7
10,10th Pass,2
10,12th Pass,7
10,8th Pass,1
10,Doctorate,4
10,Graduate,15
10,Graduate Professional,6
10,Post Graduate,14
10,Unknown,11
