Assembly_No,Total_Candidates,Contesting_Incumbents,Successful_Incumbents,Total_Seats,Turncoats,Successful_Turncoats,Recontesting_Candidates,First_Contests,Second_Contests,Multiple_Contests,No_first_time_winners,First_Contest_Winners,Year,Recontesting_Candidates_pct,First_Contests_pct,Second_Contests_pct,Multiple_Contests_pct,Contesting_Incumbents_pct,Successful_Incumbents_pct,No_first_time_winners_pct,First_Contest_Winners_pct,Incumbent_Strike_Rate,Turncoat_Strike_Rate
13,265,58,32,60,59,13,118,130,40,95,23,15,2022,44.53,49.06,15.09,35.85,96.67,53.33,38.33,25,55.17,22.03
12,266,57,30,60,79,23,134,116,54,96,21,9,2017,50.38,43.61,20.3,36.09,95,50,35,15,52.63,29.11
11,279,52,26,60,54,9,126,135,41,103,24,15,2012,45.16,48.39,14.7,36.92,86.67,43.33,40,25,50,16.67
10,308,54,23,60,98,17,159,127,36,145,20,13,2007,51.62,41.23,11.69,47.08,90,38.33,33.33,21.67,42.59,17.35
9,368,55,16,60,128,30,192,138,93,137,24,8,2002,52.17,37.5,25.27,37.23,91.67,26.67,40,13.33,29.09,23.44
8,401,54,28,60,91,29,149,226,62,113,20,11,2000,37.16,56.36,15.46,28.18,90,46.67,33.33,18.33,51.85,31.87
7,347,45,13,60,55,20,111,191,58,98,34,20,1995,31.99,55.04,16.71,28.24,75,21.67,56.67,33.33,28.89,36.36
6,254,46,18,54,42,8,125,114,51,89,27,18,1990,49.21,44.88,20.08,35.04,85.19,33.33,50,33.33,39.13,19.05
5,364,54,25,60,27,10,154,192,88,84,30,18,1984,42.31,52.75,24.18,23.08,90,41.67,50,30,46.3,37.04
4,401,46,17,60,50,12,109,269,73,59,35,21,1980,27.18,67.08,18.2,14.71,76.67,28.33,58.33,35,36.96,24
3,265,41,19,60,13,3,87,176,79,10,39,28,1974,32.83,66.42,29.81,3.77,68.33,31.67,65,46.67,46.34,23.08
2,262,10,5,60,7,4,20,242,20,0,55,54,1972,7.63,92.37,7.63,0,16.67,8.33,91.67,90,50,57.14
1,156,0,0,30,0,0,0,156,0,0,30,30,1967,0,100,0,0,0,0,100,100,0,0
