State_Name,Year,Assembly_No,Party,Total_Seats_in_Assembly,Total_Votes_in_Assembly,Total_Votes_in_Contested_Seats,Total_Candidates,Winners,Deposits_Lost,Strike_Rate,Seat_Share,Vote_Share_in_Assembly,Vote_Share_in_Contested_Seats,position,Expanded_Party_Name
Manipur,2022,13,BJP,60,1857448,1857448,60,32,5,53.333333333333336,53.33,37.83,37.83,1,BHARATIYA JANATA PARTY
Manipur,2022,13,CPI,60,1857448,60245,2,0,2,0.0,0,0.06,1.71,8,COMMUNIST PARTY OF INDIA
Manipur,2022,13,INC,60,1857448,1624582,53,5,25,9.433962264150944,8.33,16.83,19.25,4,INDIAN NATIONAL CONGRESS
Manipur,2022,13,IND,60,1857448,1857448,30,3,23,10.0,5,5.08,5.08,6,
Manipur,2022,13,JD(U),60,1857448,1102541,38,6,20,15.789473684210526,10,10.77,18.15,3,JANATA DAL (UNITED)
Manipur,2022,13,KPA,60,1857448,50068,2,2,0,100.0,3.33,1.01,37.56,7,KUKI PEOPLE'S ALLIANCE
Manipur,2022,13,Kuki National Assembly,60,1857448,100261,2,0,2,0.0,0,0.06,1.08,9,
Manipur,2022,13,Lok Janshakti Party(Ram Vilas),60,1857448,94121,3,0,3,0.0,0,0.03,0.67,10,
Manipur,2022,13,NCP,60,1857448,260916,8,0,8,0.0,0,0.67,4.8,11,NATIONALIST CONGRESS PARTY
Manipur,2022,13,NOTA,60,1857448,1857448,60,0,0,0.0,0,0.56,0.56,12,
Manipur,2022,13,NPF,60,1857448,415403,10,5,1,50.0,8.33,8.09,36.16,5,NAGA PEOPLES FRONT
Manipur,2022,13,NPP,60,1857448,1159096,38,7,9,18.42105263157895,11.67,17.29,27.71,2,NATIONAL PEOPLE'S PARTY
Manipur,2022,13,RPI(A),60,1857448,263557,9,0,6,0.0,0,1.37,9.68,13,REPUBLICAN PARTY OF INDIA (A)
Manipur,2022,13,Rashtriya Janhit Sangharsh Party,60,1857448,31748,1,0,1,0.0,0,0,0.27,14,
Manipur,2022,13,SHS,60,1857448,232368,9,0,9,0.0,0,0.34,2.7,15,
Manipur,2017,12,AIFB,60,1657776,53410,2,0,2,0.0,0,0.01,0.27,8,
Manipur,2017,12,AITC,60,1657776,436414,16,1,13,6.25,1.67,1.41,5.36,5,ALL INDIA TRINAMOOL CONGRESS
Manipur,2017,12,BJP,60,1657776,1657776,60,21,4,35.0,35,36.29,36.29,2,BHARATIYA JANATA PARTY
Manipur,2017,12,CPI,60,1657776,155147,6,0,5,0.0,0,0.74,7.9,9,COMMUNIST PARTY OF INDIA
Manipur,2017,12,CPM,60,1657776,54356,2,0,2,0.0,0,0.01,0.39,10,COMMUNIST PARTY OF INDIA  (MARXIST)
Manipur,2017,12,INC,60,1657776,1631711,59,28,7,47.45762711864407,46.67,35.1,35.66,1,INDIAN NATIONAL CONGRESS
Manipur,2017,12,IND,60,1657776,1657776,23,1,16,4.3478260869565215,1.67,5.06,5.06,6,
Manipur,2017,12,LJP,60,1657776,465084,17,1,14,5.882352941176471,1.67,2.55,9.09,7,LOK JAN SHAKTI PARTY
Manipur,2017,12,MDPF,60,1657776,27394,1,0,1,0.0,0,0.01,0.41,11,
Manipur,2017,12,MNDF,60,1657776,389022,14,0,13,0.0,0,1.21,5.17,12,
Manipur,2017,12,MPEP,60,1657776,127089,5,0,5,0.0,0,0.03,0.42,13,
Manipur,2017,12,NCP,60,1657776,184629,7,0,6,0.0,0,0.95,8.54,14,NATIONALIST CONGRESS PARTY
