State_Name,Year,Assembly_No,Constituency_No,Constituency_Name,Constituency_Type,Candidate,Party,Votes,Position,Vote_Share_Percentage,Last_Position,Last_Candidate,Position_Change,Vote_Share_Change_pct
Manipur,2022,13,1,KHUNDRAKPAM,GEN,Thokchom Lokeshwar Singh,INC,12211,1,49.02,1,THOKCHOM LOKESHWAR SINGH,0,-7.1
Manipur,2022,13,1,KHUNDRAKPAM,GEN,Thangjam Mohendro Singh,BJP,11996,2,48.16,2,THANGJAM MOHENDRO SINGH,0,5.4
Manipur,2022,13,1,KHUNDRAKPAM,GEN,Elangbam Sovid Singh,RPI(A),497,3,2,,,,2
Manipur,2022,13,1,KHUNDRAKPAM,GEN,None Of The Above,NOTA,167,4,0.67,4,None of the Above,0,0.27
Manipur,2022,13,1,KHUNDRAKPAM,GEN,Thangjam Shyam Singh,SHS,40,5,0.16,,,,0.16
Manipur,2022,13,2,HEINGANG,GEN,NONGTHOMBAM BIREN SINGH,BJP,24814,1,78.54,1,NONGTHOMBAM BIREN SINGH,0,40.43
Manipur,2022,13,2,HEINGANG,GEN,PANGEIJAM SARATCHANDRA SINGH,INC,6543,2,20.71,3,NAOROIBAM RATAN MEETEI (KAPU),1,-6.04
Manipur,2022,13,2,HEINGANG,GEN,None Of The Above,NOTA,239,3,0.76,4,None of the Above,1,0.29
Manipur,2022,13,3,KHURAI,GEN,LEISHANGTHEM SUSINDRO MEITEI,BJP,11131,1,33.62,1,LEISHANGTHEM SUSINDRO MEITEI,0,-17.79
Manipur,2022,13,3,KHURAI,GEN,LAITONJAM JAYANANDA SINGH,NPP,8894,2,26.86,,,,26.86
Manipur,2022,13,3,KHURAI,GEN,KHAGOKPAM KHAMBA SINGH,RPI(A),6792,3,20.51,,,,20.51
Manipur,2022,13,3,KHURAI,GEN,TOIJAM LOKENDRO SINGH,JD(U),2922,4,8.83,,,,8.83
Manipur,2022,13,3,KHURAI,GEN,KHURAIJAM RATANKUMAR SINGH,NCP,2461,5,7.43,,,,7.43
Manipur,2022,13,3,KHURAI,GEN,HEISNAM SUBHAS SINGH,Lok Janshakti Party(Ram Vilas),385,6,1.16,,,,1.16
Manipur,2022,13,3,KHURAI,GEN,R.K. AMUSANA SINGH,CPI,356,7,1.08,3,R.K.AMUSANA,-4,-1.66
Manipur,2022,13,3,KHURAI,GEN,None Of The Above,NOTA,169,8,0.51,4,None of the Above,-4,-0.59
Manipur,2022,13,4,KSHETRIGAO,GEN,Sheikh Noorul Hassan,NPP,13118,1,38.47,,,,38.47
Manipur,2022,13,4,KSHETRIGAO,GEN,Nahakpam Indrajit Singh,BJP,12376,2,36.29,1,NAHAKPAM INDRAJIT SINGH,-1,1.93
Manipur,2022,13,4,KSHETRIGAO,GEN,Wahengbam Rojit Singh @ Bullet,JD(U),5437,3,15.94,,,,15.94
Manipur,2022,13,4,KSHETRIGAO,GEN,Mohammed Amin Shah,INC,2832,4,8.3,2,MD. AMIN SHAH,-2,-24.8
Manipur,2022,13,4,KSHETRIGAO,GEN,None Of The Above,NOTA,238,5,0.7,5,None of the Above,0,0.13
Manipur,2022,13,4,KSHETRIGAO,GEN,Punnam Rani Wangkhem,NCP,99,6,0.29,,,,0.29
