State_Name,Year,Assembly_No,Party,Total_Cand,Winners,Deposit_Lost,Avg_Winning_Margin,Strike_Rate,position
Manipur,2022,13,BJP,60,32,5,6.85,53.33,2
Manipur,2022,13,INC,53,5,25,0.76,9.43,7
Manipur,2022,13,IND,30,3,23,0.49,10.0,6
Manipur,2022,13,JD(U),38,6,20,0.85,15.79,5
Manipur,2022,13,KPA,2,2,0,6.42,100.0,1
Manipur,2022,13,NPF,10,5,1,3.17,50.0,3
Manipur,2022,13,NPP,38,7,9,0.83,18.42,4
Manipur,2017,12,AITC,16,1,13,0.32,6.25,5
Manipur,2017,12,BJP,60,21,4,3.11,35.0,2
Manipur,2017,12,INC,59,28,7,5.14,47.46,1
Manipur,2017,12,IND,23,1,16,0.31,4.35,7
Manipur,2017,12,LJP,17,1,14,0.56,5.88,6
Manipur,2017,12,NPEP,20,4,11,1.2,20.0,4
Manipur,2017,12,NPF,15,4,8,5.11,26.67,3
Manipur,2012,11,AITC,47,7,19,1.19,14.89,5
Manipur,2012,11,INC,60,42,1,10.98,70.0,1
Manipur,2012,11,LJP,2,1,1,2.44,50.0,2
Manipur,2012,11,MSCP,31,5,19,0.93,16.13,4
Manipur,2012,11,NCP,22,1,11,0.32,4.55,6
Manipur,2012,11,NPF,12,4,2,3.08,33.33,3
Manipur,2007,10,CPI,24,4,15,0.51,16.67,5
Manipur,2007,10,INC,59,30,7,5.83,50.85,2
Manipur,2007,10,IND,55,10,31,1.55,18.18,4
Manipur,2007,10,MPP,36,5,10,2.63,13.89,6
Manipur,2007,10,NCP,27,5,8,0.79,18.52,3
Manipur,2007,10,NPP,5,3,0,12.42,60.0,1
Manipur,2007,10,RJD,28,3,19,1.22,10.71,7
Manipur,2002,9,BJP,46,4,36,1.6,8.7,8
Manipur,2002,9,CPI,16,5,9,1.64,31.25,2
Manipur,2002,9,DRPP,23,2,16,0.25,8.7,9
Manipur,2002,9,FPM,48,13,17,1.34,27.08,3
Manipur,2002,9,INC,58,20,11,2.19,34.48,1
Manipur,2002,9,MNC,23,1,16,0.23,4.35,10
Manipur,2002,9,MPP,14,2,8,0.32,14.29,5
Manipur,2002,9,MSCP,42,7,20,0.83,16.67,4
Manipur,2002,9,NCP,33,3,20,0.52,9.09,7
Manipur,2002,9,SAP,31,3,18,0.87,9.68,6
Manipur,2000,8,BJP,39,6,22,1.19,15.38,3
Manipur,2000,8,FPM,39,6,23,0.34,15.38,4
Manipur,2000,8,INC,47,11,16,2.02,23.4,2
Manipur,2000,8,IND,48,1,45,0.16,2.08,11
Manipur,2000,8,JD(S),8,1,6,0.5,12.5,6
Manipur,2000,8,JD(U),18,1,16,0.38,5.56,9
Manipur,2000,8,MPP,29,4,13,0.6,13.79,5
Manipur,2000,8,MSCP,57,23,15,4.39,40.35,1
Manipur,2000,8,NCP,41,5,34,2.29,12.2,7
Manipur,2000,8,RJD,15,1,14,0.37,6.67,8
Manipur,2000,8,SAP,36,1,26,0.43,2.78,10
Manipur,1995,7,BJP,20,1,14,0.14,5.0,9
