State_Name,Year,Assembly_No,Party,Sub_Region,Total_Cand,Winners,Deposit_Lost,Avg_Winning_Margin,Strike_Rate,position
Manipur,2022,13,BJP,HILLS,20,7,4,7.77,35.0,4
Manipur,2022,13,BJP,PLAINS,40,25,1,6.39,62.5,2
Manipur,2022,13,CPI,PLAINS,2,0,2,0,0.0,12
Manipur,2022,13,INC,HILLS,14,0,6,0,0.0,13
Manipur,2022,13,INC,PLAINS,39,5,19,1.03,12.82,10
Manipur,2022,13,IND,HILLS,15,2,9,0.93,13.33,9
Manipur,2022,13,IND,PLAINS,15,1,14,0.05,6.67,11
Manipur,2022,13,JD(U),HILLS,11,2,6,1.01,18.18,6
Manipur,2022,13,JD(U),PLAINS,27,4,14,0.78,14.81,8
Manipur,2022,13,KPA,HILLS,2,2,0,6.42,100.0,1
Manipur,2022,13,Kuki National Assembly,HILLS,2,0,2,0,0.0,14
Manipur,2022,13,Lok Janshakti Party(Ram Vilas),HILLS,2,0,2,0,0.0,15
Manipur,2022,13,Lok Janshakti Party(Ram Vilas),PLAINS,1,0,1,0,0.0,16
Manipur,2022,13,NCP,HILLS,1,0,1,0,0.0,17
Manipur,2022,13,NCP,PLAINS,7,0,7,0,0.0,18
Manipur,2022,13,NOTA,HILLS,20,0,0,0,0.0,19
Manipur,2022,13,NOTA,PLAINS,40,0,0,0,0.0,20
Manipur,2022,13,NPF,HILLS,10,5,1,3.17,50.0,3
Manipur,2022,13,NPP,HILLS,11,2,4,0.5,18.18,7
Manipur,2022,13,NPP,PLAINS,27,5,5,0.96,18.52,5
Manipur,2022,13,RPI(A),HILLS,2,0,2,0,0.0,21
Manipur,2022,13,RPI(A),PLAINS,7,0,4,0,0.0,22
Manipur,2022,13,Rashtriya Janhit Sangharsh Party,PLAINS,1,0,1,0,0.0,23
Manipur,2022,13,SHS,HILLS,3,0,3,0,0.0,24
Manipur,2022,13,SHS,PLAINS,6,0,6,0,0.0,25
Manipur,2017,12,AIFB,PLAINS,2,0,2,0,0.0,11
Manipur,2017,12,AITC,HILLS,6,0,6,0,0.0,12
Manipur,2017,12,AITC,PLAINS,10,1,7,0.51,10.0,8
Manipur,2017,12,BJP,HILLS,20,5,1,3.62,25.0,5
Manipur,2017,12,BJP,PLAINS,40,16,3,2.85,40.0,3
Manipur,2017,12,CPI,PLAINS,6,0,5,0,0.0,13
Manipur,2017,12,CPM,PLAINS,2,0,2,0,0.0,14
Manipur,2017,12,INC,HILLS,19,9,6,5.07,47.37,2
Manipur,2017,12,INC,PLAINS,40,19,1,5.17,47.5,1
Manipur,2017,12,IND,HILLS,12,0,10,0,0.0,15
Manipur,2017,12,IND,PLAINS,11,1,6,0.65,9.09,10
