Assembly_No,Party_ID,MyNeta_education,MLAs_var_Party,Party_MLAs,Year,Party,pty_mla_var_perc
13,1605,10th Pass,3,32,2022,BJP,9.38
13,1605,12th Pass,3,32,2022,BJP,9.38
13,1605,Doctorate,1,32,2022,BJP,3.12
13,1605,Graduate,13,32,2022,BJP,40.62
13,1605,Graduate Professional,3,32,2022,BJP,9.38
13,1605,Others,1,32,2022,BJP,3.12
13,1605,Post Graduate,8,32,2022,BJP,25
13,3482,12th Pass,1,5,2022,INC,20
13,3482,Graduate,2,5,2022,INC,40
13,3482,Post Graduate,2,5,2022,INC,40
13,10809,10th Pass,1,3,2022,IND,33.33
13,10809,Graduate,2,3,2022,IND,66.67
13,,12th Pass,2,6,2022,JD(U),33.33
13,,Graduate,1,6,2022,JD(U),16.67
13,,Graduate Professional,1,6,2022,JD(U),16.67
13,,Post Graduate,2,6,2022,JD(U),33.33
13,,Graduate Professional,1,2,2022,KPA,50
13,,Post Graduate,1,2,2022,KPA,50
13,5545,Graduate,2,5,2022,NPF,40
13,5545,Post Graduate,3,5,2022,NPF,60
13,25109,12th Pass,3,7,2022,NPP,42.86
13,25109,Graduate,2,7,2022,NPP,28.57
13,25109,Post Graduate,2,7,2022,NPP,28.57
12,18228,Unknown,1,1,2017,AITC,100
12,1605,10th Pass,2,21,2017,BJP,9.52
12,1605,12th Pass,1,21,2017,BJP,4.76
12,1605,Graduate,11,21,2017,BJP,52.38
12,1605,Others,3,21,2017,BJP,14.29
12,1605,Post Graduate,4,21,2017,BJP,19.05
12,3482,10th Pass,3,28,2017,INC,10.71
12,3482,12th Pass,4,28,2017,INC,14.29
12,3482,5th Pass,1,28,2017,INC,3.57
12,3482,Graduate,12,28,2017,INC,42.86
12,3482,Graduate Professional,2,28,2017,INC,7.14
12,3482,Illiterate,1,28,2017,INC,3.57
12,3482,Post Graduate,5,28,2017,INC,17.86
12,10809,12th Pass,1,1,2017,IND,100
12,5029,Unknown,1,1,2017,LJP,100
12,5671,Unknown,4,4,2017,NPEP,100
12,5545,Unknown,4,4,2017,NPF,100
11,18228,10th Pass,2,7,2012,AITC,28.57
11,18228,12th Pass,1,7,2012,AITC,14.29
11,18228,Graduate,1,7,2012,AITC,14.29
11,18228,Post Graduate,1,7,2012,AITC,14.29
11,18228,Unknown,2,7,2012,AITC,28.57
11,3482,10th Pass,1,42,2012,INC,2.38
11,3482,12th Pass,3,42,2012,INC,7.14
11,3482,5th Pass,1,42,2012,INC,2.38
11,3482,Doctorate,2,42,2012,INC,4.76
11,3482,Graduate,14,42,2012,INC,33.33
11,3482,Graduate Professional,8,42,2012,INC,19.05
11,3482,Post Graduate,10,42,2012,INC,23.81
11,3482,Unknown,3,42,2012,INC,7.14
11,5029,Graduate Professional,1,1,2012,LJP,100
11,11657,Graduate,1,5,2012,MSCP,20
11,11657,Others,1,5,2012,MSCP,20
11,11657,Post Graduate,2,5,2012,MSCP,40
11,11657,Unknown,1,5,2012,MSCP,20
11,5792,Graduate Professional,1,1,2012,NCP,100
11,5545,Doctorate,1,4,2012,NPF,25
11,5545,Graduate,1,4,2012,NPF,25
11,5545,Post Graduate,1,4,2012,NPF,25
11,5545,Unknown,1,4,2012,NPF,25
10,2444,Doctorate,1,4,2007,CPI,25
10,2444,Graduate,1,4,2007,CPI,25
10,2444,Graduate Professional,1,4,2007,CPI,25
10,2444,Unknown,1,4,2007,CPI,25
10,3482,10th Pass,1,30,2007,INC,3.33
10,3482,12th Pass,5,30,2007,INC,16.67
10,3482,Doctorate,2,30,2007,INC,6.67
10,3482,Graduate,8,30,2007,INC,26.67
10,3482,Graduate Professional,4,30,2007,INC,13.33
10,3482,Post Graduate,10,30,2007,INC,33.33
10,10809,8th Pass,1,10,2007,IND,10
10,10809,Doctorate,1,10,2007,IND,10
10,10809,Graduate,5,10,2007,IND,50
10,10809,Post Graduate,2,10,2007,IND,20
10,10809,Unknown,1,10,2007,IND,10
10,14852,Unknown,5,5,2007,MPP,100
10,5792,12th Pass,1,5,2007,NCP,20
10,5792,Graduate Professional,1,5,2007,NCP,20
10,5792,Post Graduate,2,5,2007,NCP,40
10,5792,Unknown,1,5,2007,NCP,20
10,5671,Unknown,3,3,2007,NPP,100
10,12103,10th Pass,1,3,2007,RJD,33.33
10,12103,12th Pass,1,3,2007,RJD,33.33
10,12103,Graduate,1,3,2007,RJD,33.33
