Assembly_No,Total_Candidates,No_Incumbents,Successful_Incumbents,Total_Seats,Turncoats,Successful_Turncoats,No_Recontests,First_contests,Second_contests,Multiple_contests,No_first_time_winners,First_Contest_winners,Year,Party_ID,pty_Total_Candidates,pty_Incumbents,pty_Turncoats,pty_Recontests,pty_First_contests,pty_Second_contests,pty_Multiple_contests,pty_first_time_winners,pty_First_Contest_winners,pty_Successful_Incumbents,pty_Successful_Turncoats,Party,pty_recontests_pct,Color,pty_incm_recontests_pct,hover_pty_incm_recontests_pct,pty_incm_Strike_Rate,hover_pty_incm_Strike_Rate,pty_turn_Strike_Rate,hover_pty_turn_Strike_Rate,pty_fist_time_winners_pct
13,265,58,32,60,59,13,118,130,40,95,23,15,2022,1605,60,32,15,45,14,11,35,9,6,21,8,BJP,38.14,#ff9933,55.17,32 (55.17%),65.62,65.62% (21/32),53.33,53.33% (8/15),39.13
13,265,58,32,60,59,13,118,130,40,95,23,15,2022,2444,2,0,0,1,1,0,1,0,0,0,0,CPI,0.85,#ff3300,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
13,265,58,32,60,59,13,118,130,40,95,23,15,2022,3482,53,13,9,31,19,8,26,0,0,5,0,INC,26.27,#138808,22.41,13 (22.41%),38.46,38.46% (5/13),0,0.0% (0/9),0
13,265,58,32,60,59,13,118,130,40,95,23,15,2022,10809,30,0,0,4,23,3,4,2,2,0,0,IND,3.39,#808080,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),8.7
13,265,58,32,60,59,13,118,130,40,95,23,15,2022,4912,2,0,0,0,2,0,0,0,0,0,0,Kuki National Assembly,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
13,265,58,32,60,59,13,118,130,40,95,23,15,2022,25110,3,0,1,1,2,0,1,0,0,0,0,Lok Janshakti Party(Ram Vilas),0.85,,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/1),0
13,265,58,32,60,59,13,118,130,40,95,23,15,2022,5792,8,0,1,1,7,1,0,0,0,0,0,NCP,0.85,#99003d,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/1),0
13,265,58,32,60,59,13,118,130,40,95,23,15,2022,5545,10,5,3,6,3,1,6,1,1,4,0,NPF,5.08,#DA251D,8.62,5 (8.62%),80,80.0% (4/5),0,0.0% (0/3),4.35
13,265,58,32,60,59,13,118,130,40,95,23,15,2022,25109,38,4,12,15,20,8,10,5,2,1,2,NPP,12.71,#af6b43,6.9,4 (6.9%),25,25.0% (1/4),16.67,16.67% (2/12),21.74
13,265,58,32,60,59,13,118,130,40,95,23,15,2022,24545,9,0,1,1,8,1,0,0,0,0,0,RPI(A),0.85,#1c0ea0,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/1),0
13,265,58,32,60,59,13,118,130,40,95,23,15,2022,6564,1,0,0,0,1,0,0,0,0,0,0,Rashtriya Janhit Sangharsh Party,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
13,265,58,32,60,59,13,118,130,40,95,23,15,2022,18691,9,1,2,1,7,0,2,0,0,0,0,SHS,0.85,#EA5A03,1.72,1 (1.72%),0,0.0% (0/1),0,0.0% (0/2),0
12,266,57,30,60,79,23,134,116,54,96,21,9,2017,3040,2,0,1,1,1,1,0,0,0,0,0,AIFB,0.75,#DA0000,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/1),0
12,266,57,30,60,79,23,134,116,54,96,21,9,2017,18228,16,0,4,5,10,3,3,1,0,0,0,AITC,3.73,#4285F4,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/4),4.76
12,266,57,30,60,79,23,134,116,54,96,21,9,2017,1605,60,7,35,37,20,18,22,11,4,4,15,BJP,27.61,#ff9933,12.28,7 (12.28%),57.14,57.14% (4/7),42.86,42.86% (15/35),52.38
12,266,57,30,60,79,23,134,116,54,96,21,9,2017,2444,6,0,0,3,3,2,1,0,0,0,0,CPI,2.24,#ff3300,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
12,266,57,30,60,79,23,134,116,54,96,21,9,2017,14635,2,0,0,0,2,0,0,0,0,0,0,CPM,0,#991f00,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
12,266,57,30,60,79,23,134,116,54,96,21,9,2017,3482,59,43,13,49,6,12,41,3,1,24,6,INC,36.57,#138808,75.44,43 (75.44%),55.81,55.81% (24/43),46.15,46.15% (6/13),14.29
12,266,57,30,60,79,23,134,116,54,96,21,9,2017,10809,23,0,0,4,18,2,3,1,1,0,0,IND,2.99,#808080,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),4.76
12,266,57,30,60,79,23,134,116,54,96,21,9,2017,5029,17,1,2,3,13,1,3,0,0,1,0,LJP,2.24,#0094DE,1.75,1 (1.75%),100,100.0% (1/1),0,0.0% (0/2),0
12,266,57,30,60,79,23,134,116,54,96,21,9,2017,5328,1,0,0,1,0,0,1,0,0,0,0,MDPF,0.75,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
