Assembly_No,Party_ID,TCPD_Prof_Main,MLAs_var_Party,Party_MLAs,Year,Party,pty_mla_var_perc
13,1605,Former Government,1,32,2022,BJP,3.12
13,1605,Liberal Profession or Professional,1,32,2022,BJP,3.12
13,1605,Other,1,32,2022,BJP,3.12
13,1605,Politics,19,32,2022,BJP,59.38
13,1605,Salaried Work or Employed,2,32,2022,BJP,6.25
13,1605,Social Work,8,32,2022,BJP,25
13,3482,Other,3,5,2022,INC,60
13,3482,Politics,2,5,2022,INC,40
13,10809,Business,1,3,2022,IND,33.33
13,10809,Social Work,2,3,2022,IND,66.67
13,,Business,1,6,2022,JD(U),16.67
13,,Politics,1,6,2022,JD(U),16.67
13,,Social Work,4,6,2022,JD(U),66.67
13,,Social Work,2,2,2022,KPA,100
13,5545,Other,1,5,2022,NPF,20
13,5545,Politics,4,5,2022,NPF,80
13,25109,Other,2,7,2022,NPP,28.57
13,25109,Politics,2,7,2022,NPP,28.57
13,25109,Small Business or Self-employed,1,7,2022,NPP,14.29
13,25109,Social Work,2,7,2022,NPP,28.57
12,18228,Unknown,1,1,2017,AITC,100
12,1605,Business,3,21,2017,BJP,14.29
12,1605,Liberal Profession or Professional,1,21,2017,BJP,4.76
12,1605,Other,2,21,2017,BJP,9.52
12,1605,Politics,3,21,2017,BJP,14.29
12,1605,Retired or Pension,1,21,2017,BJP,4.76
12,1605,Social Work,11,21,2017,BJP,52.38
12,3482,Agriculture,1,28,2017,INC,3.57
12,3482,Business,1,28,2017,INC,3.57
12,3482,Other,3,28,2017,INC,10.71
12,3482,Politics,15,28,2017,INC,53.57
12,3482,Salaried Work or Employed,2,28,2017,INC,7.14
12,3482,Social Work,6,28,2017,INC,21.43
12,10809,Social Work,1,1,2017,IND,100
12,5029,Unknown,1,1,2017,LJP,100
12,5671,Unknown,4,4,2017,NPEP,100
12,5545,Unknown,4,4,2017,NPF,100
11,18228,Former Government,1,7,2012,AITC,14.29
11,18228,Other,1,7,2012,AITC,14.29
11,18228,Politics,1,7,2012,AITC,14.29
11,18228,Social Work,3,7,2012,AITC,42.86
11,18228,Unknown,1,7,2012,AITC,14.29
11,3482,Other,6,42,2012,INC,14.29
11,3482,Politics,18,42,2012,INC,42.86
11,3482,Social Work,15,42,2012,INC,35.71
11,3482,Unknown,3,42,2012,INC,7.14
11,5029,Other,1,1,2012,LJP,100
11,11657,Liberal Profession or Professional,1,5,2012,MSCP,20
11,11657,Politics,1,5,2012,MSCP,20
11,11657,Social Work,2,5,2012,MSCP,40
11,11657,Unknown,1,5,2012,MSCP,20
11,5792,Social Work,1,1,2012,NCP,100
11,5545,Liberal Profession or Professional,1,4,2012,NPF,25
11,5545,Other,1,4,2012,NPF,25
11,5545,Politics,1,4,2012,NPF,25
11,5545,Salaried Work or Employed,1,4,2012,NPF,25
10,2444,Other,4,4,2007,CPI,100
10,3482,Other,30,30,2007,INC,100
10,10809,Other,9,10,2007,IND,90
10,10809,Unknown,1,10,2007,IND,10
10,14852,Unknown,5,5,2007,MPP,100
10,5792,Other,5,5,2007,NCP,100
10,5671,Unknown,3,3,2007,NPP,100
10,12103,Other,3,3,2007,RJD,100
