Assembly_No,MyNeta_education,MLAs_var
11,10th Pass,6
11,12th Pass,9
11,8th Pass,2
11,Doctorate,1
11,Graduate,19
11,Graduate Professional,7
11,Others,3
11,Post Graduate,12
10,10th Pass,8
10,12th Pass,13
10,8th Pass,1
10,Doctorate,2
10,Graduate,22
10,Graduate Professional,10
10,Post Graduate,4
9,10th Pass,9
9,12th Pass,13
9,8th Pass,2
9,Doctorate,4
9,Graduate,22
9,Graduate Professional,4
9,Post Graduate,6
8,10th Pass,5
8,12th Pass,14
8,5th Pass,1
8,8th Pass,1
8,Doctorate,3
8,Graduate,24
8,Graduate Professional,6
8,Post Graduate,5
8,Unknown,1
