Assembly_No,Total_Candidates,Contesting_Incumbents,Successful_Incumbents,Total_Seats,Turncoats,Successful_Turncoats,Recontesting_Candidates,First_Contests,Second_Contests,Multiple_Contests,No_first_time_winners,First_Contest_Winners,Year,Recontesting_Candidates_pct,First_Contests_pct,Second_Contests_pct,Multiple_Contests_pct,Contesting_Incumbents_pct,Successful_Incumbents_pct,No_first_time_winners_pct,First_Contest_Winners_pct,Incumbent_Strike_Rate,Turncoat_Strike_Rate
11,369,59,34,59,67,15,146,195,64,110,19,10,2023,39.57,52.85,17.34,29.81,100,57.63,32.2,16.95,57.63,22.39
10,370,58,21,60,52,11,166,190,80,100,31,17,2018,44.86,51.35,21.62,27.03,96.67,35,51.67,28.33,36.21,21.15
9,345,55,26,60,42,8,139,192,61,92,28,17,2013,40.29,55.65,17.68,26.67,91.67,43.33,46.67,28.33,47.27,19.05
8,338,55,22,60,43,6,141,176,59,103,27,16,2008,41.72,52.07,17.46,30.47,91.67,36.67,45,26.67,40,13.95
7,333,58,30,60,50,20,152,167,50,116,24,14,2003,45.65,50.15,15.02,34.83,96.67,50,40,23.33,51.72,40
6,308,57,34,60,64,20,143,151,54,103,18,7,1998,46.43,49.03,17.53,33.44,95,56.67,30,11.67,59.65,31.25
5,290,52,24,60,30,5,129,137,57,96,28,14,1993,44.48,47.24,19.66,33.1,86.67,40,46.67,23.33,46.15,16.67
4,271,55,22,60,55,19,140,122,55,94,28,13,1988,51.66,45.02,20.3,34.69,91.67,36.67,46.67,21.67,40,34.55
3,317,55,25,60,18,4,139,172,75,70,27,16,1983,43.85,54.26,23.66,22.08,91.67,41.67,45,26.67,45.45,22.22
2,262,47,23,60,18,7,91,171,91,0,37,22,1978,34.73,65.27,34.73,0,78.33,38.33,61.67,36.67,48.94,38.89
1,198,0,0,60,0,0,0,198,0,0,60,60,1972,0,100,0,0,0,0,100,100,0,0
