State_Name,Year,Assembly_No,Constituency_No,Constituency_Name,Constituency_Type,Candidate,Party,Votes,Position,Vote_Share_Percentage,Last_Position,Last_Candidate,Position_Change,Vote_Share_Change_pct
Meghalaya,2023,11,1,NARTIANG,ST,SNIAWBHALANG DHAR,NPP,16969,1,41.56,,,,41.56
Meghalaya,2023,11,1,NARTIANG,ST,EMLANG LALOO,INC,14846,2,36.36,2,JOPTHIAW LYNGDOH,0,-6.59
Meghalaya,2023,11,1,NARTIANG,ST,DAWAN LYNGDOH,United Democratic Party,893,4,2.19,,,,2.19
Meghalaya,2023,11,1,NARTIANG,ST,NOTA,None of the Above,433,5,1.06,,,,1.06
Meghalaya,2023,11,1,NARTIANG,ST,RIMIKI SARI,BJP,282,6,0.69,3,DRAISON KHARSHIING,-3,-5.73
Meghalaya,2023,11,2,JOWAI,ST,WAILADMIKI SHYLLA,NPP,14079,1,38.35,,,,38.35
Meghalaya,2023,11,2,JOWAI,ST,AWHAI ANDREW SHULLAI,AITC,11412,2,31.08,,,,31.08
Meghalaya,2023,11,2,JOWAI,ST,MOONLIGHT PARIAT,United Democratic Party,10260,3,27.94,,,,27.94
Meghalaya,2023,11,2,JOWAI,ST,NOTA,None of the Above,423,4,1.15,,,,1.15
Meghalaya,2023,11,2,JOWAI,ST,ALLAN KEITH SUCHIANG,BJP,326,5,0.89,4,MARKI MULIEH,-1,-4.63
Meghalaya,2023,11,2,JOWAI,ST,DANIEL DANN,INC,216,6,0.59,3,AWHAI ANDREW SHULLAI,-3,-28.18
Meghalaya,2023,11,3,RALIANG,ST,COMING ONE YMBON,NPP,13626,1,38.43,,,,38.43
Meghalaya,2023,11,3,RALIANG,ST,LAKHON BIAM,BJP,8289,2,23.37,2,LAKHON BIAM,0,-6.24
Meghalaya,2023,11,3,RALIANG,ST,J TREILANG SUCHIANG,United Democratic Party,5250,3,14.8,,,,14.8
Meghalaya,2023,11,3,RALIANG,ST,RICHARD SINGH LYNGDOH,INC,4154,4,11.71,6,WANJOP SUSNGI,2,10.56
Meghalaya,2023,11,3,RALIANG,ST,SHEMHOK GAROD,People's Democratic Front,2513,5,7.09,,,,7.09
Meghalaya,2023,11,3,RALIANG,ST,ROBINUS SYNGKON,AITC,1269,6,3.58,,,,3.58
Meghalaya,2023,11,3,RALIANG,ST,NOTA,None of the Above,360,7,1.02,,,,1.02
Meghalaya,2023,11,4,MOWKAIAW,ST,NUJORKI SUNGOH,United Democratic Party,14508,1,39.48,,,,39.48
Meghalaya,2023,11,4,MOWKAIAW,ST,HABAHUN DKHAR,NPP,10607,2,28.86,,,,28.86
Meghalaya,2023,11,4,MOWKAIAW,ST,NEHEMAYAH TYNGKAN,INC,10290,3,28,3,NEHEMAYAH TYNGKAN,0,6.31
Meghalaya,2023,11,4,MOWKAIAW,ST,LASTING SUCHIANG,AITC,872,4,2.37,,,,2.37
Meghalaya,2023,11,4,MOWKAIAW,ST,NOTA,None of the Above,360,5,0.98,,,,0.98
Meghalaya,2023,11,4,MOWKAIAW,ST,CURRENTIS RABON,BJP,110,6,0.3,4,ROBINUS SYNGKON,-2,-19.37
Meghalaya,2023,11,5,SUTNGA SAIPUNG,ST,SANTA MARY SHYLLA,NPP,16974,1,39.1,,,,39.1
Meghalaya,2023,11,5,SUTNGA SAIPUNG,ST,VINCENT .H. PALA,INC,15146,2,34.89,1,SHITLANG PALE,-1,-1.29
Meghalaya,2023,11,5,SUTNGA SAIPUNG,ST,SHITLANG PALE,United Democratic Party,10453,3,24.08,,,,24.08
Meghalaya,2023,11,5,SUTNGA SAIPUNG,ST,KRISON LANGSTANG,BJP,424,4,0.98,3,HAMBERTUS NONGTDU,-1,-20.93
Meghalaya,2023,11,5,SUTNGA SAIPUNG,ST,NOTA,None of the Above,416,5,0.96,,,,0.96
Meghalaya,2023,11,6,KHLIEHRIAT,ST,KYRMEN SHYLLA,United Democratic Party,23514,1,54.95,,,,54.95
Meghalaya,2023,11,6,KHLIEHRIAT,ST,NEHLANG LYNGDOH,NPP,17908,2,41.85,,,,41.85
Meghalaya,2023,11,6,KHLIEHRIAT,ST,DAMEWANHI L RYMBAI,Voice of the People Party,861,3,2.01,,,,2.01
Meghalaya,2023,11,6,KHLIEHRIAT,ST,BHAYES CHYRMANG,BJP,174,4,0.41,2,JUSTINE DKHAR,-2,-34.69
Meghalaya,2023,11,6,KHLIEHRIAT,ST,NOTA,None of the Above,115,5,0.27,,,,0.27
Meghalaya,2023,11,6,KHLIEHRIAT,ST,JHANIKA SIANGSHAI,INC,114,6,0.27,4,T S DIOLINDA DKHAR,-2,-0.16
Meghalaya,2023,11,6,KHLIEHRIAT,ST,SUNIDA BAREH,AITC,109,7,0.25,,,,0.25
Meghalaya,2023,11,7,AMLAREM,ST,LAHKMEN RYMBUI,United Democratic Party,17803,1,49.15,,,,49.15
Meghalaya,2023,11,7,AMLAREM,ST,STEPHANSON MUKHIM,NPP,17746,2,48.99,,,,48.99
Meghalaya,2023,11,7,AMLAREM,ST,NOTA,None of the Above,328,3,0.91,,,,0.91
Meghalaya,2023,11,7,AMLAREM,ST,ARBIANGKAM KHARSOHMAT,INC,138,4,0.38,3,HOLANDO LAMIN,-1,-3.82
Meghalaya,2023,11,7,AMLAREM,ST,FIRSTBORN MANNER,BJP,108,5,0.3,4,RIANG LENON TARIANG,-1,-2.64
Meghalaya,2023,11,7,AMLAREM,ST,ALBAN K. GASHNGA,AITC,100,6,0.28,,,,0.28
