State_Name,Year,Assembly_No,Party,Total_Cand,Winners,Deposit_Lost,Avg_Winning_Margin,Strike_Rate,position
Meghalaya,2023,11,AITC,55,5,35,0.25,9.09,6
Meghalaya,2023,11,BJP,59,2,43,1.07,3.39,9
Meghalaya,2023,11,Hill State People's Democratic Party,10,2,5,1.98,20.0,5
Meghalaya,2023,11,INC,59,5,38,0.59,8.47,7
Meghalaya,2023,11,IND,44,2,39,0.18,4.55,8
Meghalaya,2023,11,NPP,56,26,6,4.82,46.43,1
Meghalaya,2023,11,People's Democratic Front,9,2,6,1.38,22.22,3
Meghalaya,2023,11,United Democratic Party,45,11,22,1.98,24.44,2
Meghalaya,2023,11,Voice of the People Party,18,4,11,3.35,22.22,4
Meghalaya,2018,10,BJP,47,2,33,0.61,4.26,9
Meghalaya,2018,10,HSPDP,13,2,4,0.32,15.38,5
Meghalaya,2018,10,INC,60,21,12,3.95,35.0,3
Meghalaya,2018,10,IND,81,3,68,0.15,3.7,10
Meghalaya,2018,10,KHNAM,8,1,7,0.27,12.5,7
Meghalaya,2018,10,NCP,21,1,20,0.03,4.76,8
Meghalaya,2018,10,NPEP,51,19,16,2.07,37.25,2
Meghalaya,2018,10,NPP,1,1,0,19.13,100.0,1
Meghalaya,2018,10,PDF,26,4,14,0.49,15.38,6
Meghalaya,2018,10,UDP,35,6,19,1.42,17.14,4
Meghalaya,2013,9,GNC,6,1,5,0.41,16.67,4
Meghalaya,2013,9,HSPDP,17,4,11,2.24,23.53,3
Meghalaya,2013,9,INC,60,29,3,6.36,48.33,2
Meghalaya,2013,9,IND,122,13,76,0.63,10.66,6
Meghalaya,2013,9,NCP,21,2,19,0.26,9.52,7
Meghalaya,2013,9,NESDP,1,1,0,10.08,100.0,1
Meghalaya,2013,9,NPP,32,2,14,0.46,6.25,8
Meghalaya,2013,9,UDP,50,8,23,1.04,16.0,5
Meghalaya,2008,8,BJP,23,1,21,1.78,4.35,7
Meghalaya,2008,8,HSPDP,15,2,10,1.75,13.33,4
Meghalaya,2008,8,INC,60,25,9,3.85,41.67,1
Meghalaya,2008,8,IND,77,5,59,0.65,6.49,5
Meghalaya,2008,8,KHNAM,16,1,9,3.32,6.25,6
Meghalaya,2008,8,NCP,50,15,15,3.14,30.0,2
Meghalaya,2008,8,UDP,54,11,22,1.15,20.37,3
Meghalaya,2003,7,BJP,28,2,21,2.9,7.14,8
Meghalaya,2003,7,HPDP,22,2,14,0.31,9.09,5
Meghalaya,2003,7,INC,60,22,12,3.96,36.67,1
Meghalaya,2003,7,IND,58,5,44,1.01,8.62,7
Meghalaya,2003,7,KHNAM,22,2,16,1.62,9.09,6
Meghalaya,2003,7,MDP,18,4,10,2.11,22.22,3
Meghalaya,2003,7,NCP,54,14,25,2.42,25.93,2
Meghalaya,2003,7,UDP,45,9,21,1.26,20.0,4
Meghalaya,1998,6,BJP,28,3,20,0.94,10.71,5
Meghalaya,1998,6,GNC,16,1,14,0.26,6.25,6
Meghalaya,1998,6,HPDP,19,3,10,3.05,15.79,3
Meghalaya,1998,6,INC,59,25,6,5.53,42.37,1
Meghalaya,1998,6,IND,85,5,65,0.28,5.88,7
Meghalaya,1998,6,PDM,19,3,9,0.82,15.79,4
Meghalaya,1998,6,UDP,56,20,19,2.74,35.71,2
Meghalaya,1993,5,AHLC(AM),27,3,15,1.3,11.11,6
Meghalaya,1993,5,HPSD,13,8,2,7.05,61.54,1
Meghalaya,1993,5,HPU,45,11,12,2.66,24.44,4
Meghalaya,1993,5,INC,60,24,6,5.23,40.0,3
Meghalaya,1993,5,IND,95,10,71,1.02,10.53,7
Meghalaya,1993,5,MPP,11,2,7,0.34,18.18,5
Meghalaya,1993,5,PDI,4,2,1,5.98,50.0,2
Meghalaya,1988,4,AHL(A),18,2,11,0.22,11.11,5
Meghalaya,1988,4,HPD,31,6,16,2.96,19.35,3
Meghalaya,1988,4,HPU,55,19,12,4.29,34.55,2
Meghalaya,1988,4,INC,60,22,8,4.13,36.67,1
Meghalaya,1988,4,IND,83,9,55,1.07,10.84,6
Meghalaya,1988,4,PDC,15,2,12,2.38,13.33,4
Meghalaya,1983,3,AHL,55,15,11,2.42,27.27,3
Meghalaya,1983,3,HPD,46,15,17,4.23,32.61,2
Meghalaya,1983,3,INC,60,25,13,5.9,41.67,1
Meghalaya,1983,3,IND,127,3,96,0.07,2.36,5
Meghalaya,1983,3,PDC,21,2,13,0.33,9.52,4
Meghalaya,1978,2,AHL,52,16,7,3.41,30.77,3
Meghalaya,1978,2,HPD,35,14,10,7.38,40.0,1
Meghalaya,1978,2,INC,57,20,7,6.1,35.09,2
Meghalaya,1978,2,IND,105,10,68,1.16,9.52,4
Meghalaya,1972,1,AHL,49,32,4,17.38,65.31,2
Meghalaya,1972,1,INC,12,9,0,17.41,75.0,1
Meghalaya,1972,1,IND,135,19,65,3.29,14.07,3
