State_Name,Year,Assembly_No,Party,Sub_Region,Total_Cand,Winners,Deposit_Lost,Avg_Winning_Margin,Strike_Rate,position
Meghalaya,2023,11,AITC,GARO HILLS,24,4,7,0.37,16.67,8
Meghalaya,2023,11,AITC,JAINTIA HILLS,5,0,4,0,0.0,16
Meghalaya,2023,11,AITC,KHASI HILLS,26,1,24,0.18,3.85,14
Meghalaya,2023,11,BJP,GARO HILLS,24,0,15,0,0.0,17
Meghalaya,2023,11,BJP,JAINTIA HILLS,7,0,6,0,0.0,18
Meghalaya,2023,11,BJP,KHASI HILLS,28,2,22,2.26,7.14,11
Meghalaya,2023,11,Gana Suraksha Party,GARO HILLS,1,0,1,0,0.0,19
Meghalaya,2023,11,Garo National Council,GARO HILLS,2,0,1,0,0.0,20
Meghalaya,2023,11,Hill State People's Democratic Party,KHASI HILLS,10,2,5,1.98,20.0,7
Meghalaya,2023,11,INC,GARO HILLS,24,1,18,0.42,4.17,13
Meghalaya,2023,11,INC,JAINTIA HILLS,7,0,4,0,0.0,21
Meghalaya,2023,11,INC,KHASI HILLS,28,4,16,0.89,14.29,10
Meghalaya,2023,11,IND,GARO HILLS,17,1,14,0.45,5.88,12
Meghalaya,2023,11,IND,JAINTIA HILLS,1,0,0,0,0.0,22
Meghalaya,2023,11,IND,KHASI HILLS,26,1,25,0.01,3.85,15
Meghalaya,2023,11,Janata Dal(United),GARO HILLS,3,0,3,0,0.0,23
Meghalaya,2023,11,NPP,GARO HILLS,24,18,0,8.08,75.0,1
Meghalaya,2023,11,NPP,JAINTIA HILLS,7,4,0,4.53,57.14,2
Meghalaya,2023,11,NPP,KHASI HILLS,25,4,6,1.76,16.0,9
Meghalaya,2023,11,None of the Above,GARO HILLS,24,0,0,0,0.0,24
Meghalaya,2023,11,None of the Above,JAINTIA HILLS,7,0,0,0,0.0,25
Meghalaya,2023,11,None of the Above,KHASI HILLS,28,0,0,0,0.0,26
Meghalaya,2023,11,People's Democratic Front,JAINTIA HILLS,1,0,1,0,0.0,27
Meghalaya,2023,11,People's Democratic Front,KHASI HILLS,8,2,5,1.55,25.0,5
Meghalaya,2023,11,Republican Party of India,GARO HILLS,2,0,2,0,0.0,28
Meghalaya,2023,11,Republican Party of India (A),GARO HILLS,5,0,5,0,0.0,29
Meghalaya,2023,11,Republican Party of India (A),KHASI HILLS,1,0,1,0,0.0,30
Meghalaya,2023,11,United Democratic Party,GARO HILLS,16,0,15,0,0.0,31
Meghalaya,2023,11,United Democratic Party,JAINTIA HILLS,7,3,2,3.41,42.86,3
Meghalaya,2023,11,United Democratic Party,KHASI HILLS,22,8,5,2.95,36.36,4
Meghalaya,2023,11,Voice of the People Party,JAINTIA HILLS,1,0,1,0,0.0,32
