Assembly_No,TCPD_Prof_Main,MLAs_var
11,Business,13
11,Education,1
11,Former Government,3
11,Liberal Profession or Professional,1
11,Other,12
11,Politics,21
11,Small Business or Self-employed,3
11,Social Work,5
10,Business,18
10,Former Government,2
10,Liberal Profession or Professional,1
10,Other,12
10,Politics,11
10,Small Business or Self-employed,2
10,Social Work,14
9,Business,9
9,Education,3
9,Former Government,1
9,Liberal Profession or Professional,1
9,Other,13
9,Politics,12
9,Small Business or Self-employed,3
9,Social Work,18
8,Other,60
