Assembly_No,Total_Candidates,No_Incumbents,Successful_Incumbents,Total_Seats,Turncoats,Successful_Turncoats,No_Recontests,First_contests,Second_contests,Multiple_contests,No_first_time_winners,First_Contest_winners,Year,Party_ID,pty_Total_Candidates,pty_Incumbents,pty_Turncoats,pty_Recontests,pty_First_contests,pty_Second_contests,pty_Multiple_contests,pty_first_time_winners,pty_First_Contest_winners,pty_Successful_Incumbents,pty_Successful_Turncoats,Party,pty_recontests_pct,Color,pty_incm_recontests_pct,hover_pty_incm_recontests_pct,pty_incm_Strike_Rate,hover_pty_incm_Strike_Rate,pty_turn_Strike_Rate,hover_pty_turn_Strike_Rate,pty_fist_time_winners_pct
11,369,59,34,59,67,15,146,195,64,110,19,10,2023,18228,55,10,19,22,32,9,14,2,0,3,4,AITC,15.07,#4285F4,16.95,10 (16.95%),30,30.0% (3/10),21.05,21.05% (4/19),10.53
11,369,59,34,59,67,15,146,195,64,110,19,10,2023,1605,59,6,12,21,32,11,16,0,0,2,0,BJP,14.38,#ff9933,10.17,6 (10.17%),33.33,33.33% (2/6),0,0.0% (0/12),0
11,369,59,34,59,67,15,146,195,64,110,19,10,2023,25145,1,0,0,1,0,1,0,0,0,0,0,Gana Suraksha Party,0.68,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
11,369,59,34,59,67,15,146,195,64,110,19,10,2023,3091,2,0,0,1,1,1,0,0,0,0,0,Garo National Council,0.68,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
11,369,59,34,59,67,15,146,195,64,110,19,10,2023,3208,10,0,2,3,6,1,3,2,1,0,1,Hill State People's Democratic Party,2.05,,0,0 (0.0%),nan,nan% (0/0),50,50.0% (1/2),10.53
11,369,59,34,59,67,15,146,195,64,110,19,10,2023,3482,59,1,10,23,30,12,17,2,0,1,1,INC,15.75,#138808,1.69,1 (1.69%),100,100.0% (1/1),10,10.0% (1/10),10.53
11,369,59,34,59,67,15,146,195,64,110,19,10,2023,10809,44,0,0,6,32,6,6,2,2,0,0,IND,4.11,#808080,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),10.53
11,369,59,34,59,67,15,146,195,64,110,19,10,2023,11002,3,0,0,0,3,0,0,0,0,0,0,Janata Dal(United),0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
11,369,59,34,59,67,15,146,195,64,110,19,10,2023,5671,56,27,12,38,16,10,30,7,4,17,5,NPP,26.03,#af6b43,45.76,27 (45.76%),62.96,62.96% (17/27),41.67,41.67% (5/12),36.84
11,369,59,34,59,67,15,146,195,64,110,19,10,2023,11858,9,2,1,4,4,3,2,0,0,2,0,People's Democratic Front,2.74,,3.39,2 (3.39%),100,100.0% (2/2),0,0.0% (0/1),0
11,369,59,34,59,67,15,146,195,64,110,19,10,2023,6911,2,0,0,0,2,0,0,0,0,0,0,Republican Party of India,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
11,369,59,34,59,67,15,146,195,64,110,19,10,2023,12285,6,0,1,0,4,1,1,0,0,0,0,Republican Party of India (A),0,,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/1),0
