Assembly_No,Total_Candidates,Contesting_Incumbents,Successful_Incumbents,Total_Seats,Turncoats,Successful_Turncoats,Recontesting_Candidates,First_Contests,Second_Contests,Multiple_Contests,No_first_time_winners,First_Contest_Winners,Year,Recontesting_Candidates_pct,First_Contests_pct,Second_Contests_pct,Multiple_Contests_pct,Contesting_Incumbents_pct,Successful_Incumbents_pct,No_first_time_winners_pct,First_Contest_Winners_pct,Incumbent_Strike_Rate,Turncoat_Strike_Rate
12,209,34,10,40,15,3,61,130,26,53,23,16,2018,29.19,62.2,12.44,25.36,85,25,57.5,40,29.41,20
11,142,35,26,40,4,0,60,72,36,34,13,6,2013,42.25,50.7,25.35,23.94,87.5,65,32.5,15,74.29,0
10,206,31,13,40,10,0,54,138,21,47,21,14,2008,26.21,66.99,10.19,22.82,77.5,32.5,52.5,35,41.94,0
9,192,33,18,40,14,2,65,107,40,45,14,9,2003,33.85,55.73,20.83,23.44,82.5,45,35,22.5,54.55,14.29
8,221,24,11,40,15,5,39,155,22,44,21,14,1998,17.65,70.14,9.95,19.91,60,27.5,52.5,35,45.83,33.33
7,121,23,14,40,3,0,43,63,18,40,23,13,1993,35.54,52.07,14.88,33.06,57.5,35,57.5,32.5,60.87,0
6,162,32,24,40,3,2,63,85,39,38,9,6,1989,38.89,52.47,24.07,23.46,80,60,22.5,15,75,66.67
5,145,25,10,40,0,0,41,93,26,26,29,24,1987,28.28,64.14,17.93,17.93,62.5,25,72.5,60,40,0
4,134,18,9,30,3,2,41,85,18,31,15,12,1984,30.6,63.43,13.43,23.13,60,30,50,40,50,66.67
3,150,24,16,30,1,0,51,91,40,19,14,10,1979,34,60.67,26.67,12.67,80,53.33,46.67,33.33,66.67,0
2,154,9,3,30,0,0,22,132,22,0,27,20,1978,14.29,85.71,14.29,0,30,10,90,66.67,33.33,0
1,155,0,0,30,0,0,0,155,0,0,30,30,1972,0,100,0,0,0,0,100,100,0,0
