State_Name,Year,Assembly_No,Party,Total_Seats_in_Assembly,Total_Votes_in_Assembly,Total_Votes_in_Contested_Seats,Total_Candidates,Winners,Deposits_Lost,Strike_Rate,Seat_Share,Vote_Share_in_Assembly,Vote_Share_in_Contested_Seats,position,Expanded_Party_Name
Mizoram,2018,12,BJP,40,631525,612044,39,1,33,2.5641025641025643,2.5,8.04,8.29,4,BHARATIYA JANATA PARTY
Mizoram,2018,12,INC,40,631525,631525,40,5,1,12.5,12.5,30.15,30.15,3,INDIAN NATIONAL CONGRESS
Mizoram,2018,12,IND,40,631525,631525,63,8,37,12.698412698412698,20,22.95,22.95,2,INDEPENDENT
Mizoram,2018,12,MNF,40,631525,631525,40,26,0,65.0,65,37.58,37.58,1,MIZO NATIONAL FRONT
Mizoram,2018,12,NCP,40,631525,93338,5,0,5,0.0,0,0.05,0.36,5,
Mizoram,2018,12,NOTA,40,631525,631525,40,0,0,0.0,0,0.46,0.46,6,
Mizoram,2018,12,NPEP,40,631525,150549,9,0,9,0.0,0,0.57,2.41,7,
Mizoram,2018,12,PRISM,40,631525,205906,13,0,13,0.0,0,0.2,0.61,8,
Mizoram,2013,11,BJP,40,573417,253475,17,0,17,0.0,0,0.37,0.84,4,BHARATIYA JANATA PARTY
Mizoram,2013,11,INC,40,573417,573417,40,34,0,85.0,85,44.63,44.63,1,INDIAN NATIONAL CONGRESS
Mizoram,2013,11,IND,40,573417,573417,4,0,4,0.0,0,0.31,0.31,5,INDEPENDENT
Mizoram,2013,11,JMBP,40,573417,12254,1,0,1,0.0,0,0.01,0.24,6,
Mizoram,2013,11,MDF,40,573417,12761,1,0,0,0.0,0,0.95,42.58,7,MARALAND DEMOCRATIC FRONT
Mizoram,2013,11,MNF,40,573417,448488,31,5,0,16.129032258064516,12.5,28.65,36.64,2,MIZO NATIONAL FRONT
Mizoram,2013,11,MPC,40,573417,112168,8,1,0,12.5,2.5,6.15,31.44,3,MIZORAM PEOPLE'S CONFERENCE
Mizoram,2013,11,NCP,40,573417,34336,2,0,2,0.0,0,0.84,14.08,8,
Mizoram,2013,11,NOTA,40,573417,573417,40,0,0,0.0,0,0.66,0.66,9,
Mizoram,2013,11,ZNP,40,573417,539589,38,0,14,0.0,0,17.42,18.52,10,ZORAM NATIONALIST PARTY
Mizoram,2008,10,BJP,40,502956,122855,9,0,9,0.0,0,0.44,1.81,6,BHARATIYA JANATA PARTY
Mizoram,2008,10,INC,40,502956,502956,40,32,0,80.0,80,38.89,38.89,1,INDIAN NATIONAL CONGRESS
Mizoram,2008,10,IND,40,502956,502956,33,0,26,0.0,0,7.69,7.69,7,INDEPENDENT
Mizoram,2008,10,JD(U),40,502956,27277,2,0,2,0.0,0,0.04,0.72,8,
Mizoram,2008,10,LB,40,502956,66008,5,0,5,0.0,0,0.09,0.65,9,
Mizoram,2008,10,LJP,40,502956,482984,38,0,38,0.0,0,0.66,0.68,10,
Mizoram,2008,10,MDF,40,502956,12603,1,1,0,100.0,2.5,0.84,33.37,5,MARALAND DEMOCRATIC FRONT
Mizoram,2008,10,MNF,40,502956,490353,39,3,1,7.6923076923076925,7.5,30.65,31.43,2,MIZO NATIONAL FRONT
Mizoram,2008,10,MPC,40,502956,196891,16,2,3,12.5,5,10.38,26.52,3,MIZORAM PEOPLE'S CONFERENCE
Mizoram,2008,10,NCP,40,502956,81257,6,0,6,0.0,0,0.11,0.66,11,
Mizoram,2008,10,ZNP,40,502956,210724,17,2,3,11.764705882352942,5,10.22,24.39,4,ZORAM NATIONALIST PARTY
Mizoram,2003,9,BJP,40,418113,87844,8,0,7,0.0,0,1.87,8.91,7,BHARATIYA JANATA PARTY
Mizoram,2003,9,CPI,40,418113,42012,4,0,4,0.0,0,0.03,0.3,8,
Mizoram,2003,9,EU,40,418113,34876,3,0,3,0.0,0,0.03,0.35,9,
Mizoram,2003,9,HPC,40,418113,3014,1,1,0,100.0,2.5,0.52,72.83,5,HMAR PEOPLES CONVENTION
Mizoram,2003,9,INC,40,418113,418113,40,12,2,30.0,30,30.06,30.06,2,INDIAN NATIONAL CONGRESS
Mizoram,2003,9,IND,40,418113,418113,12,0,10,0.0,0,2.53,2.53,10,INDEPENDENT
Mizoram,2003,9,JD(U),40,418113,300763,28,0,28,0.0,0,0.45,0.62,11,
Mizoram,2003,9,MDF,40,418113,21284,2,1,0,50.0,2.5,1.95,38.27,6,MARALAND DEMOCRATIC FRONT
Mizoram,2003,9,MNF,40,418113,405628,39,21,1,53.84615384615385,52.5,31.69,32.67,1,MIZO NATIONAL FRONT
Mizoram,2003,9,MZPC,40,418113,292474,28,3,7,10.714285714285714,7.5,16.16,23.1,3,MIZORAM PEOPLE'S CONFERENCE
Mizoram,2003,9,ZNP,40,418113,295155,27,2,8,7.407407407407407,5,14.7,20.82,4,ZORAM NATIONALIST PARTY
Mizoram,1998,8,BJP,40,337938,89897,12,0,11,0.0,0,2.5,9.4,5,BHARATIYA JANATA PARTY
Mizoram,1998,8,INC,40,337938,337938,40,6,1,15.0,15,29.77,29.77,3,INDIAN NATIONAL CONGRESS
Mizoram,1998,8,IND,40,337938,337938,44,1,37,2.272727272727273,2.5,9.82,9.82,4,INDEPENDENT
Mizoram,1998,8,JD,40,337938,84534,10,0,10,0.0,0,0.28,1.12,6,
Mizoram,1998,8,LS,40,337938,140734,15,0,15,0.0,0,0.23,0.55,7,
Mizoram,1998,8,MDF,40,337938,18635,2,0,0,0.0,0,2.28,41.43,8,MARALAND DEMOCRATIC FRONT
Mizoram,1998,8,MNF,40,337938,234680,28,21,0,75.0,52.5,24.99,35.98,1,MIZO NATIONAL FRONT
Mizoram,1998,8,MNF(N),40,337938,190210,24,0,15,0.0,0,9.23,16.4,9,
Mizoram,1998,8,MZPC,40,337938,230077,28,12,4,42.857142857142854,30,20.44,30.02,2,MIZORAM PEOPLE'S CONFERENCE
Mizoram,1998,8,RJD,40,337938,62623,8,0,8,0.0,0,0.17,0.94,10,
Mizoram,1998,8,SAP,40,337938,76260,10,0,10,0.0,0,0.28,1.23,11,
Mizoram,1993,7,BJP,40,321234,70306,8,0,7,0.0,0,3.11,14.23,4,BHARATIYA JANATA PARTY
Mizoram,1993,7,INC,40,321234,226051,28,16,0,57.142857142857146,40,33.1,47.03,1,INDIAN NATIONAL CONGRESS
Mizoram,1993,7,IND,40,321234,321234,47,10,27,21.27659574468085,25,23.38,23.38,3,INDEPENDENT
Mizoram,1993,7,MNF,40,321234,305661,38,14,1,36.8421052631579,35,40.41,42.47,2,MIZO NATIONAL FRONT
Mizoram,1989,6,INC,40,268490,231304,34,23,0,67.6470588235294,57.5,34.85,40.45,1,INDIAN NATIONAL CONGRESS
Mizoram,1989,6,IND,40,268490,268490,50,2,42,4.0,5,10.19,10.19,3,INDEPENDENT
Mizoram,1989,6,MNF,40,268490,268490,40,14,1,35.0,35,35.29,35.29,2,MIZO NATIONAL FRONT
Mizoram,1989,6,PPC,40,268490,252609,38,1,13,2.6315789473684212,2.5,19.67,20.91,4,PEOPLE'S CONFERENCE
Mizoram,1987,5,INC,40,230865,230865,40,13,0,32.5,32.5,32.99,32.99,2,INDIAN NATIONAL CONGRESS
Mizoram,1987,5,IND,40,230865,230865,69,24,28,34.78260869565217,60,43.31,43.31,1,INDEPENDENT
Mizoram,1987,5,PPC,40,230865,213604,36,3,4,8.333333333333334,7.5,23.7,25.62,3,PEOPLE'S CONFERENCE
Mizoram,1984,4,INC,30,185889,185889,30,20,0,66.66666666666667,66.67,39.81,39.81,1,INDIAN NATIONAL CONGRESS
Mizoram,1984,4,IND,30,185889,185889,77,2,63,2.5974025974025974,6.67,24.65,24.65,3,INDEPENDENT
Mizoram,1984,4,PC,30,185889,175057,27,8,1,29.62962962962963,26.67,35.54,37.74,2,PEOPLE'S CONFERENCE
Mizoram,1979,3,INC(I),30,163798,138681,25,5,3,20.0,16.67,23.88,28.21,2,INDIAN NATIONAL CONGRESS
Mizoram,1979,3,IND,30,163798,163798,68,5,41,7.352941176470588,16.67,30.36,30.36,3,INDEPENDENT
Mizoram,1979,3,JNP,30,163798,163798,30,2,20,6.666666666666667,6.67,13.09,13.09,4,JANTA PARTY
