State_Name,Year,Assembly_No,Constituency_No,Constituency_Name,Constituency_Type,Candidate,Party,Votes,Position,Vote_Share_Percentage,Last_Position,Last_Candidate,Position_Change,Vote_Share_Change_pct
Mizoram,2018,12,1,HACHHEK,ST,LALRINDIKA RALTE,INC,6202,1,33.32,1,LALRINMAWIA RALTE,0,-12.03
Mizoram,2018,12,1,HACHHEK,ST,LALRINENGA SAILO,MNF,5836,2,31.36,2,SAIKAPTHIANGA,0,-0.51
Mizoram,2018,12,1,HACHHEK,ST,VANLALRUATA PACHUAU,BJP,4399,3,23.64,6,PAZAWNA,3,22.74
Mizoram,2018,12,1,HACHHEK,ST,EDDY ZOSANGLIANA COLNEY,PRISM,250,5,1.34,,,,1.34
Mizoram,2018,12,1,HACHHEK,ST,None of the Above,NOTA,250,6,1.34,5,None of the Above,-1,0.28
Mizoram,2018,12,1,HACHHEK,ST,C RAMKINLOVA,NCP,78,9,0.42,3,LALHMINGTHANGA,-6,-13.83
Mizoram,2018,12,2,DAMPA,ST,LALRINTLUANGA SAILO,MNF,5840,1,37.99,2,LIANSUAMA,1,2.86
Mizoram,2018,12,2,DAMPA,ST,LALROBIAKA,INC,4183,2,27.21,1,LALROBIAKA,-1,-16.06
Mizoram,2018,12,2,DAMPA,ST,ER. K. LALRIMAWIA,BJP,3051,3,19.85,4,R LALTAWNLIANA,1,19
Mizoram,2018,12,2,DAMPA,ST,LALRINZUALA CHAWNGTHU,PRISM,133,5,0.87,,,,0.87
Mizoram,2018,12,2,DAMPA,ST,LIANZUALA,NPEP,106,6,0.69,,,,0.69
Mizoram,2018,12,2,DAMPA,ST,None of the Above,NOTA,77,7,0.5,5,None of the Above,-2,-0.07
Mizoram,2018,12,2,DAMPA,ST,LALAWMPUIA CHHANGTE,NCP,28,9,0.18,,,,0.18
Mizoram,2018,12,3,MAMIT,ST,H. LALZIRLIANA,MNF,6874,1,35.39,2,H.B. LIANMUNGA,1,4.2
Mizoram,2018,12,3,MAMIT,ST,JOHN ROTLUANGLIANA,INC,6467,2,33.29,1,JOHN ROTLUANGLIANA,-1,-12.52
Mizoram,2018,12,3,MAMIT,ST,MALSAWMTLUANGA,BJP,4528,3,23.31,6,C DARLIANTHANGA,3,22.72
Mizoram,2018,12,3,MAMIT,ST,None of the Above,NOTA,190,5,0.98,5,None of the Above,0,0.09
Mizoram,2018,12,3,MAMIT,ST,LIANZUALA,NPEP,90,6,0.46,,,,0.46
Mizoram,2018,12,3,MAMIT,ST,LALAWMPUIA CHHANGTE,NCP,80,7,0.41,3,BIAKTHUAMA MOLSHOY,-4,-13.5
Mizoram,2018,12,4,TUIRIAL,ST,SAILOTHANGA SAILO,MNF,4183,2,29.36,,,,29.36
Mizoram,2018,12,4,TUIRIAL,ST,JOSEPH L. RALTE,INC,3748,3,26.31,1,HMINGDAILOVA KHIANGTE,-2,-12.81
