State_Name,Year,Assembly_No,Party,Total_Cand,Winners,Deposit_Lost,Avg_Winning_Margin,Strike_Rate,position
Mizoram,2018,12,BJP,39,1,33,0.16,2.56,4
Mizoram,2018,12,INC,40,5,1,1.02,12.5,3
Mizoram,2018,12,IND,63,8,37,0.62,12.7,2
Mizoram,2018,12,MNF,40,26,0,4.75,65.0,1
Mizoram,2013,11,INC,40,34,0,9.01,85.0,1
Mizoram,2013,11,MNF,31,5,0,0.48,16.13,2
Mizoram,2013,11,MPC,8,1,0,0.24,12.5,3
Mizoram,2008,10,INC,40,32,0,6.4,80.0,2
Mizoram,2008,10,MDF,1,1,0,0.67,100.0,1
Mizoram,2008,10,MNF,39,3,1,0.42,7.69,5
Mizoram,2008,10,MPC,16,2,3,0.49,12.5,3
Mizoram,2008,10,ZNP,17,2,3,0.31,11.76,4
Mizoram,2003,9,HPC,1,1,0,61.15,100.0,1
Mizoram,2003,9,INC,40,12,2,1.63,30.0,4
Mizoram,2003,9,MDF,2,1,0,4.68,50.0,3
Mizoram,2003,9,MNF,39,21,1,1.7,53.85,2
Mizoram,2003,9,MZPC,28,3,7,0.42,10.71,5
Mizoram,2003,9,ZNP,27,2,8,0.09,7.41,6
Mizoram,1998,8,INC,40,6,1,0.39,15.0,3
Mizoram,1998,8,IND,44,1,37,0.24,2.27,4
Mizoram,1998,8,MNF,28,21,0,6.15,75.0,1
Mizoram,1998,8,MZPC,28,12,4,4.24,42.86,2
Mizoram,1993,7,INC,28,16,0,6.62,57.14,1
Mizoram,1993,7,IND,47,10,27,1.05,21.28,3
Mizoram,1993,7,MNF,38,14,1,1.72,36.84,2
Mizoram,1989,6,INC,34,23,0,5.98,67.65,1
Mizoram,1989,6,IND,50,2,42,0.16,4.0,3
Mizoram,1989,6,MNF,40,14,1,1.74,35.0,2
Mizoram,1989,6,PPC,38,1,13,0.03,2.63,4
Mizoram,1987,5,INC,40,13,0,2.67,32.5,2
Mizoram,1987,5,IND,69,24,28,4.87,34.78,1
Mizoram,1987,5,PPC,36,3,4,0.38,8.33,3
Mizoram,1984,4,INC,30,20,0,3.05,66.67,1
Mizoram,1984,4,IND,77,2,63,0.14,2.6,3
Mizoram,1984,4,PC,27,8,1,1.51,29.63,2
Mizoram,1979,3,INC(I),25,5,3,0.98,20.0,2
Mizoram,1979,3,IND,68,5,41,0.75,7.35,3
Mizoram,1979,3,JNP,30,2,20,0.55,6.67,4
Mizoram,1979,3,PPC,27,18,4,8.04,66.67,1
Mizoram,1978,2,IND,126,8,80,0.55,6.35,2
Mizoram,1978,2,PPC,28,22,2,12.38,78.57,1
Mizoram,1972,1,INC,29,6,2,4.93,20.69,2
Mizoram,1972,1,IND,108,24,63,2.61,22.22,1
