Assembly_No,Party_ID,MyNeta_education,MLAs_var_Party,Party_MLAs,Year,Party,pty_mla_var_perc
12,1605,Graduate Professional,1,1,2018,BJP,100
12,3482,12th Pass,2,5,2018,INC,40
12,3482,5th Pass,1,5,2018,INC,20
12,3482,8th Pass,1,5,2018,INC,20
12,3482,Graduate Professional,1,5,2018,INC,20
12,10809,12th Pass,2,8,2018,IND,25
12,10809,Doctorate,1,8,2018,IND,12.5
12,10809,Graduate,4,8,2018,IND,50
12,10809,Post Graduate,1,8,2018,IND,12.5
12,5430,10th Pass,2,26,2018,MNF,7.69
12,5430,12th Pass,1,26,2018,MNF,3.85
12,5430,8th Pass,1,26,2018,MNF,3.85
12,5430,Doctorate,4,26,2018,MNF,15.38
12,5430,Graduate,8,26,2018,MNF,30.77
12,5430,Graduate Professional,4,26,2018,MNF,15.38
12,5430,Others,1,26,2018,MNF,3.85
12,5430,Post Graduate,5,26,2018,MNF,19.23
11,3482,10th Pass,2,34,2013,INC,5.88
11,3482,12th Pass,5,34,2013,INC,14.71
11,3482,8th Pass,1,34,2013,INC,2.94
11,3482,Doctorate,1,34,2013,INC,2.94
11,3482,Graduate,13,34,2013,INC,38.24
11,3482,Graduate Professional,3,34,2013,INC,8.82
11,3482,Post Graduate,9,34,2013,INC,26.47
11,5430,12th Pass,1,5,2013,MNF,20
11,5430,Graduate,1,5,2013,MNF,20
11,5430,Graduate Professional,2,5,2013,MNF,40
11,5430,Post Graduate,1,5,2013,MNF,20
11,5438,Unknown,1,1,2013,MPC,100
10,3482,10th Pass,1,32,2008,INC,3.12
10,3482,12th Pass,5,32,2008,INC,15.62
10,3482,Graduate,13,32,2008,INC,40.62
10,3482,Graduate Professional,1,32,2008,INC,3.12
10,3482,Post Graduate,10,32,2008,INC,31.25
10,3482,Unknown,2,32,2008,INC,6.25
10,5361,Unknown,1,1,2008,MDF,100
10,5430,Doctorate,1,3,2008,MNF,33.33
10,5430,Post Graduate,2,3,2008,MNF,66.67
10,5438,12th Pass,2,2,2008,MPC,100
10,8619,12th Pass,1,2,2008,ZNP,50
10,8619,Graduate,1,2,2008,ZNP,50
