Assembly_No,Total_Candidates,No_Incumbents,Successful_Incumbents,Total_Seats,Turncoats,Successful_Turncoats,No_Recontests,First_contests,Second_contests,Multiple_contests,No_first_time_winners,First_Contest_winners,Year,Party_ID,pty_Total_Candidates,pty_Incumbents,pty_Turncoats,pty_Recontests,pty_First_contests,pty_Second_contests,pty_Multiple_contests,pty_first_time_winners,pty_First_Contest_winners,pty_Successful_Incumbents,pty_Successful_Turncoats,Party,pty_recontests_pct,Color,pty_incm_recontests_pct,hover_pty_incm_recontests_pct,pty_incm_Strike_Rate,hover_pty_incm_Strike_Rate,pty_turn_Strike_Rate,hover_pty_turn_Strike_Rate,pty_fist_time_winners_pct
12,209,34,10,40,15,3,61,130,26,53,23,16,2018,1605,39,2,8,7,27,7,5,0,0,1,1,BJP,11.48,#ff9933,5.88,2 (5.88%),50,50.0% (1/2),12.5,12.5% (1/8),0
12,209,34,10,40,15,3,61,130,26,53,23,16,2018,3482,40,24,2,29,10,6,24,0,0,4,0,INC,47.54,#138808,70.59,24 (70.59%),16.67,16.67% (4/24),0,0.0% (0/2),0
12,209,34,10,40,15,3,61,130,26,53,23,16,2018,10809,63,0,0,7,53,4,6,8,5,0,0,IND,11.48,#808080,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),34.78
12,209,34,10,40,15,3,61,130,26,53,23,16,2018,5430,40,7,4,17,17,6,17,15,11,5,2,MNF,27.87,#CA8C1F,20.59,7 (20.59%),71.43,71.43% (5/7),50,50.0% (2/4),65.22
12,209,34,10,40,15,3,61,130,26,53,23,16,2018,5792,5,0,0,0,3,2,0,0,0,0,0,NCP,0,#99003d,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
12,209,34,10,40,15,3,61,130,26,53,23,16,2018,5671,9,1,1,1,8,0,1,0,0,0,0,NPEP,1.64,#AB7B4A,2.94,1 (2.94%),0,0.0% (0/1),0,0.0% (0/1),0
12,209,34,10,40,15,3,61,130,26,53,23,16,2018,11945,13,0,0,0,12,1,0,0,0,0,0,PRISM,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
11,142,35,26,40,4,0,60,72,36,34,13,6,2013,1605,17,0,1,2,14,3,0,0,0,0,0,BJP,3.33,#ff9933,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/1),0
11,142,35,26,40,4,0,60,72,36,34,13,6,2013,3482,40,30,0,31,7,15,18,7,5,26,0,INC,51.67,#138808,85.71,30 (85.71%),86.67,86.67% (26/30),nan,nan% (0/0),53.85
11,142,35,26,40,4,0,60,72,36,34,13,6,2013,10809,4,0,0,0,4,0,0,0,0,0,0,IND,0,#808080,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
11,142,35,26,40,4,0,60,72,36,34,13,6,2013,4036,1,0,0,0,1,0,0,0,0,0,0,JMBP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
11,142,35,26,40,4,0,60,72,36,34,13,6,2013,5361,1,1,0,1,0,0,1,0,0,0,0,MDF,1.67,#b7ae02,2.86,1 (2.86%),0,0.0% (0/1),nan,nan% (0/0),0
11,142,35,26,40,4,0,60,72,36,34,13,6,2013,5430,31,2,2,16,12,10,9,5,1,0,0,MNF,26.67,#CA8C1F,5.71,2 (5.71%),0,0.0% (0/2),0,0.0% (0/2),38.46
11,142,35,26,40,4,0,60,72,36,34,13,6,2013,5438,8,1,0,6,2,4,2,1,0,0,0,MPC,10,#b38e85,2.86,1 (2.86%),0,0.0% (0/1),nan,nan% (0/0),7.69
11,142,35,26,40,4,0,60,72,36,34,13,6,2013,5792,2,0,0,0,2,0,0,0,0,0,0,NCP,0,#99003d,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
11,142,35,26,40,4,0,60,72,36,34,13,6,2013,8619,38,1,1,4,30,4,4,0,0,0,0,ZNP,6.67,#069568,2.86,1 (2.86%),0,0.0% (0/1),0,0.0% (0/1),0
10,206,31,13,40,10,0,54,138,21,47,21,14,2008,1605,9,0,0,0,9,0,0,0,0,0,0,BJP,0,#ff9933,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
10,206,31,13,40,10,0,54,138,21,47,21,14,2008,3482,40,10,3,18,17,5,18,18,13,9,0,INC,33.33,#138808,32.26,10 (32.26%),90,90.0% (9/10),0,0.0% (0/3),85.71
10,206,31,13,40,10,0,54,138,21,47,21,14,2008,10809,33,1,0,3,29,2,2,0,0,0,0,IND,5.56,#808080,3.23,1 (3.23%),0,0.0% (0/1),nan,nan% (0/0),0
10,206,31,13,40,10,0,54,138,21,47,21,14,2008,11002,2,0,0,0,2,0,0,0,0,0,0,JD(U),0,#90f887,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
10,206,31,13,40,10,0,54,138,21,47,21,14,2008,4941,5,0,0,0,5,0,0,0,0,0,0,LB,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
10,206,31,13,40,10,0,54,138,21,47,21,14,2008,5029,38,0,3,1,34,3,1,0,0,0,0,LJP,1.85,#0094DE,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/3),0
