State_Name,Year,Assembly_No,Constituency_No,Constituency_Name,Constituency_Type,Candidate,Party,Votes,Position,Vote_Share_Percentage,Last_Position,Last_Candidate,Position_Change,Vote_Share_Change_pct
Mysore,1972,5,1,AURAD,GEN,MANIK RAO PATIL,NCO,18570,2,34.15,,,,34.15
Mysore,1972,5,1,AURAD,GEN,GANPAT RAO KHOBA,INC,13376,3,24.6,1,M. R. S. RAO,-2,-32.76
Mysore,1972,5,2,BHALKI,GEN,SUBHASH ASTURE,INC,22561,1,73.11,1,B. SHIVALINGAPPA,0,7.38
Mysore,1972,5,2,BHALKI,GEN,HEERACHAND WAGHMARE,SOP,7628,2,24.72,,,,24.72
Mysore,1972,5,2,BHALKI,GEN,SHIVSHARANAPPA WALI,BJS,669,3,2.17,,,,2.17
Mysore,1972,5,3,HULSUR,SC,MAHENDRA KUMAR KALLAPPA,INC,13282,1,67.13,1,P. R. DHONDIBHA,0,13.69
Mysore,1972,5,3,HULSUR,SC,MARUTHI DEVENDRA,SOP,4159,2,21.02,,,,21.02
Mysore,1972,5,3,HULSUR,SC,BRAHMAKANT NARSING RAO,BJS,667,4,3.37,,,,3.37
Mysore,1972,5,4,BIDAR,GEN,MANIKRAO R. PHULEKER,INC,16562,1,41.08,2,M. A. KHAN,1,-1.39
Mysore,1972,5,4,BIDAR,GEN,SA NABI SYED SAMEB,NCO,6862,3,17.02,,,,17.02
Mysore,1972,5,5,HUMNABAD,GEN,V. N. PATIL NEELAPPA,CPI,14376,1,33.95,1,V. N. PATIL,0,-11.98
Mysore,1972,5,5,HUMNABAD,GEN,MANIK RAO RAMANNA,NCO,13935,2,32.91,,,,32.91
Mysore,1972,5,6,BASAVA KALYAN,GEN,BAPURAO ANAND RAO,INC,24995,1,55.1,3,A. VAIJNATH,2,33.27
Mysore,1972,5,7,CHINCHOLI,GEN,DEVENDRAPPA GHALAPPA,INC,24364,1,59.52,1,V. P. BASAPPA,0,-28.46
Mysore,1972,5,7,CHINCHOLI,GEN,C. P. BASWANTRAO PATIL,NCO,15322,2,37.43,,,,37.43
Mysore,1972,5,8,KAMALAPUR,GEN,SUBHASH SHANKERSHETTY,INC,22196,1,70.31,1,L. CHANDRASHEKHAR,0,23.96
Mysore,1972,5,8,KAMALAPUR,GEN,HANMANTH RAO SHARNAPPA,SOP,9375,2,29.69,,,,29.69
Mysore,1972,5,9,ALAND,GEN,ANNA RAO VEERBHADRAPPA,INC,32181,1,73.78,2,A. R. B. RAO,1,24.38
Mysore,1972,5,9,ALAND,GEN,ANNA RAO BHIM RAO,NCO,10721,2,24.58,,,,24.58
Mysore,1972,5,9,ALAND,GEN,SHANKAR RAO SIDGEERAPPA,BJS,717,3,1.64,,,,1.64
Mysore,1972,5,10,GULBARGA,GEN,MOHAMMED ALI MEHTAB ALI,INC,22657,1,47.97,1,M. A. M. ALI,0,-5.99
Mysore,1972,5,10,GULBARGA,GEN,A. SHARMA JAITIRTHACHARY,BJS,11663,2,24.7,3,M. SHIVALINGAYYA,1,18.53
Mysore,1972,5,10,GULBARGA,GEN,GANGADHAR NAMOSHI,CPM,8892,3,18.83,2,G. NAMOSHI,-1,-21.04
