State_Name,Year,Assembly_No,Party,Total_Cand,Winners,Deposit_Lost,Avg_Winning_Margin,Strike_Rate,position
Mysore,1972,5,CPI,4,3,0,17.49,75.0,2
Mysore,1972,5,INC,212,165,0,19.94,77.83,1
Mysore,1972,5,IND,250,20,189,0.98,8.0,6
Mysore,1972,5,JPP,2,1,0,2.43,50.0,3
Mysore,1972,5,NCO,176,24,32,1.62,13.64,4
Mysore,1972,5,SOP,29,3,19,1.35,10.34,5
Mysore,1967,4,BJS,37,4,24,1.36,10.81,7
Mysore,1967,4,CPI,6,1,3,0.73,16.67,5
Mysore,1967,4,CPM,10,1,4,0.31,10.0,8
Mysore,1967,4,INC,216,126,1,14.09,58.33,1
Mysore,1967,4,IND,331,41,199,2.11,12.39,6
Mysore,1967,4,PSP,52,20,10,5.69,38.46,2
Mysore,1967,4,RPI,12,1,9,1.28,8.33,9
Mysore,1967,4,SSP,17,6,5,9.16,35.29,4
Mysore,1967,4,SWA,45,16,12,4.61,35.56,3
Mysore,1962,3,CPI,31,3,23,0.48,9.68,8
Mysore,1962,3,INC,208,138,0,16.14,66.35,2
Mysore,1962,3,IND,179,27,107,2.16,15.08,6
Mysore,1962,3,LSS,17,4,4,2.4,23.53,4
Mysore,1962,3,MES,6,6,0,25,100.0,1
Mysore,1962,3,PSP,84,20,15,3.28,23.81,3
Mysore,1962,3,SOC,9,1,5,4.21,11.11,7
Mysore,1962,3,SWA,59,9,23,2.63,15.25,5
