Assembly_No,Total_Candidates,No_Incumbents,Successful_Incumbents,Total_Seats,Turncoats,Successful_Turncoats,No_Recontests,First_contests,Second_contests,Multiple_contests,No_first_time_winners,First_Contest_winners,Year,Party_ID,pty_Total_Candidates,pty_Incumbents,pty_Turncoats,pty_Recontests,pty_First_contests,pty_Second_contests,pty_Multiple_contests,pty_first_time_winners,pty_First_Contest_winners,pty_Successful_Incumbents,pty_Successful_Turncoats,Party,pty_recontests_pct,Color,pty_incm_recontests_pct,hover_pty_incm_recontests_pct,pty_incm_Strike_Rate,hover_pty_incm_Strike_Rate,pty_turn_Strike_Rate,hover_pty_turn_Strike_Rate,pty_fist_time_winners_pct
5,820,55,30,216,52,25,116,669,114,37,171,142,1972,9325,102,0,2,1,100,1,1,0,0,0,0,BJS,0.86,#ff9933,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/2),0
5,820,55,30,216,52,25,116,669,114,37,171,142,1972,4730,2,0,0,1,1,0,1,1,0,0,0,JPP,0.86,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0.58
5,820,55,30,216,52,25,116,669,114,37,171,142,1972,3805,176,14,25,27,142,24,10,18,14,4,8,NCO,23.28,#135508,25.45,14 (25.45%),28.57,28.57% (4/14),32,32.0% (8/25),10.53
5,820,55,30,216,52,25,116,669,114,37,171,142,1972,7619,29,1,3,5,23,6,0,2,2,1,0,SOP,4.31,,1.82,1 (1.82%),100,100.0% (1/1),0,0.0% (0/3),1.17
5,820,55,30,216,52,25,116,669,114,37,171,142,1972,12923,28,1,0,4,22,6,0,0,0,0,0,SWA,3.45,#0066cc,1.82,1 (1.82%),0,0.0% (0/1),nan,nan% (0/0),0
4,727,50,20,216,12,6,88,639,88,0,196,177,1967,4152,37,0,1,3,34,3,0,4,4,0,0,BJS,3.41,#ff9933,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/1),2.04
4,727,50,20,216,12,6,88,639,88,0,196,177,1967,2444,6,0,0,0,6,0,0,1,1,0,0,CPI,0,#ff3300,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0.51
4,727,50,20,216,12,6,88,639,88,0,196,177,1967,14635,10,0,1,1,9,1,0,1,1,0,0,CPM,1.14,#991f00,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/1),0.51
4,727,50,20,216,12,6,88,639,88,0,196,177,1967,3482,216,31,6,44,172,44,0,112,104,14,4,INC,50,#138808,62,31 (62.0%),45.16,45.16% (14/31),66.67,66.67% (4/6),57.14
4,727,50,20,216,12,6,88,639,88,0,196,177,1967,10809,331,11,0,24,307,24,0,37,30,4,0,IND,27.27,#808080,22,11 (22.0%),36.36,36.36% (4/11),nan,nan% (0/0),18.88
4,727,50,20,216,12,6,88,639,88,0,196,177,1967,6046,1,0,0,0,1,0,0,0,0,0,0,PFR,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
4,727,50,20,216,12,6,88,639,88,0,196,177,1967,6168,52,7,0,10,42,10,0,18,17,2,0,PSP,11.36,,14,7 (14.0%),28.57,28.57% (2/7),nan,nan% (0/0),9.18
4,727,50,20,216,12,6,88,639,88,0,196,177,1967,6911,12,0,1,1,11,1,0,1,1,0,0,RPI,1.14,,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/1),0.51
4,727,50,20,216,12,6,88,639,88,0,196,177,1967,7619,17,0,2,2,15,2,0,6,5,0,1,SSP,2.27,#1c0ea0,0,0 (0.0%),nan,nan% (0/0),50,50.0% (1/2),3.06
4,727,50,20,216,12,6,88,639,88,0,196,177,1967,12923,45,1,1,3,42,3,0,16,14,0,1,SWA,3.41,#0066cc,2,1 (2.0%),0,0.0% (0/1),100,100.0% (1/1),8.16
3,679,0,0,208,0,0,0,679,0,0,208,208,1962,2444,31,0,0,0,31,0,0,3,3,0,0,CPI,nan,#ff3300,nan,0 (nan%),nan,nan% (0/0),nan,nan% (0/0),1.44
3,679,0,0,208,0,0,0,679,0,0,208,208,1962,3482,208,0,0,0,208,0,0,138,138,0,0,INC,nan,#138808,nan,0 (nan%),nan,nan% (0/0),nan,nan% (0/0),66.35
3,679,0,0,208,0,0,0,679,0,0,208,208,1962,10809,179,0,0,0,179,0,0,27,27,0,0,IND,nan,#808080,nan,0 (nan%),nan,nan% (0/0),nan,nan% (0/0),12.98
3,679,0,0,208,0,0,0,679,0,0,208,208,1962,4152,63,0,0,0,63,0,0,0,0,0,0,JS,nan,#339966,nan,0 (nan%),nan,nan% (0/0),nan,nan% (0/0),0
3,679,0,0,208,0,0,0,679,0,0,208,208,1962,11536,17,0,0,0,17,0,0,4,4,0,0,LSS,nan,,nan,0 (nan%),nan,nan% (0/0),nan,nan% (0/0),1.92
3,679,0,0,208,0,0,0,679,0,0,208,208,1962,5249,6,0,0,0,6,0,0,6,6,0,0,MES,nan,,nan,0 (nan%),nan,nan% (0/0),nan,nan% (0/0),2.88
3,679,0,0,208,0,0,0,679,0,0,208,208,1962,6168,84,0,0,0,84,0,0,20,20,0,0,PSP,nan,,nan,0 (nan%),nan,nan% (0/0),nan,nan% (0/0),9.62
