Assembly_No,MyNeta_education,MLAs_var
14,10th Pass,2
14,12th Pass,8
14,8th Pass,6
14,Doctorate,1
14,Graduate,21
14,Graduate Professional,5
14,Illiterate,1
14,Others,2
14,Post Graduate,14
13,10th Pass,4
13,12th Pass,9
13,8th Pass,6
13,Doctorate,2
13,Graduate,22
13,Graduate Professional,6
13,Illiterate,1
13,Post Graduate,10
12,10th Pass,7
12,12th Pass,5
12,8th Pass,4
12,Doctorate,2
12,Graduate,28
12,Graduate Professional,8
12,Illiterate,1
12,Post Graduate,5
11,10th Pass,10
11,12th Pass,4
11,8th Pass,4
11,Graduate,20
11,Graduate Professional,8
11,Post Graduate,9
11,Unknown,5
