Assembly_No,Total_Candidates,Contesting_Incumbents,Successful_Incumbents,Total_Seats,Turncoats,Successful_Turncoats,Recontesting_Candidates,First_Contests,Second_Contests,Multiple_Contests,No_first_time_winners,First_Contest_Winners,Year,Recontesting_Candidates_pct,First_Contests_pct,Second_Contests_pct,Multiple_Contests_pct,Contesting_Incumbents_pct,Successful_Incumbents_pct,No_first_time_winners_pct,First_Contest_Winners_pct,Incumbent_Strike_Rate,Turncoat_Strike_Rate
14,184,54,23,60,57,18,93,79,39,66,31,18,2023,50.54,42.93,21.2,35.87,90,38.33,51.67,30,42.59,31.58
13,196,54,37,60,54,25,101,88,32,76,17,14,2018,51.53,44.9,16.33,38.78,90,61.67,28.33,23.33,68.52,46.3
12,187,52,27,60,25,7,103,66,36,85,26,13,2013,55.08,35.29,19.25,45.45,86.67,45,43.33,21.67,51.92,28
11,218,61,33,60,55,16,118,86,52,80,20,13,2008,54.13,39.45,23.85,36.7,101.67,55,33.33,21.67,54.1,29.09
10,225,54,18,60,52,22,63,106,27,92,26,17,2003,28,47.11,12,40.89,90,30,43.33,28.33,33.33,42.31
9,80,42,37,60,6,5,53,17,12,51,14,9,1998,66.25,21.25,15,63.75,70,61.67,23.33,15,88.1,83.33
8,179,47,19,60,36,16,84,64,24,91,23,13,1993,46.93,35.75,13.41,50.84,78.33,31.67,38.33,21.67,40.43,44.44
7,140,54,28,60,59,23,107,23,37,80,24,4,1989,76.43,16.43,26.43,57.14,90,46.67,40,6.67,51.85,38.98
6,214,52,35,60,12,7,99,97,41,76,17,12,1987,46.26,45.33,19.16,35.51,86.67,58.33,28.33,20,67.31,58.33
5,245,53,33,60,54,25,107,123,56,66,23,17,1982,43.67,50.2,22.86,26.94,88.33,55,38.33,28.33,62.26,46.3
4,204,45,19,60,24,7,93,98,65,41,40,24,1977,45.59,48.04,31.86,20.1,75,31.67,66.67,40,42.22,29.17
3,219,38,21,60,15,9,66,146,39,34,36,34,1974,30.14,66.67,17.81,15.53,63.33,35,60,56.67,55.26,60
2,144,35,19,40,1,1,40,97,40,7,18,16,1969,27.78,67.36,27.78,4.86,87.5,47.5,45,40,54.29,100
1,73,0,0,40,0,0,0,73,0,0,40,40,1964,0,100,0,0,0,0,100,100,0,0
