State_Name,Assembly_No,Year,month,Constituency_No,Constituency_Name,Turnout_Percentage,Vote_Share_Percentage,Constituency_Type,Electors,N_Cand,Position,Sex,Party,Votes,Elected,Margin_Percentage,Runner,Runner_Party,Runner_Sex,Nota_Percentage,Last_Party,Last_Elected,Vote_Share_Change_pct,Turnout_Change_pct,Margin_Change_pct,Party_Change
Nagaland,14,2023,3,1,DIMAPUR-I,79,67.01,General,25173,2,1,Male,BJP,13325,H. TOVIHOTO AYEMI,34.99,KEWEKHAPE THERIE,INC,M,0.98,BJP,H. TOVIHOTO AYEMI,3.48,-1.9,-0.78,
Nagaland,14,2023,3,2,DIMAPUR-II,75.36,53.19,ST,59520,3,1,Male,NDPP,23856,MOATOSHI LONGKUMER,11.48,Y. VIKHEHO AWOMI,Lok Janshakti Party(Ram Vilas),M,1.13,NPF,MOATOSHI LONGKUMER,-3.53,1.22,-6.46,NDPP
Nagaland,14,2023,3,3,DIMAPUR-III,82.1,45.16,ST,38824,5,1,Female,NDPP,14395,HEKANI JAKHALU,4.82,AZHETO ZHIMOMI,Lok Janshakti Party(Ram Vilas),M,0.42,NPF,AZHETO ZHIMOMI,-3.66,0.96,-3.11,NDPP
Nagaland,14,2023,3,4,GHASPANI-I,75.28,55.95,ST,76063,5,1,Male,BJP,32037,N. JACOB ZHIMOMI,35.1,V. PHUSHIKA AOMI,IND,M,0.46,BJP,N. JACOB ZHIMOMI,11.23,-3.66,30.14,
Nagaland,14,2023,3,5,GHASPANI-II,81.72,46.48,ST,30029,3,1,Male,NDPP,11405,ZHALEO RIO,17.01,Z. KASHETO YEPTHO,RPI(A),M,0.45,NDPP,ZHALEO RIO,-1.31,-4.8,-4.47,
Nagaland,14,2023,3,6,TENNING,82.97,29.39,ST,27621,6,1,Male,NCP,6736,Namri Nchang,1.47,Tarie Zeliang,NDPP,M,0.18,NDPP,NAMRI NCHANG,-4.85,5.98,0.65,NCP
Nagaland,14,2023,3,7,PEREN,75.98,67.36,ST,32826,3,1,Male,NDPP,16800,Taditui Rangkau Zeliang,39.75,Kingudi Joseph,NPF,M,0.56,NPF,TADITUI RANGKAU ZELIANG,5.7,-2.22,15.93,NDPP
Nagaland,14,2023,3,8,WESTERN ANGAMI,78,49.74,ST,18243,2,1,Female,NDPP,7078,Salhoutuonuo Kruse,0.05,Keneizhakho Nakhro,IND,M,0.56,NPF,KENEIZHAKHO NAKHRO,2.99,-4.42,-4.93,NDPP
Nagaland,14,2023,3,9,KOHIMA TOWN,68,49.56,ST,29209,3,1,Male,NPP,9844,Dr Tseilhoutuo Rhutso (Dr Ato),6.76,Dr Neikiesalie Nicky Kire,NDPP,M,0.52,NDPP,DR.NEIKIESALIE NICKY KIRE,-5.28,-4.64,-3.56,NPP
Nagaland,14,2023,3,10,NORTHERN ANGAMI-I,75.8,55.85,ST,18246,2,1,Male,NDPP,7724,Dr.Kekhrielhoulie Yhome,12.22,KHRIEHU LIEZIETSU,NPF,M,0.52,NPF,KHRIEHU LIEZIETSU,-3.47,-1.15,-6.96,NDPP
Nagaland,14,2023,3,11,NORTHERN ANGAMI-II,78.77,92.87,ST,23300,2,1,Male,NDPP,17045,Neiphiu Rio,86.22,SEYIEVILIE SACHU,INC,M,0.47,NDPP,NEIPHIU RIO,-7.13,78.77,-13.78,
Nagaland,14,2023,3,12,TSEMINYU,91.29,35.9,ST,24703,5,1,Male,Janata Dal(United),8096,JWENGA SEB,11.37,LOGUSENG SEMP,RPI(A),M,0.31,NDPP,R. KHING,-0.15,1.24,7.44,Janata Dal(United)
Nagaland,14,2023,3,13,PUGHOBOTO,92.11,52.8,ST,16056,2,1,Male,Lok Janshakti Party(Ram Vilas),7808,DR SUKHATO A SEMA,5.75,Y VIKHEHO SWU,NDPP,M,0.16,NPF,Y. VIKHEHO SWU,2.81,-1.2,5.19,Lok Janshakti Party(Ram Vilas)
Nagaland,14,2023,3,14,SOUTHERN ANGAMI-I,87,50.53,ST,15112,2,1,Male,IND,6643,Kevipodi Sophie,1.35,Medo Yhokha,NDPP,M,0.29,NDPP,VIKHO-O YHOSHÜ,-0.68,2.13,-16.96,IND
Nagaland,14,2023,3,15,SOUTHERN ANGAMI-II,87.1,36.97,ST,18586,3,1,Male,BJP,5985,Kropol Vitsu,2.78,Zale Neikha,NCP,M,0.27,NDPP,ZALE NEIKHA,-15.58,4.87,-2.58,BJP
Nagaland,14,2023,3,16,PFUTSERO,87,42.06,ST,21848,3,1,Male,IND,7995,DR.NEISATUO MERO,0.55,NEIBA KRONU,NDPP,M,0.33,NDPP,NEIBA KRONU,5.19,5.08,-7.23,IND
Nagaland,14,2023,3,17,CHIZAMI,86,43.28,ST,19042,4,1,Male,NDPP,7088,K. G Kenye,7.81,KEVECHUTSO DOULO,Lok Janshakti Party(Ram Vilas),M,0.4,NPF,KEZHIENYI KHALO,0.19,-3.15,5.16,NDPP
Nagaland,14,2023,3,18,CHAZOUBA,87,41.15,ST,26497,5,1,Male,NDPP,9485,KUDECHO KHAMO,9.71,DR. CHOTISUH SAZO,Lok Janshakti Party(Ram Vilas),M,0.16,NPF,CHOTISUH SAZO,-10.78,-1.76,5.43,NDPP
Nagaland,14,2023,3,19,PHEK,86,48.92,ST,22544,3,1,Male,NPF,9485,Kuzholuzo Nienu,0.25,Kupota Khesoh,NDPP,M,0.2,NPF,KUZHOLUZO NIENU,-13.49,1.37,-27.41,
Nagaland,14,2023,3,20,MELURI,91.6,58.04,ST,21172,4,1,Male,NDPP,11256,Z.NYUSIETHO NYUTHE,18.46,YITACHU,Lok Janshakti Party(Ram Vilas),M,0.28,NPF,YITACHU,10.27,-0.66,18.01,NDPP
Nagaland,14,2023,3,21,TULI,94.8,58.47,ST,18614,2,1,Male,BJP,10319,A. Pangjung Jamir,17.16,Amenba Yaden,NCP,M,0.22,NPF,AMENBA YADEN,31.83,11.36,11.05,BJP
Nagaland,14,2023,3,22,ARKAKONG,94.07,53.36,ST,18701,2,1,Male,NPP,9387,Nuklutoshi,6.84,Imnatiba,NDPP,M,0.12,NPEP,SHRI IMNATIBA,9.45,6.37,1.32,NPP
Nagaland,14,2023,3,23,IMPUR,91.06,54.24,ST,13820,2,1,Male,NDPP,6825,T N MANNEN,8.7,BENDANGKOKBA,INC,M,0.23,NPF,DR IMTIWAPANG AIER,4.06,-3.94,8.06,NDPP
Nagaland,14,2023,3,24,ANGETYONGPANG,85.13,51.14,ST,18483,3,1,Male,NDPP,8046,TONGPANG OZUKUM,14.11,ER K WATI,IND,M,0.13,IND,TONGPANG OZUKUM,14.3,4.79,6.51,NDPP
Nagaland,14,2023,3,25,MONGOYA,90.63,41.91,ST,17950,3,1,Male,NDPP,6818,IMKONGMAR,6.41,S SUPONGMEREN JAMIR,INC,M,0.21,NPF,NGANGSHI K AO,-8.76,5.8,3.85,NDPP
Nagaland,14,2023,3,26,AONGLENDEN,82.22,72.24,ST,11910,2,1,Male,NDPP,7074,SHARINGAIN LONGKUMER,44.83,TOSHIPOKBA,INC,M,0.35,NDPP,IMTIKUMZUK,22,-3.2,43.98,
Nagaland,14,2023,3,27,MOKOKCHUNG TOWN,78.16,78.66,ST,8650,2,1,Male,NDPP,5318,METSUBO JAMIR,57.85,ALEM JONGSHI,INC,M,0.53,NDPP,METSUBO JAMIR,25.79,0.07,39.94,
