State_Name,Year,Assembly_No,Party,Total_Seats_in_Assembly,Total_Votes_in_Assembly,Total_Votes_in_Contested_Seats,Total_Candidates,Winners,Deposits_Lost,Strike_Rate,Seat_Share,Vote_Share_in_Assembly,Vote_Share_in_Contested_Seats,position,Expanded_Party_Name
Nagaland,2023,14,BJP,60,1144709,418509,20,12,0,60.0,20,18.81,51.45,2,BHARATIYA JANATA PARTY
Nagaland,2023,14,CPI,60,1144709,11753,1,0,1,0.0,0,0,0.4,10,
Nagaland,2023,14,INC,60,1144709,519434,23,0,17,0.0,0,3.55,7.83,11,INDIAN NATIONAL CONGRESS
Nagaland,2023,14,IND,60,1144709,1144709,19,4,11,21.05263157894737,6.67,6.27,6.27,5,
Nagaland,2023,14,Janata Dal(United),60,1144709,169124,7,1,2,14.285714285714286,1.67,3.25,21.99,9,
Nagaland,2023,14,Lok Janshakti Party(Ram Vilas),60,1144709,329018,16,2,5,12.5,3.33,8.65,30.08,6,
Nagaland,2023,14,NCP,60,1144709,237432,12,7,0,58.333333333333336,11.67,9.56,46.1,3,NATIONALIST CONGRESS PARTY
Nagaland,2023,14,NDPP,60,1144709,726200,40,25,0,62.5,41.67,32.22,50.79,1,NATIONALIST DEMOCRATIC PROGRESSIVE PARTY
Nagaland,2023,14,NPF,60,1144709,442989,22,2,10,9.090909090909092,3.33,7.09,18.33,7,NAGA PEOPLE'S FRONT
Nagaland,2023,14,NPP,60,1144709,230576,12,5,5,41.666666666666664,8.33,5.78,28.69,4,NAGALAND PEOPLES PARTY
Nagaland,2023,14,None of the Above,60,1144709,1144709,59,0,0,0.0,0,0.31,0.31,12,
Nagaland,2023,14,RJD,60,1144709,66823,3,0,2,0.0,0,0.5,8.54,13,
Nagaland,2023,14,RPI(A),60,1144709,152486,8,2,2,25.0,3.33,3.69,27.67,8,
Nagaland,2023,14,Rising People's Party,60,1144709,22551,1,0,1,0.0,0,0.32,16.49,14,
Nagaland,2018,13,AAAP,60,1004761,106482,3,0,3,0.0,0,0.75,7.03,7,
Nagaland,2018,13,BJP,60,1004761,368982,20,12,1,60.0,20,15.31,41.7,3,BHARATIYA JANATA PARTY
Nagaland,2018,13,INC,60,1004761,322782,18,0,15,0.0,0,2.07,6.43,8,INDIAN NATIONAL CONGRESS
Nagaland,2018,13,IND,60,1004761,1004761,11,1,6,9.090909090909092,1.67,4.28,4.28,5,
Nagaland,2018,13,JD(U),60,1004761,235084,13,1,5,7.6923076923076925,1.67,4.49,19.18,6,JANATA DAL (UNITED)
Nagaland,2018,13,LJP,60,1004761,35616,2,0,2,0.0,0,0.28,7.76,9,
Nagaland,2018,13,NCP,60,1004761,98000,6,0,5,0.0,0,1.06,10.91,10,NATIONALIST CONGRESS PARTY
Nagaland,2018,13,NDPP,60,1004761,635779,40,18,2,45.0,30,25.3,39.98,2,NATIONALIST DEMOCRATIC PROGRESSIVE PARTY
Nagaland,2018,13,NOTA,60,1004761,1004761,60,0,0,0.0,0,0.57,0.57,11,
Nagaland,2018,13,NPEP,60,1004761,411775,25,2,16,8.0,3.33,7.12,17.36,4,NATIONAL PEOPLE'S PARTY
Nagaland,2018,13,NPF,60,1004761,952456,58,26,4,44.827586206896555,43.33,38.78,40.91,1,NAGA PEOPLE'S FRONT
Nagaland,2013,12,BJP,60,1094852,210059,11,1,8,9.090909090909092,1.67,1.75,9.1,5,BHARATIYA JANATA PARTY
Nagaland,2013,12,INC,60,1094852,983902,56,8,15,14.285714285714286,13.33,24.89,27.7,2,INDIAN NATIONAL CONGRESS
Nagaland,2013,12,IND,60,1094852,1094852,39,8,14,20.512820512820515,13.33,17.75,17.75,3,
Nagaland,2013,12,JD(U),60,1094852,53549,3,1,0,33.333333333333336,1.67,1.65,33.71,6,JANATA DAL (UNITED)
Nagaland,2013,12,NCP,60,1094852,295282,15,4,8,26.666666666666668,6.67,6.05,22.45,4,NATIONALIST CONGRESS PARTY
Nagaland,2013,12,NPF,60,1094852,1094852,60,38,1,63.333333333333336,63.33,47.04,47.04,1,NAGA PEOPLE'S FRONT
Nagaland,2013,12,RJD,60,1094852,46184,2,0,1,0.0,0,0.5,11.79,7,
Nagaland,2013,12,UNDP,60,1094852,20589,1,0,0,0.0,0,0.37,19.77,8,
Nagaland,2008,11,APP,60,1133221,14692,1,0,1,0.0,0,0.01,0.55,6,
Nagaland,2008,11,BJP,60,1133221,456412,23,2,15,8.695652173913043,3.33,5.35,13.28,4,BHARATIYA JANATA PARTY
Nagaland,2008,11,INC,60,1133221,1133221,60,23,8,38.333333333333336,38.33,36.28,36.28,2,INDIAN NATIONAL CONGRESS
Nagaland,2008,11,IND,60,1133221,1133221,33,7,14,21.21212121212121,11.67,13.09,13.09,3,
Nagaland,2008,11,JD(S),60,1133221,91464,4,0,4,0.0,0,0.32,4.01,7,
Nagaland,2008,11,JD(U),60,1133221,65727,3,0,3,0.0,0,0.29,4.93,8,JANATA DAL (UNITED)
Nagaland,2008,11,LJP,60,1133221,57085,3,0,3,0.0,0,0.26,5.19,9,
Nagaland,2008,11,NCP,60,1133221,185725,8,2,3,25.0,3.33,4.01,24.44,5,NATIONALIST CONGRESS PARTY
Nagaland,2008,11,NPF,60,1133221,1066701,56,26,9,46.42857142857143,43.33,33.62,35.71,1,NAGA PEOPLE'S FRONT
Nagaland,2008,11,RJD,60,1133221,493433,25,0,15,0.0,0,6.56,15.06,10,
Nagaland,2008,11,UNDP,60,1133221,36286,2,0,2,0.0,0,0.23,7.12,11,
Nagaland,2003,10,AITC,60,888761,28733,2,0,1,0.0,0,0.33,10.27,8,
Nagaland,2003,10,BJP,60,888761,618940,38,7,28,18.42105263157895,11.67,10.88,15.62,3,BHARATIYA JANATA PARTY
Nagaland,2003,10,INC,60,888761,888761,60,21,4,35.0,35,35.86,35.86,1,INDIAN NATIONAL CONGRESS
Nagaland,2003,10,IND,60,888761,888761,17,4,9,23.529411764705884,6.67,4.42,4.42,5,
Nagaland,2003,10,JD(U),60,888761,264368,13,3,5,23.076923076923077,5,5.8,19.5,6,JANATA DAL (UNITED)
Nagaland,2003,10,NCP,60,888761,122066,7,0,5,0.0,0,1.99,14.52,9,NATIONALIST CONGRESS PARTY
Nagaland,2003,10,NDM,60,888761,369171,25,5,10,20.0,8.33,9.53,22.94,4,NATIONALIST DEMOCRATIC MOVEMEN
Nagaland,2003,10,NLDP,60,888761,28619,2,0,2,0.0,0,0.05,1.48,10,
Nagaland,2003,10,NPF,60,888761,818350,54,19,11,35.18518518518518,31.67,29.76,32.33,2,NAGA PEOPLE'S FRONT
Nagaland,2003,10,RLD,60,888761,43101,3,0,3,0.0,0,0.2,4.17,11,
Nagaland,2003,10,SAP,60,888761,49440,4,1,2,25.0,1.67,1.18,21.15,7,SAMATA PARTY
Nagaland,1998,9,INC,60,203432,203432,60,53,0,88.33333333333333,88.33,50.73,50.73,1,INDIAN NATIONAL CONGRESS
Nagaland,1998,9,IND,60,203432,203432,20,7,2,35.0,11.67,49.27,49.27,2,
Nagaland,1993,8,BJP,60,729729,92561,6,0,6,0.0,0,0.35,2.77,5,BHARATIYA JANATA PARTY
Nagaland,1993,8,DLP,60,729729,40208,3,1,2,33.333333333333336,1.67,0.51,9.34,4,DEMOCRATIC LABOUR PARTY
Nagaland,1993,8,INC,60,729729,729729,59,35,1,59.32203389830509,58.33,46.02,46.02,1,INDIAN NATIONAL CONGRESS
Nagaland,1993,8,IND,60,729729,729729,51,7,14,13.72549019607843,11.67,20.29,20.29,3,
Nagaland,1993,8,NPC,60,729729,729729,60,17,12,28.333333333333332,28.33,32.82,32.82,2,NAGALAND PEOPLES CONFERENCE
Nagaland,1989,7,INC,60,493296,493296,60,36,0,60.0,60,51.45,51.45,1,INDIAN NATIONAL CONGRESS
Nagaland,1989,7,IND,60,493296,493296,12,0,7,0.0,0,4.18,4.18,3,
Nagaland,1989,7,NPC,60,493296,493296,60,24,4,40.0,40,41.61,41.61,2,NAGALAND PEOPLES CONFERENCE
Nagaland,1989,7,NPP,60,493296,77579,8,0,4,0.0,0,2.76,17.53,4,NAGALAND PEOPLES PARTY
Nagaland,1987,6,BJP,60,484921,17252,2,0,2,0.0,0,0.19,5.37,5,BHARATIYA JANATA PARTY
Nagaland,1987,6,INC,60,484921,484921,60,34,0,56.666666666666664,56.67,39.84,39.84,1,INDIAN NATIONAL CONGRESS
Nagaland,1987,6,IND,60,484921,484921,60,7,24,11.666666666666666,11.67,20.61,20.61,3,
Nagaland,1987,6,NND,60,484921,484921,60,18,7,30.0,30,30.33,30.33,2,NAGA NATIONAL DEMOCRATIC PARTY
Nagaland,1987,6,NPP,60,484921,246764,32,1,18,3.125,1.67,9.03,17.74,4,NAGALAND PEOPLES PARTY
Nagaland,1982,5,INC,60,437705,437705,60,24,6,40.0,40,32.08,32.08,1,INDIAN NATIONAL CONGRESS
Nagaland,1982,5,IND,60,437705,437705,125,12,59,9.6,20,35.91,35.91,3,
Nagaland,1982,5,NND,60,437705,437705,60,24,5,40.0,40,32.01,32.01,2,NAGA NATIONAL DEMOCRATIC PARTY
Nagaland,1977,4,INC,60,324994,208443,37,15,4,40.54054054054054,25,20.19,31.48,2,INDIAN NATIONAL CONGRESS
Nagaland,1977,4,IND,60,324994,324994,76,9,27,11.842105263157896,15,28.74,28.74,3,
Nagaland,1977,4,NCN,60,324994,176145,31,1,11,3.225806451612903,1.67,11.85,21.87,4,NATIONAL CONVENTION OF NAGALAND
Nagaland,1977,4,UDF,60,324994,324994,60,35,1,58.333333333333336,58.33,39.21,39.21,1,UNITED DEMOCRATIC FRONT
Nagaland,1974,3,IND,60,289899,289899,108,12,57,11.11111111111111,20,34.28,34.28,3,
Nagaland,1974,3,NNO,60,289899,285451,58,23,5,39.6551724137931,38.33,35.71,36.26,2,NAGALAND NATIONALIST ORGANISATION
Nagaland,1974,3,UDF,60,289899,258231,53,25,5,47.16981132075472,41.67,30.01,33.69,1,UNITED DEMOCRATIC FRONT
Nagaland,1969,2,IND,40,138399,138399,74,8,27,10.81081081081081,20,39.58,39.58,3,
