State_Name,Year,Assembly_No,Constituency_No,Constituency_Name,Constituency_Type,Candidate,Party,Votes,Position,Vote_Share_Percentage,Last_Position,Last_Candidate,Position_Change,Vote_Share_Change_pct
Nagaland,2023,14,1,DIMAPUR-I,GEN,H. TOVIHOTO AYEMI,BJP,13325,1,67.01,1,H. TOVIHOTO AYEMI,0,3.48
Nagaland,2023,14,1,DIMAPUR-I,GEN,KEWEKHAPE THERIE,INC,6366,2,32.01,3,W. KHOLIE KAPFO,1,24.45
Nagaland,2023,14,1,DIMAPUR-I,GEN,NOTA,None of the Above,195,3,0.98,,,,0.98
Nagaland,2023,14,2,DIMAPUR-II,ST,MOATOSHI LONGKUMER,NDPP,23856,1,53.19,2,SUPULEBTEN,1,14.41
Nagaland,2023,14,2,DIMAPUR-II,ST,Y. VIKHEHO AWOMI,Lok Janshakti Party(Ram Vilas),18709,2,41.71,,,,41.71
Nagaland,2023,14,2,DIMAPUR-II,ST,S. AMENTO CHISHI,INC,1784,3,3.98,,,,3.98
Nagaland,2023,14,2,DIMAPUR-II,ST,NOTA,None of the Above,505,4,1.13,,,,1.13
Nagaland,2023,14,3,DIMAPUR-III,ST,HEKANI JAKHALU,NDPP,14395,1,45.16,2,TOKHEHO,1,4.27
Nagaland,2023,14,3,DIMAPUR-III,ST,AZHETO ZHIMOMI,Lok Janshakti Party(Ram Vilas),12859,2,40.34,,,,40.34
Nagaland,2023,14,3,DIMAPUR-III,ST,VETETSO LASUH,INC,370,5,1.16,3,LUN TUNGNUNG,-2,-6.82
Nagaland,2023,14,3,DIMAPUR-III,ST,NOTA,None of the Above,134,6,0.42,,,,0.42
Nagaland,2023,14,4,GHASPANI-I,ST,N. JACOB ZHIMOMI,BJP,32037,1,55.95,1,N. JACOB ZHIMOMI,0,11.23
Nagaland,2023,14,4,GHASPANI-I,ST,IMSUMONGBA PONGEN,Janata Dal(United),8228,3,14.37,,,,14.37
Nagaland,2023,14,4,GHASPANI-I,ST,AKAVI N. ZHIMOMI,INC,4513,4,7.88,4,NAGAVITO SUMI,0,5.02
Nagaland,2023,14,4,GHASPANI-I,ST,VIKATO AYE,NPF,277,5,0.48,,,,0.48
Nagaland,2023,14,4,GHASPANI-I,ST,NOTA,None of the Above,264,6,0.46,,,,0.46
Nagaland,2023,14,5,GHASPANI-II,ST,ZHALEO RIO,NDPP,11405,1,46.48,1,ZHALEO RIO,0,-1.31
Nagaland,2023,14,5,GHASPANI-II,ST,Z. KASHETO YEPTHO,RPI(A),7230,2,29.46,,,,29.46
Nagaland,2023,14,5,GHASPANI-II,ST,KITOHO S. ROTOKHA,Lok Janshakti Party(Ram Vilas),5793,3,23.61,,,,23.61
Nagaland,2023,14,5,GHASPANI-II,ST,NOTA,None of the Above,111,4,0.45,,,,0.45
Nagaland,2023,14,6,TENNING,ST,Namri Nchang,NCP,6736,1,29.39,,,,29.39
Nagaland,2023,14,6,TENNING,ST,Tarie Zeliang,NDPP,6399,2,27.92,1,NAMRI NCHANG,-1,-6.32
Nagaland,2023,14,6,TENNING,ST,Zandi Domta,NPP,2467,4,10.76,,,,10.76
Nagaland,2023,14,6,TENNING,ST,Rosy Thomson,INC,1704,5,7.44,,,,7.44
Nagaland,2023,14,6,TENNING,ST,NOTA,None of the Above,42,6,0.18,,,,0.18
Nagaland,2023,14,6,TENNING,ST,Henry Zeliang,NPF,39,7,0.17,2,NAMDUADI RANGKAU ZELIANG,-5,-33.25
Nagaland,2023,14,7,PEREN,ST,Taditui Rangkau Zeliang,NDPP,16800,1,67.36,2,IHERIE NDANG,1,29.52
Nagaland,2023,14,7,PEREN,ST,Kingudi Joseph,NPF,6885,2,27.61,1,TADITUI RANGKAU ZELIANG,-1,-34.05
Nagaland,2023,14,7,PEREN,ST,NOTA,None of the Above,140,4,0.56,,,,0.56
Nagaland,2023,14,8,WESTERN ANGAMI,ST,Salhoutuonuo Kruse,NDPP,7078,1,49.74,2,ER.KEVISEKHO KRUSE,1,7.97
Nagaland,2023,14,8,WESTERN ANGAMI,ST,NOTA,None of the Above,80,3,0.56,,,,0.56
Nagaland,2023,14,9,KOHIMA TOWN,ST,Dr Tseilhoutuo Rhutso (Dr Ato),NPP,9844,1,49.56,,,,49.56
Nagaland,2023,14,9,KOHIMA TOWN,ST,Dr Neikiesalie Nicky Kire,NDPP,8502,2,42.81,1,DR.NEIKIESALIE NICKY KIRE,-1,-12.03
Nagaland,2023,14,9,KOHIMA TOWN,ST,Er Meshenlo Kath,INC,1413,3,7.11,,,,7.11
Nagaland,2023,14,9,KOHIMA TOWN,ST,NOTA,None of the Above,103,4,0.52,,,,0.52
Nagaland,2023,14,10,NORTHERN ANGAMI-I,ST,Dr.Kekhrielhoulie Yhome,NDPP,7724,1,55.85,2,DR.KEKHRIELHOULIE YHOME,1,15.71
Nagaland,2023,14,10,NORTHERN ANGAMI-I,ST,KHRIEHU LIEZIETSU,NPF,6034,2,43.63,1,KHRIEHU LIEZIETSU,-1,-15.69
Nagaland,2023,14,10,NORTHERN ANGAMI-I,ST,NOTA,None of the Above,72,3,0.52,,,,0.52
Nagaland,2023,14,11,NORTHERN ANGAMI-II,ST,Neiphiu Rio,NDPP,17045,1,92.87,1,NEIPHIU RIO,0,-7.13
Nagaland,2023,14,11,NORTHERN ANGAMI-II,ST,SEYIEVILIE SACHU,INC,1221,2,6.65,,,,6.65
Nagaland,2023,14,11,NORTHERN ANGAMI-II,ST,NOTA,None of the Above,87,3,0.47,,,,0.47
Nagaland,2023,14,12,TSEMINYU,ST,JWENGA SEB,Janata Dal(United),8096,1,35.9,,,,35.9
Nagaland,2023,14,12,TSEMINYU,ST,LOGUSENG SEMP,RPI(A),5533,2,24.54,,,,24.54
Nagaland,2023,14,12,TSEMINYU,ST,R. KHING,NDPP,4781,3,21.2,1,R. KHING,-2,-14.85
Nagaland,2023,14,12,TSEMINYU,ST,JOEL NAGA,Rising People's Party,3718,4,16.49,,,,16.49
Nagaland,2023,14,12,TSEMINYU,ST,ER. LEVI RENGMA,Lok Janshakti Party(Ram Vilas),352,5,1.56,,,,1.56
Nagaland,2023,14,12,TSEMINYU,ST,NOTA,None of the Above,71,6,0.31,,,,0.31
