State_Name,Year,Assembly_No,Party,Total_Cand,Winners,Deposit_Lost,Avg_Winning_Margin,Strike_Rate,position
Nagaland,2023,14,BJP,20,12,0,11.51,60.0,2
Nagaland,2023,14,IND,19,4,11,1.76,21.05,6
Nagaland,2023,14,Janata Dal(United),7,1,2,1.62,14.29,7
Nagaland,2023,14,Lok Janshakti Party(Ram Vilas),16,2,5,0.51,12.5,8
Nagaland,2023,14,NCP,12,7,0,4.37,58.33,3
Nagaland,2023,14,NDPP,40,25,0,14.29,62.5,1
Nagaland,2023,14,NPF,22,2,10,0.65,9.09,9
Nagaland,2023,14,NPP,12,5,5,2.77,41.67,4
Nagaland,2023,14,RPI(A),8,2,2,0.56,25.0,5
Nagaland,2018,13,BJP,20,12,1,7.88,60.0,1
Nagaland,2018,13,IND,11,1,6,0.69,9.09,4
Nagaland,2018,13,JD(U),13,1,5,1.46,7.69,6
Nagaland,2018,13,NDPP,40,18,2,4.04,45.0,2
Nagaland,2018,13,NPEP,25,2,16,1.22,8.0,5
Nagaland,2018,13,NPF,58,26,4,4.7,44.83,3
Nagaland,2013,12,BJP,11,1,8,1.59,9.09,6
Nagaland,2013,12,INC,56,8,15,1.37,14.29,5
Nagaland,2013,12,IND,39,8,14,1.97,20.51,4
Nagaland,2013,12,JD(U),3,1,0,4.54,33.33,2
Nagaland,2013,12,NCP,15,4,8,1.35,26.67,3
Nagaland,2013,12,NPF,60,38,1,12.34,63.33,1
Nagaland,2008,11,BJP,23,2,15,0.47,8.7,5
Nagaland,2008,11,INC,60,23,8,4.71,38.33,2
Nagaland,2008,11,IND,33,7,14,2.07,21.21,4
Nagaland,2008,11,NCP,8,2,3,2.97,25.0,3
Nagaland,2008,11,NPF,56,26,9,6.8,46.43,1
Nagaland,2003,10,BJP,38,7,28,1.83,18.42,7
Nagaland,2003,10,INC,60,21,4,5.87,35.0,2
Nagaland,2003,10,IND,17,4,9,2.57,23.53,4
Nagaland,2003,10,JD(U),13,3,5,1.55,23.08,5
Nagaland,2003,10,NDM,25,5,10,2.35,20.0,6
Nagaland,2003,10,NPF,54,19,11,3.66,35.19,1
Nagaland,2003,10,SAP,4,1,2,1.59,25.0,3
Nagaland,1998,9,INC,60,53,0,4.19,88.33,1
Nagaland,1998,9,IND,20,7,2,4.13,35.0,2
Nagaland,1993,8,DLP,3,1,2,0.94,33.33,2
Nagaland,1993,8,INC,59,35,1,11.28,59.32,1
Nagaland,1993,8,IND,51,7,14,1.51,13.73,4
Nagaland,1993,8,NPC,60,17,12,2.87,28.33,3
Nagaland,1989,7,INC,60,36,0,11.13,60.0,1
Nagaland,1989,7,NPC,60,24,4,2.65,40.0,2
Nagaland,1987,6,INC,60,34,0,6.16,56.67,1
Nagaland,1987,6,IND,60,7,24,0.83,11.67,3
Nagaland,1987,6,NND,60,18,7,2.01,30.0,2
Nagaland,1987,6,NPP,32,1,18,0.06,3.12,4
Nagaland,1982,5,INC,60,24,6,3.89,40.0,1
Nagaland,1982,5,IND,125,12,59,0.73,9.6,3
Nagaland,1982,5,NND,60,24,5,3,40.0,2
Nagaland,1977,4,INC,37,15,4,2.99,40.54,2
Nagaland,1977,4,IND,76,9,27,1.06,11.84,3
Nagaland,1977,4,NCN,31,1,11,0.44,3.23,4
Nagaland,1977,4,UDF,60,35,1,8.1,58.33,1
Nagaland,1974,3,IND,108,12,57,0.7,11.11,3
Nagaland,1974,3,NNO,58,23,5,6.62,39.66,2
Nagaland,1974,3,UDF,53,25,5,5.48,47.17,1
Nagaland,1969,2,IND,74,8,27,0.94,10.81,3
Nagaland,1969,2,NNO,40,22,5,9.29,55.0,1
Nagaland,1969,2,UFN,30,10,7,4.97,33.33,2
Nagaland,1964,1,IND,73,40,9,11.51,54.79,1
