Assembly_No,Total_Candidates,No_Incumbents,Successful_Incumbents,Total_Seats,Turncoats,Successful_Turncoats,No_Recontests,First_contests,Second_contests,Multiple_contests,No_first_time_winners,First_Contest_winners,Year,Party_ID,pty_Total_Candidates,pty_Incumbents,pty_Turncoats,pty_Recontests,pty_First_contests,pty_Second_contests,pty_Multiple_contests,pty_first_time_winners,pty_First_Contest_winners,pty_Successful_Incumbents,pty_Successful_Turncoats,Party,pty_recontests_pct,Color,pty_incm_recontests_pct,hover_pty_incm_recontests_pct,pty_incm_Strike_Rate,hover_pty_incm_Strike_Rate,pty_turn_Strike_Rate,hover_pty_turn_Strike_Rate,pty_fist_time_winners_pct
14,184,54,23,60,57,18,93,79,39,66,31,18,2023,1605,20,12,4,15,5,5,10,3,3,7,3,BJP,16.13,#ff9933,22.22,12 (22.22%),58.33,58.33% (7/12),75,75.0% (3/4),9.68
14,184,54,23,60,57,18,93,79,39,66,31,18,2023,2444,1,0,1,0,0,1,0,0,0,0,0,CPI,0,#ff3300,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/1),0
14,184,54,23,60,57,18,93,79,39,66,31,18,2023,3482,23,0,3,6,15,4,4,0,0,0,0,INC,6.45,#138808,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/3),0
14,184,54,23,60,57,18,93,79,39,66,31,18,2023,10809,19,1,0,2,16,3,0,4,3,0,0,IND,2.15,#808080,1.85,1 (1.85%),0,0.0% (0/1),nan,nan% (0/0),12.9
14,184,54,23,60,57,18,93,79,39,66,31,18,2023,11002,7,0,1,1,6,0,1,1,1,0,0,Janata Dal(United),1.08,,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/1),3.23
14,184,54,23,60,57,18,93,79,39,66,31,18,2023,25146,16,5,12,12,3,3,10,2,1,0,1,Lok Janshakti Party(Ram Vilas),12.9,,9.26,5 (9.26%),0,0.0% (0/5),8.33,8.33% (1/12),6.45
14,184,54,23,60,57,18,93,79,39,66,31,18,2023,5792,12,7,10,10,2,3,7,4,2,2,5,NCP,10.75,#99003d,12.96,7 (12.96%),28.57,28.57% (2/7),50,50.0% (5/10),12.9
14,184,54,23,60,57,18,93,79,39,66,31,18,2023,5798,40,25,11,31,8,12,20,12,6,13,4,NDPP,33.33,#AD0200,46.3,25 (46.3%),52,52.0% (13/25),36.36,36.36% (4/11),38.71
14,184,54,23,60,57,18,93,79,39,66,31,18,2023,5552,22,3,6,8,11,4,7,1,0,1,0,NPF,8.6,#DA251D,5.56,3 (5.56%),33.33,33.33% (1/3),0,0.0% (0/6),3.23
14,184,54,23,60,57,18,93,79,39,66,31,18,2023,5671,12,0,4,3,8,1,3,2,1,0,4,NPP,3.23,#af6b43,0,0 (0.0%),nan,nan% (0/0),100,100.0% (4/4),6.45
14,184,54,23,60,57,18,93,79,39,66,31,18,2023,12103,3,0,2,2,1,1,1,0,0,0,0,RJD,2.15,#cc0066,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/2),0
14,184,54,23,60,57,18,93,79,39,66,31,18,2023,24545,8,1,3,3,3,2,3,2,1,0,1,RPI(A),3.23,#1c0ea0,1.85,1 (1.85%),0,0.0% (0/1),33.33,33.33% (1/3),6.45
13,196,54,37,60,54,25,101,88,32,76,17,14,2018,13,3,0,0,0,3,0,0,0,0,0,0,AAAP,0,#87CEEB,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
13,196,54,37,60,54,25,101,88,32,76,17,14,2018,1605,20,9,9,13,7,3,10,5,4,7,6,BJP,12.87,#ff9933,16.67,9 (16.67%),77.78,77.78% (7/9),66.67,66.67% (6/9),29.41
13,196,54,37,60,54,25,101,88,32,76,17,14,2018,3482,18,0,0,5,12,1,5,0,0,0,0,INC,4.95,#138808,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
13,196,54,37,60,54,25,101,88,32,76,17,14,2018,10809,11,1,0,3,8,1,2,1,1,0,0,IND,2.97,#808080,1.85,1 (1.85%),0,0.0% (0/1),nan,nan% (0/0),5.88
13,196,54,37,60,54,25,101,88,32,76,17,14,2018,11002,13,1,4,5,8,3,2,0,0,1,1,JD(U),4.95,#90f887,1.85,1 (1.85%),100,100.0% (1/1),25,25.0% (1/4),0
13,196,54,37,60,54,25,101,88,32,76,17,14,2018,5029,2,0,1,1,1,0,1,0,0,0,0,LJP,0.99,#0094DE,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/1),0
13,196,54,37,60,54,25,101,88,32,76,17,14,2018,5792,6,0,1,0,5,1,0,0,0,0,0,NCP,0,#99003d,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/1),0
13,196,54,37,60,54,25,101,88,32,76,17,14,2018,5798,40,11,19,20,18,5,17,6,5,10,13,NDPP,19.8,#AD0200,20.37,11 (20.37%),90.91,90.91% (10/11),68.42,68.42% (13/19),35.29
13,196,54,37,60,54,25,101,88,32,76,17,14,2018,5671,25,3,8,11,12,6,7,1,1,1,1,NPEP,10.89,#AB7B4A,5.56,3 (5.56%),33.33,33.33% (1/3),12.5,12.5% (1/8),5.88
13,196,54,37,60,54,25,101,88,32,76,17,14,2018,5552,58,29,12,43,14,12,32,4,3,18,4,NPF,42.57,#DA251D,53.7,29 (53.7%),62.07,62.07% (18/29),33.33,33.33% (4/12),23.53
12,187,52,27,60,25,7,103,66,36,85,26,13,2013,1605,11,0,3,4,6,2,3,1,0,0,0,BJP,3.88,#ff9933,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/3),3.85
