Assembly_No,MyNeta_education,MLAs_var
16,10th Pass,13
16,12th Pass,22
16,5th Pass,2
16,8th Pass,6
16,Doctorate,4
16,Graduate,31
16,Graduate Professional,29
16,Others,2
16,Post Graduate,36
16,Unknown,1
15,10th Pass,17
15,12th Pass,25
15,5th Pass,3
15,8th Pass,5
15,Doctorate,2
15,Graduate,33
15,Graduate Professional,29
15,Others,1
15,Post Graduate,32
14,10th Pass,27
14,12th Pass,17
14,8th Pass,4
14,Doctorate,1
14,Graduate,32
14,Graduate Professional,19
14,Post Graduate,33
14,Unknown,14
13,10th Pass,10
13,12th Pass,10
13,5th Pass,2
13,Doctorate,2
13,Graduate,39
13,Graduate Professional,29
13,Post Graduate,23
13,Unknown,32
