Assembly_No,Total_Candidates,Contesting_Incumbents,Successful_Incumbents,Total_Seats,Turncoats,Successful_Turncoats,Recontesting_Candidates,First_Contests,Second_Contests,Multiple_Contests,No_first_time_winners,First_Contest_Winners,Year,Recontesting_Candidates_pct,First_Contests_pct,Second_Contests_pct,Multiple_Contests_pct,Contesting_Incumbents_pct,Successful_Incumbents_pct,No_first_time_winners_pct,First_Contest_Winners_pct,Incumbent_Strike_Rate,Turncoat_Strike_Rate
16,1127,91,61,146,87,16,310,722,200,205,58,38,2019,27.51,64.06,17.75,18.19,62.33,41.78,39.73,26.03,67.03,18.39
15,1420,98,67,147,77,18,319,1004,211,205,57,36,2014,22.46,70.7,14.86,14.44,66.67,45.58,38.78,24.49,68.37,23.38
14,1288,106,48,147,50,12,264,941,137,210,74,61,2009,20.5,73.06,10.64,16.3,72.11,32.65,50.34,41.5,45.28,24
13,802,122,66,147,36,9,274,433,145,224,60,28,2004,34.16,53.99,18.08,27.93,82.99,44.9,40.82,19.05,54.1,25
12,868,115,59,147,101,55,280,496,154,218,62,34,2000,32.26,57.14,17.74,25.12,78.23,40.14,42.18,23.13,51.3,54.46
11,1413,128,52,147,41,7,297,977,183,253,46,31,1995,21.02,69.14,12.95,17.91,87.07,35.37,31.29,21.09,40.62,17.07
10,913,77,24,147,97,76,234,575,139,199,86,43,1990,25.63,62.98,15.22,21.8,52.38,16.33,58.5,29.25,31.17,78.35
9,800,87,60,147,78,12,237,491,108,201,70,58,1985,29.62,61.38,13.5,25.12,59.18,40.82,47.62,39.46,68.97,15.38
8,736,102,38,147,124,17,247,383,154,199,81,44,1980,33.56,52.04,20.92,27.04,69.39,25.85,55.1,29.93,37.25,13.71
7,604,100,42,147,90,69,249,323,127,154,83,45,1977,41.23,53.48,21.03,25.5,68.03,28.57,56.46,30.61,42,76.67
6,722,99,51,146,63,27,238,468,206,48,85,52,1974,32.96,64.82,28.53,6.65,67.81,34.93,58.22,35.62,51.52,42.86
5,835,6,1,140,29,11,26,756,62,17,125,121,1971,3.11,90.54,7.43,2.04,4.29,0.71,89.29,86.43,16.67,37.93
4,603,10,3,140,5,1,20,583,20,0,137,134,1967,3.32,96.68,3.32,0,7.14,2.14,97.86,95.71,30,20
3,535,0,0,140,0,0,0,535,0,0,140,140,1961,0,100,0,0,0,0,100,100,0,0
