State_Name,Assembly_No,Year,month,Constituency_No,Constituency_Name,Turnout_Percentage,Vote_Share_Percentage,Constituency_Type,Electors,N_Cand,Position,Sex,Party,Votes,Elected,Margin_Percentage,Runner,Runner_Party,Runner_Sex,Nota_Percentage,Last_Party,Last_Elected,Vote_Share_Change_pct,Turnout_Change_pct,Margin_Change_pct,Party_Change
Odisha,16,2019,4,1,PADAMPUR,78.97,41.29,General,255445,5,1,MALE,BJD,83299,BIJAYA RANJAN SINGH BARIHA,2.84,PRADIP PUROHIT,BJP,MALE,1.11,BJP,PRADIP PUROHIT,2.63,-0.53,0.31,BJD
Odisha,16,2019,4,2,BIJEPUR,79.69,59.78,General,232190,6,1,MALE,BJD,110604,NAVEEN PATNAIK,30.87,SANAT KUMAR GARTIA,BJP,MALE,0.91,INC,SUBAL SAHU,27.63,-0.36,30.59,BJD
Odisha,16,2019,4,3,BARGARH,72.84,46.48,General,221922,4,1,MALE,BJD,75133,DEBESH ACHARYA,5.23,ASHWINI KUMAR SARANGI,BJP,MALE,1.11,BJD,DEBESH ACHARYA,5.81,-0.61,-3.82,
Odisha,16,2019,4,4,ATTABIRA,77.45,48.98,SC,221469,5,1,FEMALE,BJD,84010,SNEHANGINI CHHURIA,13.06,MILAN SETH,BJP,MALE,0.96,BJD,SNEHANGINI CHHURIA,4.06,0.94,-3.38,
Odisha,16,2019,4,5,BHATLI,80.62,53.04,General,230719,5,1,MALE,BJD,98666,SUSANTA SINGH,12.49,Irasis Acharya,BJP,MALE,0.73,BJD,SUSANTA SINGH,8.42,-0.82,-9.85,
Odisha,16,2019,4,6,BRAJARAJNAGAR,77.9,48.7,General,211290,9,1,MALE,BJD,80152,Kishore Kumar Mohanty,7.07,RADHARANI PANDA,BJP,FEMALE,0.87,BJP,RADHARANI PANDA,13.91,1.38,2.41,BJD
Odisha,16,2019,4,7,JHARSUGUDA,78.92,55.97,General,223255,9,1,MALE,BJD,98620,Naba Kisore Das,25.94,Dinesh Kumar Jain,BJP,MALE,0.82,INC,NABA KISORE DAS,10.87,-3.28,18.94,BJD
Odisha,16,2019,4,8,TALSARA,74.1,39.31,ST,206865,9,1,MALE,BJP,60264,BHABANI SHANKAR BHOI,10.56,STEPHEN WILSON SORENG,BJD,MALE,0.95,INC,PRAFULLA MAJHI,6.45,3.5,9.53,BJP
Odisha,16,2019,4,9,SUNDARGARH,75.14,47.67,ST,232017,4,1,FEMALE,BJP,83118,KUSUM TETE,4.22,JOGESH KUMAR SINGH,BJD,MALE,1.13,INC,JOGESH KUMAR SINGH,5.9,3.23,-3.73,BJP
Odisha,16,2019,4,10,BIRAMITRAPUR,74.96,34.66,ST,234559,8,1,MALE,BJP,60937,Shankar Oram,9.3,Makhlu Ekka,BJD,MALE,1.03,SKD,GEORGE TIRKEY,6.25,-1.41,1.94,BJP
Odisha,16,2019,4,11,RAGHUNATHPALI,61.4,40.99,SC,178058,9,1,MALE,BJD,44815,Subrat Tarai,4.28,Jagabandhu Behera,BJP,MALE,0.87,BJD,SUBRAT TARAI,-5.46,-2.96,-10.9,
Odisha,16,2019,4,12,ROURKELA,62.29,47.29,General,206068,10,1,MALE,BJD,60705,Sarada Prasad Nayak,8.13,Nihar Ray,BJP,MALE,0.69,BJP,DILIP KUMAR RAY,-1.08,-4.2,-0.73,BJD
Odisha,16,2019,4,13,RAJGANGAPUR,68.79,30.98,ST,252976,13,1,MALE,INC,53918,C S RAAZEN EKKA,0.54,MANGALA KISAN,BJD,MALE,0.57,BJD,MANGALA KISAN,-3.21,-0.57,-5.75,INC
Odisha,16,2019,4,14,BONAI,78.24,34.67,ST,220982,8,1,MALE,CPM,59939,LAXMAN MUNDA,6.96,RANJIT KISHAN,BJD,MALE,1.56,CPM,LAXMAN MUNDA,10.69,-2.94,5.85,
Odisha,16,2019,4,15,KUCHINDA,80.37,41.71,ST,216570,7,1,MALE,BJD,72601,Kishore Chandra Naik,2.02,RABI NARAYAN NAIK,BJP,MALE,1.61,BJP,RABINARAYAN NAIK,-1.73,-0.52,-11.99,BJD
Odisha,16,2019,4,16,RENGALI,80.24,47.56,SC,194103,5,1,MALE,BJP,74077,NAURI NAYAK,4.33,REENA TANTY,BJD,FEMALE,1.6,BJD,RAMESH PATUA,11.78,3.03,2.94,BJP
Odisha,16,2019,4,17,SAMBALPUR,61.35,44.53,General,209924,9,1,MALE,BJP,57349,JAYA NARAYAN MISHRA,3.4,DR. RASESWARI PANIGRAHI,BJD,FEMALE,0.98,BJD,RASESWARI PANIGRAHI,1.8,-1.88,-5.4,BJP
Odisha,16,2019,4,18,RAIRAKHOL,75.59,37.94,General,199137,8,1,MALE,BJD,57111,Rohit Pujari,9.72,ASSAF ALI KHAN,INC,MALE,1.15,BJD,ROHIT PUJARI,-2.02,-1.24,0.88,
