State_Name,Year,Assembly_No,Party,Total_Seats_in_Assembly,Total_Votes_in_Assembly,Total_Votes_in_Contested_Seats,Total_Candidates,Winners,Deposits_Lost,Strike_Rate,Seat_Share,Vote_Share_in_Assembly,Vote_Share_in_Contested_Seats,position,Expanded_Party_Name
Odisha,2019,16,AAAP,146,23428552,2345422,15,0,15,0.0,0,0.06,0.64,6,
Odisha,2019,16,ABHM,146,23428552,1878994,12,0,12,0.0,0,0.03,0.38,7,
Odisha,2019,16,AIFB,146,23428552,2847290,18,0,18,0.0,0,0.04,0.33,8,
Odisha,2019,16,AITC,146,23428552,2504042,16,0,16,0.0,0,0.07,0.65,9,ALL INDIA TRINAMOOL CONGRESS
Odisha,2019,16,AKSJP,146,23428552,486269,3,0,3,0.0,0,0,0.1,10,
Odisha,2019,16,ANC,146,23428552,2609031,17,0,17,0.0,0,0.04,0.38,11,
Odisha,2019,16,APoI,146,23428552,2503667,15,0,15,0.0,0,0.09,0.8,12,
Odisha,2019,16,BAHUMP,146,23428552,153290,1,0,1,0.0,0,0,0.36,13,
Odisha,2019,16,BJD,146,23428552,23428552,146,112,0,76.71232876712328,76.71,44.71,44.71,1,BIJU JANATA DAL
Odisha,2019,16,BJP,146,23428552,23428552,146,23,13,15.753424657534246,15.75,32.49,32.49,2,BHARATIYA JANATA PARTY
Odisha,2019,16,BMUP,146,23428552,2980621,18,0,18,0.0,0,0.09,0.72,14,
Odisha,2019,16,BMtrP,146,23428552,168851,1,0,1,0.0,0,0.01,0.78,15,
Odisha,2019,16,BSP,146,23428552,17352559,107,0,107,0.0,0,0.82,1.11,16,
Odisha,2019,16,CPI,146,23428552,436718,3,0,3,0.0,0,0.12,6.69,17,COMMUNIST PARTY OF INDIA
Odisha,2019,16,CPI(ML)(L),146,23428552,1696250,10,0,10,0.0,0,0.04,0.57,18,
Odisha,2019,16,CPIM,146,23428552,420995,3,0,3,0.0,0,0.02,1.37,19,
Odisha,2019,16,CPM,146,23428552,796358,5,1,4,20.0,0.68,0.3,8.8,4,COMMUNIST PARTY OF INDIA (MARXIST)
Odisha,2019,16,FPI,146,23428552,563344,4,0,4,0.0,0,0,0.16,20,
Odisha,2019,16,GGP,146,23428552,163064,1,0,1,0.0,0,0.01,0.77,21,
Odisha,2019,16,HND,146,23428552,3784899,23,0,23,0.0,0,0.09,0.57,22,
Odisha,2019,16,ICPa,146,23428552,506190,3,0,3,0.0,0,0,0.12,23,
Odisha,2019,16,INC,146,23428552,22191724,138,9,77,6.521739130434782,6.16,16.12,17.02,3,INDIAN NATIONAL CONGRESS
Odisha,2019,16,IND,146,23428552,23428552,303,1,298,0.33003300330033003,0.68,2.82,2.82,5,
Odisha,2019,16,JKPP,146,23428552,660778,4,0,4,0.0,0,0.02,0.86,24,
Odisha,2019,16,JMM,146,23428552,841488,5,0,3,0.0,0,0.46,12.77,25,JHARKHAND MUKTI MORCHA
Odisha,2019,16,JPJD,146,23428552,607879,4,0,4,0.0,0,0,0.19,26,
Odisha,2019,16,KJD,146,23428552,590783,4,0,4,0.0,0,0.01,0.43,27,
Odisha,2019,16,KOKD,146,23428552,176187,1,0,1,0.0,0,0,0.34,28,
Odisha,2019,16,KRUP,146,23428552,619416,4,0,4,0.0,0,0,0.15,29,
Odisha,2019,16,KS,146,23428552,2900597,18,0,18,0.0,0,0.02,0.16,30,
Odisha,2019,16,MVD,146,23428552,173106,1,0,1,0.0,0,0,0.13,31,
Odisha,2019,16,NCP,146,23428552,692646,5,0,5,0.0,0,0.02,0.69,32,NATIONALIST CONGRESS PARTY
Odisha,2019,16,NOTA,146,23428552,23428552,146,0,0,0.0,0,1.05,1.05,33,
Odisha,2019,16,OPD,146,23428552,827004,5,0,5,0.0,0,0.01,0.23,34,
Odisha,2019,16,PBI,146,23428552,825750,5,0,5,0.0,0,0.01,0.38,35,
Odisha,2019,16,PCHVP,146,23428552,450840,3,0,3,0.0,0,0.01,0.4,36,
Odisha,2019,16,PSPL,146,23428552,499087,3,0,3,0.0,0,0.01,0.28,37,
Odisha,2019,16,PUJP,146,23428552,808079,5,0,5,0.0,0,0.01,0.19,38,
Odisha,2019,16,RAIM,146,23428552,949627,6,0,6,0.0,0,0.02,0.61,39,
Odisha,2019,16,SP,146,23428552,921587,5,0,5,0.0,0,0.02,0.44,40,
Odisha,2019,16,SUCI(C),146,23428552,3691326,24,0,23,0.0,0,0.23,1.45,41,
Odisha,2019,16,US,146,23428552,158313,1,0,1,0.0,0,0,0.1,42,
Odisha,2019,16,skd,146,23428552,2535467,16,0,16,0.0,0,0.09,0.83,43,
Odisha,2014,15,AAAP,147,21532680,15520751,106,0,106,0.0,0,0.6,0.83,7,
Odisha,2014,15,ABP,147,21532680,168974,1,0,1,0.0,0,0.01,0.66,8,
Odisha,2014,15,AIFB,147,21532680,93285,1,0,1,0.0,0,0,0.24,9,
Odisha,2014,15,AITC,147,21532680,4439810,31,0,31,0.0,0,0.12,0.58,10,ALL INDIA TRINAMOOL CONGRESS
Odisha,2014,15,AJSUP,147,21532680,443142,3,0,3,0.0,0,0.01,0.66,11,
Odisha,2014,15,AOP,147,21532680,11000845,76,0,74,0.0,0,1.02,1.99,12,
Odisha,2014,15,APOI,147,21532680,1940197,13,0,13,0.0,0,0.08,0.86,13,
Odisha,2014,15,BISD,147,21532680,605709,4,0,4,0.0,0,0.01,0.32,14,
Odisha,2014,15,BJD,147,21532680,21532680,147,117,2,79.59183673469387,79.59,43.35,43.35,1,BIJU JANATA DAL
Odisha,2014,15,BJP,147,21532680,21532680,147,10,77,6.802721088435374,6.8,17.99,17.99,3,BHARATIYA JANATA PARTY
Odisha,2014,15,BMUP,147,21532680,1258885,8,0,8,0.0,0,0.05,0.79,15,
Odisha,2014,15,BSP,147,21532680,16728215,113,0,113,0.0,0,0.86,1.1,16,
Odisha,2014,15,CPI,147,21532680,4778969,32,0,31,0.0,0,0.51,2.31,17,COMMUNIST PARTY OF INDIA
Odisha,2014,15,CPI(ML)(L),147,21532680,2499919,17,0,17,0.0,0,0.07,0.61,18,
Odisha,2014,15,CPIM,147,21532680,703490,6,0,6,0.0,0,0.02,0.5,19,
Odisha,2014,15,CPM,147,21532680,1710229,12,1,11,8.333333333333334,0.68,0.37,4.69,5,COMMUNIST PARTY OF INDIA (MARXIST)
Odisha,2014,15,HND,147,21532680,244675,2,0,2,0.0,0,0.01,0.48,20,
Odisha,2014,15,ICPA,147,21532680,570853,4,0,4,0.0,0,0.01,0.41,21,
Odisha,2014,15,INC,147,21532680,21532680,147,16,40,10.884353741496598,10.88,25.71,25.71,2,INDIAN NATIONAL CONGRESS
Odisha,2014,15,IND,147,21532680,21532680,276,2,264,0.7246376811594203,1.36,5.04,5.04,4,
Odisha,2014,15,JDP,147,21532680,1505139,10,0,10,0.0,0,0.09,1.26,22,
Odisha,2014,15,JM,147,21532680,114155,1,0,1,0.0,0,0,0.14,23,
Odisha,2014,15,JMM,147,21532680,1939002,13,0,10,0.0,0,1.03,11.41,24,JHARKHAND MUKTI MORCHA
Odisha,2014,15,KOKD,147,21532680,1593572,11,0,11,0.0,0,0.05,0.62,25,
Odisha,2014,15,KOMM,147,21532680,337993,2,0,2,0.0,0,0.01,0.55,26,
Odisha,2014,15,KS,147,21532680,3590686,24,0,24,0.0,0,0.12,0.72,27,
Odisha,2014,15,LGGP,147,21532680,591551,4,0,4,0.0,0,0.01,0.47,28,
Odisha,2014,15,NCP,147,21532680,610929,4,0,4,0.0,0,0.04,1.34,29,NATIONALIST CONGRESS PARTY
Odisha,2014,15,NOTA,147,21532680,21532680,147,0,0,0.0,0,1.26,1.26,30,
Odisha,2014,15,OJM,147,21532680,10141717,68,0,68,0.0,0,0.45,0.97,31,
Odisha,2014,15,PBI,147,21532680,769797,6,0,6,0.0,0,0.02,0.66,32,
Odisha,2014,15,PCHVP,147,21532680,1549847,11,0,11,0.0,0,0.07,0.91,33,
Odisha,2014,15,RAIM,147,21532680,910177,6,0,6,0.0,0,0.03,0.69,34,
Odisha,2014,15,RPI(A),147,21532680,340325,2,0,2,0.0,0,0.01,0.7,35,
Odisha,2014,15,RPI(D),147,21532680,165747,1,0,1,0.0,0,0,0.51,36,
Odisha,2014,15,RSP,147,21532680,147698,1,0,1,0.0,0,0.01,1.85,37,
Odisha,2014,15,SAMO,147,21532680,2430683,17,0,17,0.0,0,0.15,1.33,38,
Odisha,2014,15,SAP,147,21532680,276642,2,0,2,0.0,0,0.01,0.53,39,SAMATA PARTY
Odisha,2014,15,SKD,147,21532680,7306349,51,1,50,1.9607843137254901,0.68,0.4,1.18,6,SAMATA KRANTI DAL
Odisha,2014,15,SOWP,147,21532680,208003,2,0,2,0.0,0,0,0.07,40,
Odisha,2014,15,SP,147,21532680,2956790,20,0,20,0.0,0,0.17,1.24,41,
Odisha,2014,15,SUCI,147,21532680,2243837,16,0,15,0.0,0,0.23,2.18,42,
Odisha,2014,15,SWJP,147,21532680,149194,1,0,1,0.0,0,0.01,1.31,43,
Odisha,2014,15,US,147,21532680,145082,1,0,1,0.0,0,0,0.56,44,
Odisha,2009,14,AITC,147,17765071,669102,5,0,5,0.0,0,0.02,0.52,7,ALL INDIA TRINAMOOL CONGRESS
Odisha,2009,14,AJSUP,147,17765071,437582,4,0,4,0.0,0,0.01,0.43,8,
Odisha,2009,14,BJD,147,17765071,15639147,129,103,3,79.84496124031008,70.07,38.86,44.14,1,BIJU JANATA DAL
Odisha,2009,14,BJP,147,17765071,17542223,145,6,93,4.137931034482759,4.08,15.05,15.24,3,BHARATIYA JANATA PARTY
Odisha,2009,14,BJSH,147,17765071,373182,3,0,3,0.0,0,0.03,1.46,9,
Odisha,2009,14,BOP,147,17765071,103473,1,0,1,0.0,0,0,0.26,10,
Odisha,2009,14,BSP,147,17765071,13928594,114,0,114,0.0,0,1.54,1.96,11,
Odisha,2009,14,CPI,147,17765071,562630,5,1,4,20.0,0.68,0.51,15.97,6,COMMUNIST PARTY OF INDIA
Odisha,2009,14,CPI(M         (L),147,17765071,77284,1,0,1,0.0,0,0.01,2.5,12,
Odisha,2009,14,CPI(ML        (L),147,17765071,1104748,9,0,9,0.0,0,0.12,1.99,13,
Odisha,2009,14,CPI(ML)       (L),147,17765071,837948,7,0,7,0.0,0,0.06,1.2,14,
Odisha,2009,14,CPM,147,17765071,515155,4,0,2,0.0,0,0.44,15.12,15,COMMUNIST PARTY OF INDIA (MARXIST)
Odisha,2009,14,IJP,147,17765071,592313,5,0,5,0.0,0,0.02,0.67,16,
Odisha,2009,14,INC,147,17765071,17765071,147,27,26,18.367346938775512,18.37,29.1,29.1,2,INDIAN NATIONAL CONGRESS
Odisha,2009,14,IND,147,17765071,17765071,372,6,349,1.6129032258064515,4.08,8.66,8.66,4,
Odisha,2009,14,JD(U),147,17765071,1131156,10,0,10,0.0,0,0.04,0.63,17,
Odisha,2009,14,JDP,147,17765071,686111,6,0,6,0.0,0,0.07,1.85,18,
Odisha,2009,14,JHKP,147,17765071,804256,7,0,7,0.0,0,0.02,0.47,19,
Odisha,2009,14,JKP,147,17765071,124071,1,0,1,0.0,0,0.01,2.06,20,ALL INDIA JHARKHAND PARTY
Odisha,2009,14,JMM,147,17765071,3729034,32,0,26,0.0,0,1.58,7.52,21,JHARKHAND MUKTI MORCHA
Odisha,2009,14,KOKD,147,17765071,2152318,18,0,18,0.0,0,0.15,1.23,22,
Odisha,2009,14,KS,147,17765071,4326156,35,0,35,0.0,0,0.18,0.73,23,
Odisha,2009,14,LJP,147,17765071,826502,8,0,8,0.0,0,0.04,0.84,24,
Odisha,2009,14,LSP,147,17765071,124676,1,0,1,0.0,0,0.01,0.82,25,
Odisha,2009,14,NCP,147,17765071,922223,8,4,4,50.0,2.72,1.34,25.76,5,NATIONALIST CONGRESS PARTY
Odisha,2009,14,OCP,147,17765071,250929,2,0,2,0.0,0,0.01,0.41,26,
Odisha,2009,14,OMM,147,17765071,932630,8,0,8,0.0,0,0.04,0.79,27,
Odisha,2009,14,RPD,147,17765071,1870944,16,0,16,0.0,0,0.07,0.66,28,
Odisha,2009,14,RPI,147,17765071,582863,5,0,5,0.0,0,0.06,1.84,29,
Odisha,2009,14,RPI(A,147,17765071,77284,1,0,1,0.0,0,0.01,2.49,30,
Odisha,2009,14,RPI(A),147,17765071,1565240,12,0,12,0.0,0,0.08,0.88,31,
Odisha,2009,14,RSP,147,17765071,1970277,18,0,18,0.0,0,0.15,1.38,32,
Odisha,2009,14,RWS,147,17765071,490633,4,0,4,0.0,0,0.02,0.77,33,
Odisha,2009,14,SAMO,147,17765071,12023523,99,0,99,0.0,0,1.05,1.55,34,
Odisha,2009,14,SP,147,17765071,5331068,45,0,45,0.0,0,0.6,1.99,35,
Odisha,2009,14,SWJP,147,17765071,115791,1,0,1,0.0,0,0.05,7.31,36,
Odisha,2004,13,ABHM,147,16933456,112369,1,0,1,0.0,0,0.01,1.92,9,
Odisha,2004,13,AIFB,147,16933456,104863,1,0,1,0.0,0,0,0.79,10,
Odisha,2004,13,AJSU,147,16933456,380041,4,0,4,0.0,0,0.11,4.99,11,
Odisha,2004,13,BJD,147,16933456,9764547,84,61,1,72.61904761904762,41.5,27.36,47.44,1,BIJU JANATA DAL
Odisha,2004,13,BJP,147,16933456,7168909,63,32,1,50.79365079365079,21.77,17.11,40.43,3,BHARATIYA JANATA PARTY
Odisha,2004,13,BMVP,147,16933456,1268708,10,0,10,0.0,0,0.07,0.99,12,
Odisha,2004,13,BSP,147,16933456,10060833,86,0,86,0.0,0,1.93,3.25,13,
Odisha,2004,13,CPI,147,16933456,754851,6,1,4,16.666666666666668,0.68,0.77,17.22,7,COMMUNIST PARTY OF INDIA
Odisha,2004,13,CPI(ML)(L),147,16933456,858810,8,0,8,0.0,0,0.17,3.32,14,
Odisha,2004,13,CPM,147,16933456,337549,3,1,1,33.333333333333336,0.68,0.55,27.6,8,COMMUNIST PARTY OF INDIA (MARXIST)
Odisha,2004,13,IJP,147,16933456,88076,1,0,1,0.0,0,0.01,1.77,15,
Odisha,2004,13,INC,147,16933456,15315463,133,38,9,28.571428571428573,25.85,34.82,38.5,2,INDIAN NATIONAL CONGRESS
Odisha,2004,13,IND,147,16933456,16933456,295,8,259,2.711864406779661,5.44,12.2,12.2,4,
Odisha,2004,13,JD(S),147,16933456,903188,8,0,7,0.0,0,0.44,8.33,16,JANATA DAL (SECULAR)
Odisha,2004,13,JD(U),147,16933456,552264,5,0,5,0.0,0,0.07,2.19,17,
Odisha,2004,13,JDP,147,16933456,79820,1,0,1,0.0,0,0.01,1.87,18,
Odisha,2004,13,JKP,147,16933456,297211,3,0,3,0.0,0,0.05,2.94,19,ALL INDIA JHARKHAND PARTY
Odisha,2004,13,JMM,147,16933456,1241087,12,4,3,33.333333333333336,2.72,1.78,24.32,5,JHARKHAND MUKTI MORCHA
Odisha,2004,13,JP,147,16933456,498270,4,0,4,0.0,0,0.05,1.61,20,
Odisha,2004,13,KSP,147,16933456,442928,4,0,4,0.0,0,0.07,2.5,21,
Odisha,2004,13,LJNSP,147,16933456,110053,1,0,1,0.0,0,0.01,1.47,22,
Odisha,2004,13,OGP,147,16933456,503616,4,2,0,50.0,1.36,1.29,43.29,6,ORISSA GANA PARISHAD
Odisha,2004,13,PTSS,147,16933456,154744,1,0,1,0.0,0,0.01,0.93,23,
Odisha,2004,13,RJD,147,16933456,537964,4,0,4,0.0,0,0.02,0.55,24,
Odisha,2004,13,RPI,147,16933456,2720090,23,0,23,0.0,0,0.28,1.76,25,
Odisha,2004,13,RSP,147,16933456,261015,2,0,2,0.0,0,0.03,1.71,26,
Odisha,2004,13,SHS,147,16933456,428303,4,0,4,0.0,0,0.06,2.51,27,
Odisha,2004,13,SP,147,16933456,3496161,29,0,28,0.0,0,0.59,2.84,28,
Odisha,2004,13,SPSP,147,16933456,94065,1,0,1,0.0,0,0.01,1.33,29,
Odisha,2004,13,SWJP,147,16933456,130967,1,0,1,0.0,0,0.12,15.55,30,
Odisha,2000,12,AITC,147,14124469,3418279,36,1,35,2.7777777777777777,0.68,0.78,3.22,6,ALL INDIA TRINAMOOL CONGRESS
Odisha,2000,12,AJBP,147,14124469,122111,1,0,1,0.0,0,0,0.46,10,
Odisha,2000,12,BBM,147,14124469,790370,8,0,8,0.0,0,0.05,0.86,11,
Odisha,2000,12,BJD,147,14124469,8130524,84,68,1,80.95238095238095,46.26,29.4,51.07,1,BIJU JANATA DAL
Odisha,2000,12,BJP,147,14124469,5993945,63,38,0,60.317460317460316,25.85,18.2,42.88,2,BHARATIYA JANATA PARTY
Odisha,2000,12,BOP,147,14124469,363854,3,0,3,0.0,0,0.01,0.42,12,
Odisha,2000,12,BSP,147,14124469,10364150,105,0,103,0.0,0,1.15,1.56,13,
Odisha,2000,12,CPI,147,14124469,2924203,29,1,27,3.4482758620689653,0.68,1.22,5.9,7,COMMUNIST PARTY OF INDIA
Odisha,2000,12,CPI(ML)(L),147,14124469,589580,6,0,6,0.0,0,0.03,0.71,14,
Odisha,2000,12,CPM,147,14124469,1545250,15,1,13,6.666666666666667,0.68,0.77,7.07,8,COMMUNIST PARTY OF INDIA (MARXIST)
Odisha,2000,12,FBL,147,14124469,115935,1,0,1,0.0,0,0.01,0.69,15,
Odisha,2000,12,INC,147,14124469,13929909,145,26,7,17.93103448275862,17.69,33.78,34.25,3,INDIAN NATIONAL CONGRESS
Odisha,2000,12,IND,147,14124469,14124469,236,8,196,3.389830508474576,5.44,10.66,10.66,4,
Odisha,2000,12,JD(S),147,14124469,2373535,24,1,21,4.166666666666667,0.68,0.84,5.01,9,JANATA DAL (SECULAR)
