State_Name,Year,Assembly_No,Constituency_No,Constituency_Name,Constituency_Type,Candidate,Party,Votes,Position,Vote_Share_Percentage,Last_Position,Last_Candidate,Position_Change,Vote_Share_Change_pct
Odisha,2019,16,1,PADAMPUR,GEN,BIJAYA RANJAN SINGH BARIHA,BJD,83299,1,41.29,2,BIJAYA RANJAN SINGHA BARIHA,1,5.16
Odisha,2019,16,1,PADAMPUR,GEN,PRADIP PUROHIT,BJP,77565,2,38.45,1,PRADIP PUROHIT,-1,-0.21
Odisha,2019,16,1,PADAMPUR,GEN,SATYA BHUSAN SAHU,INC,32787,3,16.25,3,PRAKASH NARAYAN TRIPATHY,0,-1.23
Odisha,2019,16,1,PADAMPUR,GEN,NOTA,NOTA,2234,5,1.11,5,None of the Above,0,0.13
Odisha,2019,16,1,PADAMPUR,GEN,TANKADHARA KANTA,BSP,1332,6,0.66,6,TANKADHAR KANTA,0,-0.26
Odisha,2019,16,2,BIJEPUR,GEN,NAVEEN PATNAIK,BJD,110604,1,59.78,2,PRASANNA ACHARYA,1,27.9
Odisha,2019,16,2,BIJEPUR,GEN,SANAT KUMAR GARTIA,BJP,53482,2,28.91,3,JAYSHANKAR PATTANAIK,1,10.81
Odisha,2019,16,2,BIJEPUR,GEN,RIPUNATH SETH,INC,14344,3,7.75,1,SUBAL SAHU,-2,-24.4
Odisha,2019,16,2,BIJEPUR,GEN,NOTA,NOTA,1675,5,0.91,9,None of the Above,4,0.13
Odisha,2019,16,2,BIJEPUR,GEN,ASHOK KALET,BSP,1200,6,0.65,8,JAYRAM BAG,2,-0.21
Odisha,2019,16,3,BARGARH,GEN,DEBESH ACHARYA,BJD,75133,1,46.48,1,DEBESH ACHARYA,0,5.81
Odisha,2019,16,3,BARGARH,GEN,ASHWINI KUMAR SARANGI,BJP,66681,2,41.25,3,ASHWINI KUMAR SARANGI,1,25.69
Odisha,2019,16,3,BARGARH,GEN,NIPON KUMAR DASH,INC,16305,3,10.09,2,SADHU NEPAK,-1,-21.53
Odisha,2019,16,3,BARGARH,GEN,NOTA,NOTA,1790,4,1.11,7,None of the Above,3,-0.09
Odisha,2019,16,3,BARGARH,GEN,KAUSTUVA BUDHIA,BSP,1731,5,1.07,6,SURENDRA KUMAR TANDI,1,-0.23
Odisha,2019,16,4,ATTABIRA,SC,SNEHANGINI CHHURIA,BJD,84010,1,48.98,1,SNEHANGINI CHHURIA,0,4.06
Odisha,2019,16,4,ATTABIRA,SC,MILAN SETH,BJP,61614,2,35.92,3,MILAN SETH,1,14.15
Odisha,2019,16,4,ATTABIRA,SC,NIHAR RANJAN MAHANAND,INC,21511,3,12.54,2,NIHAR RANJAN MAHANANDA,-1,-15.94
Odisha,2019,16,4,ATTABIRA,SC,RABINDRA MEGHA,BSP,1641,4,0.96,6,MADHABI DEHURIA,2,0.16
Odisha,2019,16,4,ATTABIRA,SC,NOTA,NOTA,1639,5,0.96,5,None of the Above,0,-0.01
Odisha,2019,16,4,ATTABIRA,SC,LAXMAN KUMAR BHOI,PCHVP,1112,6,0.65,9,CHANDRAMANI KUMBHAR,3,0.22
Odisha,2019,16,5,BHATLI,GEN,SUSANTA SINGH,BJD,98666,1,53.04,1,SUSANTA SINGH,0,8.42
Odisha,2019,16,5,BHATLI,GEN,Irasis Acharya,BJP,75434,2,40.55,3,SAURI CHARAN BARIK,1,23.13
Odisha,2019,16,5,BHATLI,GEN,Saroj Kumar Mahapatra,INC,8375,3,4.5,4,PRAKASH CHANDRA DEBTA,1,-1.74
Odisha,2019,16,5,BHATLI,GEN,NOTA,NOTA,1367,4,0.73,9,None of the Above,5,0.11
Odisha,2019,16,5,BHATLI,GEN,Narayan Vesra,BSP,1167,5,0.63,7,BIHARI MEHER,2,-0.22
Odisha,2019,16,5,BHATLI,GEN,Dhana Pati Sahu,skd,1008,6,0.54,,,,0.54
Odisha,2019,16,6,BRAJARAJNAGAR,GEN,Kishore Kumar Mohanty,BJD,80152,1,48.7,2,ANUP KUMAR SAI,1,18.57
Odisha,2019,16,6,BRAJARAJNAGAR,GEN,RADHARANI PANDA,BJP,68518,2,41.63,1,RADHARANI PANDA,-1,6.84
Odisha,2019,16,6,BRAJARAJNAGAR,GEN,Ramesh Tripathi,CPI,9350,3,5.68,4,GAJANAN SAHU,1,1.27
Odisha,2019,16,6,BRAJARAJNAGAR,GEN,Sitaram Rohidas,BSP,2018,4,1.23,6,RANJIT KUMAR,2,0.35
Odisha,2019,16,6,BRAJARAJNAGAR,GEN,NOTA,NOTA,1429,5,0.87,5,None of the Above,0,-0.25
Odisha,2019,16,6,BRAJARAJNAGAR,GEN,Rajani Bhue,OPD,941,6,0.57,,,,0.57
Odisha,2019,16,6,BRAJARAJNAGAR,GEN,Haraprasad Meher,skd,612,7,0.37,,,,0.37
Odisha,2019,16,6,BRAJARAJNAGAR,GEN,Subas Behera,PSPL,488,10,0.3,,,,0.3
Odisha,2019,16,7,JHARSUGUDA,GEN,Naba Kisore Das,BJD,98620,1,55.97,2,KISHORE KUMAR MOHANTY,1,17.87
Odisha,2019,16,7,JHARSUGUDA,GEN,Dinesh Kumar Jain,BJP,52921,2,30.04,3,ANAND PRADHAN,1,17.3
Odisha,2019,16,7,JHARSUGUDA,GEN,Mahendra Naik,INC,18823,3,10.68,1,NABA KISORE DAS,-2,-34.42
Odisha,2019,16,7,JHARSUGUDA,GEN,NOTA,NOTA,1440,4,0.82,5,None of the Above,1,-0.07
Odisha,2019,16,7,JHARSUGUDA,GEN,Kartikeswar Ghugar,BSP,992,5,0.56,8,BHASKAR GARDIA,3,0.16
Odisha,2019,16,7,JHARSUGUDA,GEN,Debananda Barik,PSPL,716,8,0.41,,,,0.41
Odisha,2019,16,7,JHARSUGUDA,GEN,Prasanta Patel,KOKD,606,9,0.34,7,SATYABHAMA DHURUA,-2,-0.07
Odisha,2019,16,8,TALSARA,ST,BHABANI SHANKAR BHOI,BJP,60264,1,39.31,3,SANTOSH KUMAR AMAT,2,9.63
Odisha,2019,16,8,TALSARA,ST,STEPHEN WILSON SORENG,BJD,44076,2,28.75,2,BINAYA KUMAR TOPPO,0,-3.08
Odisha,2019,16,8,TALSARA,ST,PRAFULLA MAJHI,INC,41111,3,26.82,1,PRAFULLA MAJHI,-2,-6.04
Odisha,2019,16,8,TALSARA,ST,SANJEEB KUMAR XALXO,AAAP,1784,5,1.16,,,,1.16
Odisha,2019,16,8,TALSARA,ST,NOTA,NOTA,1456,6,0.95,4,None of the Above,-2,-1
Odisha,2019,16,8,TALSARA,ST,SANJEET PRADHAN,BSP,914,7,0.6,6,BISHNU KERKETTA,-1,-0.42
Odisha,2019,16,8,TALSARA,ST,HALDHAR NAIK,HND,554,9,0.36,8,PARESWAR BARLA,-1,-0.3
Odisha,2019,16,8,TALSARA,ST,SATISH KUMAR MINZ,BAHUMP,552,10,0.36,,,,0.36
Odisha,2019,16,9,SUNDARGARH,ST,KUSUM TETE,BJP,83118,1,47.67,3,SAHADEV XAXA,2,30.03
Odisha,2019,16,9,SUNDARGARH,ST,JOGESH KUMAR SINGH,BJD,75754,2,43.45,2,KUSUM TETE,0,9.63
Odisha,2019,16,9,SUNDARGARH,ST,AMITA BISWAL,INC,12087,3,6.93,1,JOGESH KUMAR SINGH,-2,-34.84
Odisha,2019,16,9,SUNDARGARH,ST,NOTA,NOTA,1967,4,1.13,5,None of the Above,1,-0.36
Odisha,2019,16,9,SUNDARGARH,ST,GOVINDA CHANDRA BHOI,HND,1420,5,0.81,,,,0.81
Odisha,2019,16,10,BIRAMITRAPUR,ST,Shankar Oram,BJP,60937,1,34.66,2,SHANKAR ORAM,1,13.61
Odisha,2019,16,10,BIRAMITRAPUR,ST,Makhlu Ekka,BJD,44586,2,25.36,4,MAGDALI KONGADI,2,9.86
Odisha,2019,16,10,BIRAMITRAPUR,ST,Rohit Joseph Tirkey,INC,44212,3,25.15,5,RAJESH KERKETTA,2,17.14
Odisha,2019,16,10,BIRAMITRAPUR,ST,Sebeyan Aind,JMM,14374,4,8.18,3,SEBEYAN AIND,-1,-8.98
Odisha,2019,16,10,BIRAMITRAPUR,ST,Paulus Oram,BSP,2532,6,1.44,7,DEVANANDA ORAM,1,0.11
Odisha,2019,16,10,BIRAMITRAPUR,ST,Binay Kullu,AAAP,1835,7,1.04,15,LAXMIDHAR SA,8,0.54
Odisha,2019,16,10,BIRAMITRAPUR,ST,NOTA,NOTA,1804,8,1.03,11,None of the Above,3,0.11
Odisha,2019,16,11,RAGHUNATHPALI,SC,Subrat Tarai,BJD,44815,1,40.99,1,SUBRAT TARAI,0,-5.46
Odisha,2019,16,11,RAGHUNATHPALI,SC,Jagabandhu Behera,BJP,40131,2,36.71,2,JAGABANDHU BEHERA,0,5.44
Odisha,2019,16,11,RAGHUNATHPALI,SC,Prasanta Kumar Sethi,INC,20026,3,18.32,3,GAJENDRA TANTY,0,4.53
Odisha,2019,16,11,RAGHUNATHPALI,SC,Sunil Karua,BSP,1149,4,1.05,7,LALMAN SUNA,3,-0.26
Odisha,2019,16,11,RAGHUNATHPALI,SC,NOTA,NOTA,955,5,0.87,6,None of the Above,1,-0.57
Odisha,2019,16,11,RAGHUNATHPALI,SC,Anjali Bankra,AAAP,436,8,0.4,,,,0.4
Odisha,2019,16,11,RAGHUNATHPALI,SC,Biswakarma Bag,KJD,399,9,0.36,,,,0.36
Odisha,2019,16,12,ROURKELA,GEN,Sarada Prasad Nayak,BJD,60705,1,47.29,2,SARADA PRASAD NAYAK,1,7.78
Odisha,2019,16,12,ROURKELA,GEN,Nihar Ray,BJP,50275,2,39.17,1,DILIP KUMAR RAY,-1,-9.2
Odisha,2019,16,12,ROURKELA,GEN,Biren Senapaty,INC,13944,3,10.86,3,PRAVAT MOHAPATRA,0,2.43
Odisha,2019,16,12,ROURKELA,GEN,NOTA,NOTA,889,4,0.69,4,None of the Above,0,-0.19
Odisha,2019,16,12,ROURKELA,GEN,Bishnu Charan Mahanta,BSP,611,6,0.48,7,RICHARD ANAND KUJUR,1,0.03
Odisha,2019,16,12,ROURKELA,GEN,Surama Mishra,KJD,341,7,0.27,,,,0.27
Odisha,2019,16,12,ROURKELA,GEN,Lambodar Mohanta,AAAP,325,8,0.25,5,BINAY KUMAR TIWARI,-3,-0.58
Odisha,2019,16,13,RAJGANGAPUR,ST,C S RAAZEN EKKA,INC,53918,1,30.98,2,GREGORY MINZ,1,3.07
Odisha,2019,16,13,RAJGANGAPUR,ST,MANGALA KISAN,BJD,52972,2,30.44,1,MANGALA KISAN,-1,-3.75
Odisha,2019,16,13,RAJGANGAPUR,ST,NARASINGHA MINZ,BJP,52896,3,30.39,3,UPENDRA PRADHAN,0,12.42
Odisha,2019,16,13,RAJGANGAPUR,ST,ANAND EKKA,AAAP,1085,8,0.62,8,PRAMOD EKKA,0,-0.22
Odisha,2019,16,13,RAJGANGAPUR,ST,NOTA,NOTA,995,10,0.57,9,None of the Above,-1,-0.12
Odisha,2019,16,13,RAJGANGAPUR,ST,PARUA EKKA,KJD,635,11,0.36,,,,0.36
Odisha,2019,16,14,BONAI,ST,LAXMAN MUNDA,CPM,59939,1,34.67,1,LAXMAN MUNDA,0,10.69
Odisha,2019,16,14,BONAI,ST,RANJIT KISHAN,BJD,47909,2,27.71,2,DAYANIDHI KISAN,0,4.85
Odisha,2019,16,14,BONAI,ST,ANIL KUMAR BARLA,BJP,37266,3,21.55,4,LUTHAR ORAM,1,5.76
Odisha,2019,16,14,BONAI,ST,NOTA,NOTA,2699,6,1.56,7,None of the Above,1,-0.77
Odisha,2019,16,14,BONAI,ST,SAPANI PURTY,AAAP,2119,7,1.23,11,CHANDRAMANI NAIK,4,0.51
Odisha,2019,16,14,BONAI,ST,MADAN LAKRA,BSP,1967,8,1.14,9,RAGHUNATH ORAM,1,0.04
Odisha,2019,16,15,KUCHINDA,ST,Kishore Chandra Naik,BJD,72601,1,41.71,2,BHUBANESWAR KISAN,1,12.28
Odisha,2019,16,15,KUCHINDA,ST,RABI NARAYAN NAIK,BJP,69093,2,39.69,1,RABINARAYAN NAIK,-1,-3.75
Odisha,2019,16,15,KUCHINDA,ST,SOVARAM PADHAN,INC,24795,3,14.24,3,RAJENDRA KUMAR CHHATRIA,0,-6.57
Odisha,2019,16,15,KUCHINDA,ST,NOTA,NOTA,2805,4,1.61,4,None of the Above,0,-0.22
Odisha,2019,16,15,KUCHINDA,ST,RATHA MUNDA,BSP,1930,5,1.11,5,DEEPAK PRADHAN,0,-0.44
Odisha,2019,16,15,KUCHINDA,ST,ABHILAS PRASANT MANKI,AAAP,950,7,0.55,8,LINKAN KUMAR KINDO,1,-0.28
Odisha,2019,16,15,KUCHINDA,ST,PADMINI BHOI,HND,784,8,0.45,,,,0.45
Odisha,2019,16,16,RENGALI,SC,NAURI NAYAK,BJP,74077,1,47.56,2,NAURI NAYAK,1,13.16
Odisha,2019,16,16,RENGALI,SC,REENA TANTY,BJD,67334,2,43.23,1,RAMESH PATUA,-1,7.45
Odisha,2019,16,16,RENGALI,SC,BALAKRUSHNA ROHIDAS,INC,9799,3,6.29,3,DURYODHAN GARDIA,0,-17.46
Odisha,2019,16,16,RENGALI,SC,NOTA,NOTA,2497,4,1.6,4,None of the Above,0,-0.06
Odisha,2019,16,17,SAMBALPUR,GEN,JAYA NARAYAN MISHRA,BJP,57349,1,44.53,2,JAYANARAYAN MISHRA,1,10.6
Odisha,2019,16,17,SAMBALPUR,GEN,DR. RASESWARI PANIGRAHI,BJD,52969,2,41.13,1,RASESWARI PANIGRAHI,-1,-1.6
Odisha,2019,16,17,SAMBALPUR,GEN,DR. ASWINI KUMAR PUJAHARI,INC,11652,3,9.05,3,SURESWAR MISHRA,0,-7.76
Odisha,2019,16,17,SAMBALPUR,GEN,DILIP SINGH,BSP,2084,4,1.62,4,MD. MUSTAKIM,0,-0.49
Odisha,2019,16,17,SAMBALPUR,GEN,NOTA,NOTA,1261,6,0.98,5,None of the Above,-1,-0.27
Odisha,2019,16,17,SAMBALPUR,GEN,LAXMAN KUMAR BHOI,PCHVP,232,10,0.18,12,MANAGOBINDA PADHAN,2,0.03
Odisha,2019,16,18,RAIRAKHOL,GEN,Rohit Pujari,BJD,57111,1,37.94,1,ROHIT PUJARI,0,-2.02
Odisha,2019,16,18,RAIRAKHOL,GEN,ASSAF ALI KHAN,INC,42479,2,28.22,2,ASSAF ALI KHAN,0,-2.9
Odisha,2019,16,18,RAIRAKHOL,GEN,Debendra Mohapatra,BJP,42027,3,27.92,3,PRATAP KUMAR PRADHAN,0,6
Odisha,2019,16,18,RAIRAKHOL,GEN,NOTA,NOTA,1725,5,1.15,5,None of the Above,0,0.19
Odisha,2019,16,18,RAIRAKHOL,GEN,ANAND KUMAR SAMAL,AAAP,1359,7,0.9,8,LAXMIDHAR NAIK,1,0.18
Odisha,2019,16,18,RAIRAKHOL,GEN,Sanket Bahidar,BSP,938,8,0.62,6,DEBDULAL BAKSHI,-2,-0.32
Odisha,2019,16,18,RAIRAKHOL,GEN,Janak Ram Rana,PCHVP,456,9,0.3,12,LAXMAN KUMAR BHOI,3,-0.11
Odisha,2019,16,19,DEOGARH,GEN,Subash Chandra Panigrahi,BJP,74355,1,41.52,1,NITESH GANGADEB,0,-12.35
