State_Name,Year,Assembly_No,Party,Total_Cand,Winners,Deposit_Lost,Avg_Winning_Margin,Strike_Rate,position
Odisha,2019,16,BJD,146,112,0,9.84,76.71,1
Odisha,2019,16,BJP,146,23,13,0.87,15.75,3
Odisha,2019,16,CPM,5,1,4,1.39,20.0,2
Odisha,2019,16,INC,138,9,77,0.24,6.52,4
Odisha,2019,16,IND,303,1,298,0.01,0.33,5
Odisha,2014,15,BJD,147,117,2,12.86,79.59,1
Odisha,2014,15,BJP,147,10,77,0.55,6.8,4
Odisha,2014,15,CPM,12,1,11,0.09,8.33,3
Odisha,2014,15,INC,147,16,40,0.65,10.88,2
Odisha,2014,15,IND,276,2,264,0.04,0.72,6
Odisha,2014,15,SKD,51,1,50,0.14,1.96,5
Odisha,2009,14,BJD,129,103,3,13.75,79.84,1
Odisha,2009,14,BJP,145,6,93,0.41,4.14,5
Odisha,2009,14,CPI,5,1,4,3.17,20.0,3
Odisha,2009,14,INC,147,27,26,1.33,18.37,4
Odisha,2009,14,IND,372,6,349,0.14,1.61,6
Odisha,2009,14,NCP,8,4,4,4.61,50.0,2
Odisha,2004,13,BJD,84,61,1,9.22,72.62,1
Odisha,2004,13,BJP,63,32,1,5.06,50.79,2
Odisha,2004,13,CPI,6,1,4,1.89,16.67,7
Odisha,2004,13,CPM,3,1,1,2.02,33.33,4
Odisha,2004,13,INC,133,38,9,1.92,28.57,6
Odisha,2004,13,IND,295,8,259,0.14,2.71,8
Odisha,2004,13,JMM,12,4,3,2.02,33.33,5
Odisha,2004,13,OGP,4,2,0,1.05,50.0,3
Odisha,2000,12,AITC,36,1,35,0.94,2.78,9
Odisha,2000,12,BJD,84,68,1,16.46,80.95,1
Odisha,2000,12,BJP,63,38,0,10.5,60.32,2
Odisha,2000,12,CPI,29,1,27,0.07,3.45,7
Odisha,2000,12,CPM,15,1,13,1,6.67,5
Odisha,2000,12,INC,145,26,7,1.89,17.93,3
Odisha,2000,12,IND,236,8,196,0.19,3.39,8
Odisha,2000,12,JD(S),24,1,21,0.44,4.17,6
Odisha,2000,12,JMM,21,3,13,2.33,14.29,4
Odisha,1995,11,BJP,144,9,125,0.63,6.25,5
Odisha,1995,11,CPI,21,1,16,0.14,4.76,6
Odisha,1995,11,INC,146,80,8,6.7,54.79,1
Odisha,1995,11,IND,682,6,662,0.04,0.88,7
Odisha,1995,11,JD,146,46,12,2.46,31.51,2
Odisha,1995,11,JMM,16,4,6,2.6,25.0,3
Odisha,1995,11,JPP,4,1,3,0.42,25.0,4
Odisha,1990,10,BJP,63,2,54,0.3,3.17,5
Odisha,1990,10,CPI,9,5,2,21.14,55.56,2
Odisha,1990,10,CPM,3,1,0,5.09,33.33,3
Odisha,1990,10,INC,145,10,17,0.56,6.9,4
Odisha,1990,10,IND,389,6,372,0.11,1.54,6
Odisha,1990,10,JD,139,123,3,25.6,88.49,1
Odisha,1985,9,BJP,67,1,60,0.08,1.49,5
Odisha,1985,9,CPI,27,1,17,0.16,3.7,3
Odisha,1985,9,INC,147,117,0,18.75,79.59,1
Odisha,1985,9,IND,374,7,350,0.23,1.87,4
Odisha,1985,9,JNP,140,21,29,1.76,15.0,2
Odisha,1980,8,CPI,27,4,11,1.73,14.81,2
Odisha,1980,8,INC(I),147,118,0,19.63,80.27,1
Odisha,1980,8,INC(U),98,2,76,0.29,2.04,6
Odisha,1980,8,IND,248,7,215,0.38,2.82,5
Odisha,1980,8,JNP(JP),31,3,15,0.73,9.68,4
Odisha,1980,8,JNP(SC),110,13,39,1.11,11.82,3
Odisha,1977,7,CPI,25,1,15,0.34,4.0,4
Odisha,1977,7,CPM,4,1,1,0.44,25.0,2
Odisha,1977,7,INC,146,26,15,2.44,17.81,3
Odisha,1977,7,IND,264,9,231,0.43,3.41,5
Odisha,1977,7,JNP,147,110,4,17.82,74.83,1
Odisha,1974,6,CPI,14,7,0,9.03,50.0,2
Odisha,1974,6,CPM,8,3,4,1.07,37.5,3
Odisha,1974,6,INC,135,69,1,7.45,51.11,1
Odisha,1974,6,IND,299,7,276,0.18,2.34,9
