State_Name,Year,Assembly_No,Party,Sub_Region,Total_Cand,Winners,Deposit_Lost,Avg_Winning_Margin,Strike_Rate,position
Odisha,2019,16,AAAP,CENTRAL DIVISION,4,0,4,0,0.0,12
Odisha,2019,16,AAAP,NORTH DIVISION,10,0,10,0,0.0,13
Odisha,2019,16,AAAP,SOUTH DIVISION,1,0,1,0,0.0,14
Odisha,2019,16,ABHM,CENTRAL DIVISION,10,0,10,0,0.0,15
Odisha,2019,16,ABHM,NORTH DIVISION,1,0,1,0,0.0,16
Odisha,2019,16,ABHM,SOUTH DIVISION,1,0,1,0,0.0,17
Odisha,2019,16,AIFB,CENTRAL DIVISION,8,0,8,0,0.0,18
Odisha,2019,16,AIFB,NORTH DIVISION,6,0,6,0,0.0,19
Odisha,2019,16,AIFB,SOUTH DIVISION,4,0,4,0,0.0,20
Odisha,2019,16,AITC,CENTRAL DIVISION,16,0,16,0,0.0,21
Odisha,2019,16,AKSJP,CENTRAL DIVISION,3,0,3,0,0.0,22
Odisha,2019,16,ANC,CENTRAL DIVISION,10,0,10,0,0.0,23
Odisha,2019,16,ANC,NORTH DIVISION,1,0,1,0,0.0,24
Odisha,2019,16,ANC,SOUTH DIVISION,6,0,6,0,0.0,25
Odisha,2019,16,APoI,CENTRAL DIVISION,1,0,1,0,0.0,26
Odisha,2019,16,APoI,NORTH DIVISION,9,0,9,0,0.0,27
Odisha,2019,16,APoI,SOUTH DIVISION,5,0,5,0,0.0,28
Odisha,2019,16,BAHUMP,NORTH DIVISION,1,0,1,0,0.0,29
Odisha,2019,16,BJD,CENTRAL DIVISION,64,51,0,11.42,79.69,1
Odisha,2019,16,BJD,NORTH DIVISION,41,29,0,7.83,70.73,3
Odisha,2019,16,BJD,SOUTH DIVISION,41,32,0,9.36,78.05,2
Odisha,2019,16,BJP,CENTRAL DIVISION,64,11,6,0.75,17.19,6
Odisha,2019,16,BJP,NORTH DIVISION,41,8,1,1.07,19.51,5
Odisha,2019,16,BJP,SOUTH DIVISION,41,4,6,0.85,9.76,8
Odisha,2019,16,BMUP,CENTRAL DIVISION,8,0,8,0,0.0,30
Odisha,2019,16,BMUP,NORTH DIVISION,4,0,4,0,0.0,31
Odisha,2019,16,BMUP,SOUTH DIVISION,6,0,6,0,0.0,32
Odisha,2019,16,BMtrP,NORTH DIVISION,1,0,1,0,0.0,33
Odisha,2019,16,BSP,CENTRAL DIVISION,46,0,46,0,0.0,34
Odisha,2019,16,BSP,NORTH DIVISION,34,0,34,0,0.0,35
Odisha,2019,16,BSP,SOUTH DIVISION,27,0,27,0,0.0,36
Odisha,2019,16,CPI,NORTH DIVISION,1,0,1,0,0.0,37
Odisha,2019,16,CPI,SOUTH DIVISION,2,0,2,0,0.0,38
Odisha,2019,16,CPI(ML)(L),CENTRAL DIVISION,5,0,5,0,0.0,39
Odisha,2019,16,CPI(ML)(L),NORTH DIVISION,2,0,2,0,0.0,40
Odisha,2019,16,CPI(ML)(L),SOUTH DIVISION,3,0,3,0,0.0,41
Odisha,2019,16,CPIM,CENTRAL DIVISION,1,0,1,0,0.0,42
Odisha,2019,16,CPIM,SOUTH DIVISION,2,0,2,0,0.0,43
Odisha,2019,16,CPM,CENTRAL DIVISION,3,0,3,0,0.0,44
Odisha,2019,16,CPM,NORTH DIVISION,2,1,1,3.48,50.0,4
Odisha,2019,16,FPI,CENTRAL DIVISION,4,0,4,0,0.0,45
Odisha,2019,16,GGP,SOUTH DIVISION,1,0,1,0,0.0,46
Odisha,2019,16,HND,CENTRAL DIVISION,5,0,5,0,0.0,47
Odisha,2019,16,HND,NORTH DIVISION,13,0,13,0,0.0,48
Odisha,2019,16,HND,SOUTH DIVISION,5,0,5,0,0.0,49
Odisha,2019,16,ICPa,CENTRAL DIVISION,3,0,3,0,0.0,50
Odisha,2019,16,INC,CENTRAL DIVISION,60,2,39,0.13,3.33,10
Odisha,2019,16,INC,NORTH DIVISION,39,3,25,0.09,7.69,9
Odisha,2019,16,INC,SOUTH DIVISION,39,4,13,0.58,10.26,7
Odisha,2019,16,IND,CENTRAL DIVISION,145,0,144,0,0.0,51
Odisha,2019,16,IND,NORTH DIVISION,86,0,86,0,0.0,52
Odisha,2019,16,IND,SOUTH DIVISION,72,1,68,0.04,1.39,11
Odisha,2019,16,JKPP,CENTRAL DIVISION,4,0,4,0,0.0,53
Odisha,2019,16,JMM,CENTRAL DIVISION,4,0,2,0,0.0,54
Odisha,2019,16,JMM,NORTH DIVISION,1,0,1,0,0.0,55
Odisha,2019,16,JPJD,CENTRAL DIVISION,4,0,4,0,0.0,56
Odisha,2019,16,KJD,NORTH DIVISION,4,0,4,0,0.0,57
Odisha,2019,16,KOKD,NORTH DIVISION,1,0,1,0,0.0,58
Odisha,2019,16,KRUP,CENTRAL DIVISION,4,0,4,0,0.0,59
Odisha,2019,16,KS,CENTRAL DIVISION,16,0,16,0,0.0,60
Odisha,2019,16,KS,NORTH DIVISION,2,0,2,0,0.0,61
Odisha,2019,16,MVD,CENTRAL DIVISION,1,0,1,0,0.0,62
Odisha,2019,16,NCP,CENTRAL DIVISION,2,0,2,0,0.0,63
Odisha,2019,16,NCP,SOUTH DIVISION,3,0,3,0,0.0,64
Odisha,2019,16,NOTA,CENTRAL DIVISION,64,0,0,0,0.0,65
Odisha,2019,16,NOTA,NORTH DIVISION,41,0,0,0,0.0,66
Odisha,2019,16,NOTA,SOUTH DIVISION,41,0,0,0,0.0,67
Odisha,2019,16,OPD,CENTRAL DIVISION,4,0,4,0,0.0,68
Odisha,2019,16,OPD,NORTH DIVISION,1,0,1,0,0.0,69
Odisha,2019,16,PBI,CENTRAL DIVISION,2,0,2,0,0.0,70
Odisha,2019,16,PBI,NORTH DIVISION,2,0,2,0,0.0,71
Odisha,2019,16,PBI,SOUTH DIVISION,1,0,1,0,0.0,72
Odisha,2019,16,PCHVP,NORTH DIVISION,3,0,3,0,0.0,73
Odisha,2019,16,PSPL,CENTRAL DIVISION,1,0,1,0,0.0,74
Odisha,2019,16,PSPL,NORTH DIVISION,2,0,2,0,0.0,75
Odisha,2019,16,PUJP,CENTRAL DIVISION,5,0,5,0,0.0,76
Odisha,2019,16,RAIM,CENTRAL DIVISION,3,0,3,0,0.0,77
Odisha,2019,16,RAIM,NORTH DIVISION,2,0,2,0,0.0,78
Odisha,2019,16,RAIM,SOUTH DIVISION,1,0,1,0,0.0,79
Odisha,2019,16,SP,CENTRAL DIVISION,4,0,4,0,0.0,80
Odisha,2019,16,SP,SOUTH DIVISION,1,0,1,0,0.0,81
Odisha,2019,16,SUCI(C),CENTRAL DIVISION,11,0,10,0,0.0,82
Odisha,2019,16,SUCI(C),NORTH DIVISION,9,0,9,0,0.0,83
Odisha,2019,16,SUCI(C),SOUTH DIVISION,4,0,4,0,0.0,84
Odisha,2019,16,US,CENTRAL DIVISION,1,0,1,0,0.0,85
Odisha,2019,16,skd,CENTRAL DIVISION,4,0,4,0,0.0,86
Odisha,2019,16,skd,NORTH DIVISION,4,0,4,0,0.0,87
Odisha,2019,16,skd,SOUTH DIVISION,8,0,8,0,0.0,88
Odisha,2014,15,AAAP,CENTRAL DIVISION,53,0,53,0,0.0,14
Odisha,2014,15,AAAP,NORTH DIVISION,32,0,32,0,0.0,15
Odisha,2014,15,AAAP,SOUTH DIVISION,21,0,21,0,0.0,16
Odisha,2014,15,ABP,NORTH DIVISION,1,0,1,0,0.0,17
Odisha,2014,15,AIFB,CENTRAL DIVISION,1,0,1,0,0.0,18
Odisha,2014,15,AITC,CENTRAL DIVISION,17,0,17,0,0.0,19
Odisha,2014,15,AITC,NORTH DIVISION,5,0,5,0,0.0,20
Odisha,2014,15,AITC,SOUTH DIVISION,9,0,9,0,0.0,21
Odisha,2014,15,AJSUP,CENTRAL DIVISION,3,0,3,0,0.0,22
Odisha,2014,15,AOP,CENTRAL DIVISION,35,0,33,0,0.0,23
Odisha,2014,15,AOP,NORTH DIVISION,20,0,20,0,0.0,24
Odisha,2014,15,AOP,SOUTH DIVISION,21,0,21,0,0.0,25
Odisha,2014,15,APOI,NORTH DIVISION,11,0,11,0,0.0,26
Odisha,2014,15,APOI,SOUTH DIVISION,2,0,2,0,0.0,27
Odisha,2014,15,BISD,CENTRAL DIVISION,3,0,3,0,0.0,28
Odisha,2014,15,BISD,NORTH DIVISION,1,0,1,0,0.0,29
Odisha,2014,15,BJD,CENTRAL DIVISION,65,58,0,16.35,89.23,1
Odisha,2014,15,BJD,NORTH DIVISION,41,27,2,8.44,65.85,3
Odisha,2014,15,BJD,SOUTH DIVISION,41,32,0,11.77,78.05,2
Odisha,2014,15,BJP,CENTRAL DIVISION,65,2,40,0.15,3.08,11
Odisha,2014,15,BJP,NORTH DIVISION,41,6,11,1.48,14.63,6
Odisha,2014,15,BJP,SOUTH DIVISION,41,2,26,0.26,4.88,10
Odisha,2014,15,BMUP,CENTRAL DIVISION,1,0,1,0,0.0,30
Odisha,2014,15,BMUP,NORTH DIVISION,3,0,3,0,0.0,31
Odisha,2014,15,BMUP,SOUTH DIVISION,4,0,4,0,0.0,32
Odisha,2014,15,BSP,CENTRAL DIVISION,48,0,48,0,0.0,33
Odisha,2014,15,BSP,NORTH DIVISION,36,0,36,0,0.0,34
Odisha,2014,15,BSP,SOUTH DIVISION,29,0,29,0,0.0,35
Odisha,2014,15,CPI,CENTRAL DIVISION,15,0,15,0,0.0,36
Odisha,2014,15,CPI,NORTH DIVISION,7,0,7,0,0.0,37
Odisha,2014,15,CPI,SOUTH DIVISION,10,0,9,0,0.0,38
Odisha,2014,15,CPI(ML)(L),CENTRAL DIVISION,9,0,9,0,0.0,39
Odisha,2014,15,CPI(ML)(L),NORTH DIVISION,2,0,2,0,0.0,40
Odisha,2014,15,CPI(ML)(L),SOUTH DIVISION,6,0,6,0,0.0,41
Odisha,2014,15,CPIM,CENTRAL DIVISION,3,0,3,0,0.0,42
Odisha,2014,15,CPIM,SOUTH DIVISION,3,0,3,0,0.0,43
Odisha,2014,15,CPM,CENTRAL DIVISION,6,0,6,0,0.0,44
Odisha,2014,15,CPM,NORTH DIVISION,2,1,1,0.56,50.0,4
Odisha,2014,15,CPM,SOUTH DIVISION,4,0,4,0,0.0,45
Odisha,2014,15,HND,NORTH DIVISION,2,0,2,0,0.0,46
Odisha,2014,15,ICPA,CENTRAL DIVISION,1,0,1,0,0.0,47
Odisha,2014,15,ICPA,NORTH DIVISION,1,0,1,0,0.0,48
