Assembly_No,TCPD_Prof_Main,MLAs_var
16,Agriculture,27
16,Business,29
16,Former Government,3
16,Liberal Profession or Professional,9
16,Other,17
16,Politics,17
16,Retired or Pension,2
16,Salaried Work or Employed,1
16,Small Business or Self-employed,1
16,Social Work,39
16,Unknown,1
15,Agriculture,31
15,Business,15
15,Former Government,1
15,Liberal Profession or Professional,12
15,Other,19
15,Politics,27
15,Retired or Pension,1
15,Salaried Work or Employed,3
15,Social Work,38
14,Other,133
14,Unknown,14
13,Other,135
13,Unknown,12
