Assembly_No,Party_ID,MyNeta_education,MLAs_var_Party,Party_MLAs,Year,Party,pty_mla_var_perc
16,9079,10th Pass,7,112,2019,BJD,6.25
16,9079,12th Pass,16,112,2019,BJD,14.29
16,9079,5th Pass,2,112,2019,BJD,1.79
16,9079,8th Pass,5,112,2019,BJD,4.46
16,9079,Doctorate,3,112,2019,BJD,2.68
16,9079,Graduate,25,112,2019,BJD,22.32
16,9079,Graduate Professional,22,112,2019,BJD,19.64
16,9079,Others,1,112,2019,BJD,0.89
16,9079,Post Graduate,30,112,2019,BJD,26.79
16,9079,Unknown,1,112,2019,BJD,0.89
16,1605,10th Pass,3,23,2019,BJP,13.04
16,1605,12th Pass,4,23,2019,BJP,17.39
16,1605,8th Pass,1,23,2019,BJP,4.35
16,1605,Doctorate,1,23,2019,BJP,4.35
16,1605,Graduate,4,23,2019,BJP,17.39
16,1605,Graduate Professional,4,23,2019,BJP,17.39
16,1605,Others,1,23,2019,BJP,4.35
16,1605,Post Graduate,5,23,2019,BJP,21.74
16,14635,Graduate,1,1,2019,CPM,100
16,3482,10th Pass,3,9,2019,INC,33.33
16,3482,12th Pass,2,9,2019,INC,22.22
16,3482,Graduate,1,9,2019,INC,11.11
16,3482,Graduate Professional,3,9,2019,INC,33.33
16,10809,Post Graduate,1,1,2019,IND,100
15,9079,10th Pass,12,117,2014,BJD,10.26
15,9079,12th Pass,19,117,2014,BJD,16.24
15,9079,5th Pass,2,117,2014,BJD,1.71
15,9079,8th Pass,5,117,2014,BJD,4.27
15,9079,Doctorate,2,117,2014,BJD,1.71
15,9079,Graduate,27,117,2014,BJD,23.08
15,9079,Graduate Professional,22,117,2014,BJD,18.8
15,9079,Post Graduate,28,117,2014,BJD,23.93
15,1605,10th Pass,2,10,2014,BJP,20
15,1605,12th Pass,3,10,2014,BJP,30
15,1605,5th Pass,1,10,2014,BJP,10
15,1605,Graduate,1,10,2014,BJP,10
15,1605,Graduate Professional,2,10,2014,BJP,20
15,1605,Post Graduate,1,10,2014,BJP,10
15,14635,Graduate,1,1,2014,CPM,100
15,3482,10th Pass,2,16,2014,INC,12.5
15,3482,12th Pass,2,16,2014,INC,12.5
15,3482,Graduate,3,16,2014,INC,18.75
15,3482,Graduate Professional,5,16,2014,INC,31.25
15,3482,Others,1,16,2014,INC,6.25
15,3482,Post Graduate,3,16,2014,INC,18.75
15,10809,10th Pass,1,2,2014,IND,50
15,10809,Graduate,1,2,2014,IND,50
15,7540,12th Pass,1,1,2014,SKD,100
14,9079,10th Pass,17,103,2009,BJD,16.5
14,9079,12th Pass,13,103,2009,BJD,12.62
14,9079,8th Pass,1,103,2009,BJD,0.97
14,9079,Doctorate,1,103,2009,BJD,0.97
14,9079,Graduate,20,103,2009,BJD,19.42
14,9079,Graduate Professional,16,103,2009,BJD,15.53
14,9079,Post Graduate,27,103,2009,BJD,26.21
14,9079,Unknown,8,103,2009,BJD,7.77
14,1605,10th Pass,1,6,2009,BJP,16.67
14,1605,8th Pass,1,6,2009,BJP,16.67
14,1605,Graduate,2,6,2009,BJP,33.33
14,1605,Unknown,2,6,2009,BJP,33.33
14,2444,10th Pass,1,1,2009,CPI,100
14,3482,10th Pass,7,27,2009,INC,25.93
14,3482,12th Pass,2,27,2009,INC,7.41
14,3482,8th Pass,1,27,2009,INC,3.7
14,3482,Graduate,8,27,2009,INC,29.63
14,3482,Graduate Professional,3,27,2009,INC,11.11
14,3482,Post Graduate,4,27,2009,INC,14.81
14,3482,Unknown,2,27,2009,INC,7.41
14,10809,10th Pass,1,6,2009,IND,16.67
14,10809,12th Pass,2,6,2009,IND,33.33
14,10809,8th Pass,1,6,2009,IND,16.67
14,10809,Unknown,2,6,2009,IND,33.33
14,5792,Graduate,2,4,2009,NCP,50
14,5792,Post Graduate,2,4,2009,NCP,50
13,9079,10th Pass,3,61,2004,BJD,4.92
13,9079,12th Pass,3,61,2004,BJD,4.92
13,9079,5th Pass,1,61,2004,BJD,1.64
13,9079,Graduate,14,61,2004,BJD,22.95
13,9079,Graduate Professional,12,61,2004,BJD,19.67
13,9079,Post Graduate,16,61,2004,BJD,26.23
13,9079,Unknown,12,61,2004,BJD,19.67
13,1605,10th Pass,1,32,2004,BJP,3.12
13,1605,12th Pass,3,32,2004,BJP,9.38
13,1605,Doctorate,1,32,2004,BJP,3.12
13,1605,Graduate,10,32,2004,BJP,31.25
13,1605,Graduate Professional,7,32,2004,BJP,21.88
13,1605,Post Graduate,3,32,2004,BJP,9.38
13,1605,Unknown,7,32,2004,BJP,21.88
13,2444,Graduate Professional,1,1,2004,CPI,100
13,14635,Graduate,1,1,2004,CPM,100
13,3482,10th Pass,5,38,2004,INC,13.16
13,3482,12th Pass,3,38,2004,INC,7.89
13,3482,5th Pass,1,38,2004,INC,2.63
13,3482,Doctorate,1,38,2004,INC,2.63
13,3482,Graduate,13,38,2004,INC,34.21
13,3482,Graduate Professional,8,38,2004,INC,21.05
13,3482,Post Graduate,2,38,2004,INC,5.26
13,3482,Unknown,5,38,2004,INC,13.16
13,10809,Post Graduate,2,8,2004,IND,25
13,10809,Unknown,6,8,2004,IND,75
13,4653,10th Pass,1,4,2004,JMM,25
13,4653,12th Pass,1,4,2004,JMM,25
13,4653,Unknown,2,4,2004,JMM,50
13,5947,Graduate,1,2,2004,OGP,50
13,5947,Graduate Professional,1,2,2004,OGP,50
