Assembly_No,Total_Candidates,No_Incumbents,Successful_Incumbents,Total_Seats,Turncoats,Successful_Turncoats,No_Recontests,First_contests,Second_contests,Multiple_contests,No_first_time_winners,First_Contest_winners,Year,Party_ID,pty_Total_Candidates,pty_Incumbents,pty_Turncoats,pty_Recontests,pty_First_contests,pty_Second_contests,pty_Multiple_contests,pty_first_time_winners,pty_First_Contest_winners,pty_Successful_Incumbents,pty_Successful_Turncoats,Party,pty_recontests_pct,Color,pty_incm_recontests_pct,hover_pty_incm_recontests_pct,pty_incm_Strike_Rate,hover_pty_incm_Strike_Rate,pty_turn_Strike_Rate,hover_pty_turn_Strike_Rate,pty_fist_time_winners_pct
16,1127,91,61,146,87,16,310,722,200,205,58,38,2019,13,15,0,1,3,12,2,1,0,0,0,0,AAAP,0.97,#87CEEB,0,0.0 (0.0%),nan,nan% (0.0/0.0),0,0.0% (0.0/1.0),0
16,1127,91,61,146,87,16,310,722,200,205,58,38,2019,268,12,0,1,1,11,1,0,0,0,0,0,ABHM,0.32,,0,0.0 (0.0%),nan,nan% (0.0/0.0),0,0.0% (0.0/1.0),0
16,1127,91,61,146,87,16,310,722,200,205,58,38,2019,3040,18,0,4,4,12,3,3,0,0,0,0,AIFB,1.29,#DA0000,0,0.0 (0.0%),nan,nan% (0.0/0.0),0,0.0% (0.0/4.0),0
16,1127,91,61,146,87,16,310,722,200,205,58,38,2019,18228,16,0,2,3,12,4,0,0,0,0,0,AITC,0.97,#4285F4,0,0.0 (0.0%),nan,nan% (0.0/0.0),0,0.0% (0.0/2.0),0
16,1127,91,61,146,87,16,310,722,200,205,58,38,2019,920,3,0,0,0,3,0,0,0,0,0,0,AKSJP,0,,0,0.0 (0.0%),nan,nan% (0.0/0.0),nan,nan% (0.0/0.0),0
16,1127,91,61,146,87,16,310,722,200,205,58,38,2019,840,17,0,1,1,15,2,0,0,0,0,0,ANC,0.32,,0,0.0 (0.0%),nan,nan% (0.0/0.0),0,0.0% (0.0/1.0),0
16,1127,91,61,146,87,16,310,722,200,205,58,38,2019,880,15,0,1,4,11,4,0,0,0,0,0,APoI,1.29,,0,0.0 (0.0%),nan,nan% (0.0/0.0),0,0.0% (0.0/1.0),0
16,1127,91,61,146,87,16,310,722,200,205,58,38,2019,1060,1,0,0,0,1,0,0,0,0,0,0,BAHUMP,0,,0,0.0 (0.0%),nan,nan% (0.0/0.0),nan,nan% (0.0/0.0),0
16,1127,91,61,146,87,16,310,722,200,205,58,38,2019,9079,146,67,18,87,41,30,75,40,30,57,11,BJD,28.06,#4df43e,73.63,67.0 (73.63%),85.07,85.07% (57.0/67.0),61.11,61.11% (11.0/18.0),68.97
16,1127,91,61,146,87,16,310,722,200,205,58,38,2019,1605,146,10,31,71,50,43,53,13,7,1,5,BJP,22.9,#ff9933,10.99,10.0 (10.99%),10,10.0% (1.0/10.0),16.13,16.13% (5.0/31.0),22.41
16,1127,91,61,146,87,16,310,722,200,205,58,38,2019,1074,18,0,0,2,16,2,0,0,0,0,0,BMUP,0.65,,0,0.0 (0.0%),nan,nan% (0.0/0.0),nan,nan% (0.0/0.0),0
16,1127,91,61,146,87,16,310,722,200,205,58,38,2019,1995,1,0,0,0,1,0,0,0,0,0,0,BMtrP,0,,0,0.0 (0.0%),nan,nan% (0.0/0.0),nan,nan% (0.0/0.0),0
16,1127,91,61,146,87,16,310,722,200,205,58,38,2019,16651,107,1,4,15,85,18,4,0,0,0,0,BSP,4.84,#003399,1.1,1.0 (1.1%),0,0.0% (0.0/1.0),0,0.0% (0.0/4.0),0
16,1127,91,61,146,87,16,310,722,200,205,58,38,2019,2444,3,0,0,1,2,1,0,0,0,0,0,CPI,0.32,#ff3300,0,0.0 (0.0%),nan,nan% (0.0/0.0),nan,nan% (0.0/0.0),0
16,1127,91,61,146,87,16,310,722,200,205,58,38,2019,2472,10,0,0,3,5,2,3,0,0,0,0,CPI(ML)(L),0.97,#9c6f73,0,0.0 (0.0%),nan,nan% (0.0/0.0),nan,nan% (0.0/0.0),0
