Assembly_No,Party_ID,TCPD_Prof_Main,MLAs_var_Party,Party_MLAs,Year,Party,pty_mla_var_perc
16,9079,Agriculture,20,112,2019,BJD,17.86
16,9079,Business,23,112,2019,BJD,20.54
16,9079,Former Government,2,112,2019,BJD,1.79
16,9079,Liberal Profession or Professional,5,112,2019,BJD,4.46
16,9079,Other,12,112,2019,BJD,10.71
16,9079,Politics,15,112,2019,BJD,13.39
16,9079,Retired or Pension,1,112,2019,BJD,0.89
16,9079,Salaried Work or Employed,1,112,2019,BJD,0.89
16,9079,Social Work,32,112,2019,BJD,28.57
16,9079,Unknown,1,112,2019,BJD,0.89
16,1605,Agriculture,5,23,2019,BJP,21.74
16,1605,Business,2,23,2019,BJP,8.7
16,1605,Former Government,1,23,2019,BJP,4.35
16,1605,Liberal Profession or Professional,3,23,2019,BJP,13.04
16,1605,Other,3,23,2019,BJP,13.04
16,1605,Politics,2,23,2019,BJP,8.7
16,1605,Retired or Pension,1,23,2019,BJP,4.35
16,1605,Small Business or Self-employed,1,23,2019,BJP,4.35
16,1605,Social Work,5,23,2019,BJP,21.74
16,14635,Other,1,1,2019,CPM,100
16,3482,Agriculture,2,9,2019,INC,22.22
16,3482,Business,4,9,2019,INC,44.44
16,3482,Liberal Profession or Professional,1,9,2019,INC,11.11
16,3482,Other,1,9,2019,INC,11.11
16,3482,Social Work,1,9,2019,INC,11.11
16,10809,Social Work,1,1,2019,IND,100
15,9079,Agriculture,21,117,2014,BJD,17.95
15,9079,Business,9,117,2014,BJD,7.69
15,9079,Former Government,1,117,2014,BJD,0.85
15,9079,Liberal Profession or Professional,8,117,2014,BJD,6.84
15,9079,Other,16,117,2014,BJD,13.68
15,9079,Politics,24,117,2014,BJD,20.51
15,9079,Salaried Work or Employed,2,117,2014,BJD,1.71
15,9079,Social Work,36,117,2014,BJD,30.77
15,1605,Agriculture,3,10,2014,BJP,30
15,1605,Business,2,10,2014,BJP,20
15,1605,Liberal Profession or Professional,2,10,2014,BJP,20
15,1605,Other,1,10,2014,BJP,10
15,1605,Politics,1,10,2014,BJP,10
15,1605,Retired or Pension,1,10,2014,BJP,10
15,14635,Agriculture,1,1,2014,CPM,100
15,3482,Agriculture,6,16,2014,INC,37.5
15,3482,Business,2,16,2014,INC,12.5
15,3482,Liberal Profession or Professional,2,16,2014,INC,12.5
15,3482,Other,1,16,2014,INC,6.25
15,3482,Politics,2,16,2014,INC,12.5
15,3482,Salaried Work or Employed,1,16,2014,INC,6.25
15,3482,Social Work,2,16,2014,INC,12.5
15,10809,Business,2,2,2014,IND,100
15,7540,Other,1,1,2014,SKD,100
14,9079,Other,95,103,2009,BJD,92.23
14,9079,Unknown,8,103,2009,BJD,7.77
14,1605,Other,4,6,2009,BJP,66.67
14,1605,Unknown,2,6,2009,BJP,33.33
14,2444,Other,1,1,2009,CPI,100
14,3482,Other,25,27,2009,INC,92.59
14,3482,Unknown,2,27,2009,INC,7.41
14,10809,Other,4,6,2009,IND,66.67
14,10809,Unknown,2,6,2009,IND,33.33
14,5792,Other,4,4,2009,NCP,100
13,9079,Other,59,61,2004,BJD,96.72
13,9079,Unknown,2,61,2004,BJD,3.28
13,1605,Other,29,32,2004,BJP,90.62
13,1605,Unknown,3,32,2004,BJP,9.38
13,2444,Other,1,1,2004,CPI,100
13,14635,Other,1,1,2004,CPM,100
13,3482,Other,37,38,2004,INC,97.37
13,3482,Unknown,1,38,2004,INC,2.63
13,10809,Other,2,8,2004,IND,25
13,10809,Unknown,6,8,2004,IND,75
13,4653,Other,4,4,2004,JMM,100
13,5947,Other,2,2,2004,OGP,100
