Assembly_No,MyNeta_education,MLAs_var
14,10th Pass,6
14,12th Pass,4
14,5th Pass,1
14,Graduate,5
14,Graduate Professional,5
14,Illiterate,1
14,Others,1
14,Post Graduate,7
13,10th Pass,3
13,12th Pass,1
13,5th Pass,1
13,8th Pass,1
13,Graduate,3
13,Graduate Professional,2
13,Illiterate,1
13,Others,1
13,Post Graduate,3
13,Unknown,14
12,10th Pass,3
12,12th Pass,3
12,5th Pass,1
12,Graduate,2
12,Graduate Professional,2
12,Others,1
12,Post Graduate,2
12,Unknown,16
11,10th Pass,5
11,12th Pass,3
11,8th Pass,3
11,Graduate,4
11,Graduate Professional,5
11,Others,2
11,Post Graduate,5
11,Unknown,3
