Assembly_No,Total_Candidates,Contesting_Incumbents,Successful_Incumbents,Total_Seats,Turncoats,Successful_Turncoats,Recontesting_Candidates,First_Contests,Second_Contests,Multiple_Contests,No_first_time_winners,First_Contest_Winners,Year,Recontesting_Candidates_pct,First_Contests_pct,Second_Contests_pct,Multiple_Contests_pct,Contesting_Incumbents_pct,Successful_Incumbents_pct,No_first_time_winners_pct,First_Contest_Winners_pct,Incumbent_Strike_Rate,Turncoat_Strike_Rate
14,324,20,7,30,12,5,69,240,43,41,15,9,2021,21.3,74.07,13.27,12.65,66.67,23.33,50,30,35,41.67
13,342,27,10,30,11,4,75,254,46,42,16,11,2016,21.93,74.27,13.45,12.28,90,33.33,53.33,36.67,37.04,36.36
12,186,23,14,30,14,9,55,124,24,38,10,7,2011,29.57,66.67,12.9,20.43,76.67,46.67,33.33,23.33,60.87,64.29
11,218,26,17,30,12,5,55,155,22,41,9,6,2006,25.23,71.1,10.09,18.81,86.67,56.67,30,20,65.38,41.67
10,193,22,14,30,14,4,52,123,28,42,11,5,2001,26.94,63.73,14.51,21.76,73.33,46.67,36.67,16.67,63.64,28.57
9,270,25,13,30,6,3,55,201,26,43,12,6,1996,20.37,74.44,9.63,15.93,83.33,43.33,40,20,52,50
8,208,22,11,30,4,0,70,125,54,29,16,12,1991,33.65,60.1,25.96,13.94,73.33,36.67,53.33,40,50,0
7,212,21,12,30,4,2,38,165,18,29,17,13,1990,17.92,77.83,8.49,13.68,70,40,56.67,43.33,57.14,50
6,119,23,11,30,7,4,40,71,19,29,15,10,1985,33.61,59.66,15.97,24.37,76.67,36.67,50,33.33,47.83,57.14
5,132,21,11,30,7,5,41,84,16,32,16,10,1980,31.06,63.64,12.12,24.24,70,36.67,53.33,33.33,52.38,71.43
4,131,21,14,30,15,7,43,84,30,17,12,9,1977,32.82,64.12,22.9,12.98,70,46.67,40,30,66.67,46.67
3,108,21,6,30,10,4,25,78,17,13,21,21,1974,23.15,72.22,15.74,12.04,70,20,70,70,28.57,40
2,76,14,9,30,4,3,21,55,21,0,21,17,1969,27.63,72.37,27.63,0,46.67,30,70,56.67,64.29,75
1,85,0,0,30,0,0,0,85,0,0,30,30,1964,0,100,0,0,0,0,100,100,0,0
