State_Name,Year,Assembly_No,Party,Total_Seats_in_Assembly,Total_Votes_in_Assembly,Total_Votes_in_Contested_Seats,Total_Candidates,Winners,Deposits_Lost,Strike_Rate,Seat_Share,Vote_Share_in_Assembly,Vote_Share_in_Contested_Seats,position,Expanded_Party_Name
Puducherry,2021,14,ADMK,30,836562,121389,5,0,1,0.0,0,4.14,28.52,6,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM
Puducherry,2021,14,AINRC,30,836562,461020,16,10,1,62.5,33.33,25.85,46.91,1,ALL INDIA N.R. CONGRESS
Puducherry,2021,14,AMMK,30,836562,693410,25,0,25,0.0,0,0.55,0.67,7,
Puducherry,2021,14,BJP,30,836562,254153,9,6,0,66.66666666666667,20,13.66,44.97,2,BHARATIYA JANATA PARTY
Puducherry,2021,14,BSP,30,836562,321329,11,0,11,0.0,0,0.14,0.36,8,
Puducherry,2021,14,CPI,30,836562,23586,1,0,0,0.0,0,0.9,31.89,9,COMMUNIST PARTY OF INDIA
Puducherry,2021,14,CPI(ML)(L),30,836562,32710,1,0,1,0.0,0,0.02,0.48,10,
Puducherry,2021,14,CPM,30,836562,23423,1,0,1,0.0,0,0.04,1.37,11,COMMUNIST PARTY OF INDIA (MARXIST)
Puducherry,2021,14,DMDK,30,836562,724529,26,0,26,0.0,0,0.3,0.35,12,
Puducherry,2021,14,DMK,30,836562,353725,13,6,1,46.15384615384615,20,18.51,43.78,3,DRAVIDA MUNNETRA KAZHAGAM
Puducherry,2021,14,IJK,30,836562,593361,21,0,21,0.0,0,0.12,0.17,13,
Puducherry,2021,14,INC,30,836562,391631,14,2,1,14.285714285714286,6.67,15.71,33.55,5,INDIAN NATIONAL CONGRESS
Puducherry,2021,14,IND,30,836562,836562,116,6,107,5.172413793103448,20,12.68,12.68,4,
Puducherry,2021,14,JD(U),30,836562,123920,4,0,4,0.0,0,0.02,0.11,14,
Puducherry,2021,14,MNM,30,836562,617364,22,0,22,0.0,0,1.89,2.56,15,
Puducherry,2021,14,My India Party,30,836562,27823,1,0,1,0.0,0,0.02,0.52,16,
Puducherry,2021,14,NOTA,30,836562,836562,30,0,0,0.0,0,1.29,1.29,17,
Puducherry,2021,14,NTK,30,836562,778244,28,0,28,0.0,0,3.37,3.62,18,
Puducherry,2021,14,Puducherry Development  Party,30,836562,122255,4,0,4,0.0,0,0.02,0.16,19,
Puducherry,2021,14,Puratchi Bharatham,30,836562,20257,1,0,1,0.0,0,0.01,0.3,20,
Puducherry,2021,14,SDPI,30,836562,112429,4,0,4,0.0,0,0.08,0.63,21,
Puducherry,2021,14,VCK,30,836562,32710,1,0,0,0.0,0,0.67,17.22,22,
Puducherry,2016,13,ADMK,30,780614,780614,30,4,17,13.333333333333334,13.33,17.24,17.24,3,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM
Puducherry,2016,13,AGIMK,30,780614,212447,8,0,8,0.0,0,0.04,0.13,6,
Puducherry,2016,13,AINRC,30,780614,780614,30,9,8,30.0,30,28.83,28.83,2,ALL INDIA N.R. CONGRESS
Puducherry,2016,13,BJP,30,780614,780614,30,0,29,0.0,0,2.47,2.47,7,BHARATIYA JANATA PARTY
Puducherry,2016,13,BSP,30,780614,243583,9,0,9,0.0,0,0.07,0.24,8,
Puducherry,2016,13,CPI,30,780614,184893,7,0,6,0.0,0,1.1,4.63,9,COMMUNIST PARTY OF INDIA
Puducherry,2016,13,CPI(ML)(L),30,780614,65916,3,0,3,0.0,0,0.03,0.33,10,
Puducherry,2016,13,CPM,30,780614,102623,4,0,4,0.0,0,0.39,2.94,11,COMMUNIST PARTY OF INDIA (MARXIST)
Puducherry,2016,13,DMDK,30,780614,138899,6,0,6,0.0,0,0.11,0.61,12,
Puducherry,2016,13,DMK,30,780614,226993,9,2,2,22.22222222222222,6.67,9.07,31.21,4,DRAVIDA MUNNETRA KAZHAGAM
Puducherry,2016,13,IJK,30,780614,569670,22,0,22,0.0,0,0.08,0.11,13,
Puducherry,2016,13,INC,30,780614,543898,20,14,2,70.0,46.67,28.94,41.54,1,INDIAN NATIONAL CONGRESS
Puducherry,2016,13,IND,30,780614,780614,95,1,89,1.0526315789473684,3.33,7.96,7.96,5,
Puducherry,2016,13,JD(U),30,780614,33268,2,0,2,0.0,0,0.01,0.15,14,
Puducherry,2016,13,MDMK,30,780614,128511,5,0,5,0.0,0,0.1,0.59,15,MARUMALARCHI DRAVIDA MUNNETRA KAZHAGAM
Puducherry,2016,13,NOTA,30,780614,780614,30,0,0,0.0,0,1.7,1.7,16,
Puducherry,2016,13,NTK,30,780614,669310,26,0,26,0.0,0,0.5,0.58,17,
Puducherry,2016,13,PMK,30,780614,625682,24,0,24,0.0,0,0.73,0.91,18,PATTALI MAKKAL KATCHI
Puducherry,2016,13,RSP,30,780614,29345,1,0,1,0.0,0,0.01,0.21,19,
Puducherry,2016,13,SDPI,30,780614,103722,4,0,4,0.0,0,0.11,0.82,20,
Puducherry,2016,13,TAVK,30,780614,56174,2,0,2,0.0,0,0.02,0.33,21,
Puducherry,2016,13,VCK,30,780614,138965,5,0,5,0.0,0,0.5,2.82,22,
Puducherry,2011,12,ADMK,30,686435,233936,10,5,2,50.0,16.67,13.98,41.02,3,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM
Puducherry,2011,12,AINRC,30,686435,387944,17,15,0,88.23529411764706,50,32.28,57.11,1,ALL INDIA N.R. CONGRESS
Puducherry,2011,12,BJP,30,686435,469736,20,0,20,0.0,0,1.34,1.95,6,BHARATIYA JANATA PARTY
Puducherry,2011,12,BSP,30,686435,222412,10,0,10,0.0,0,0.13,0.41,7,
Puducherry,2011,12,CPI,30,686435,21303,1,0,0,0.0,0,0.95,30.7,8,COMMUNIST PARTY OF INDIA
Puducherry,2011,12,CPI(ML)(L),30,686435,56926,3,0,3,0.0,0,0.08,0.92,9,
Puducherry,2011,12,CPM,30,686435,41647,2,0,1,0.0,0,1.14,18.82,10,COMMUNIST PARTY OF INDIA (MARXIST)
Puducherry,2011,12,DMDK,30,686435,21278,1,0,0,0.0,0,0.87,28.04,11,
Puducherry,2011,12,DMK,30,686435,223992,10,2,1,20.0,6.67,10.86,33.28,4,DRAVIDA MUNNETRA KAZHAGAM
Puducherry,2011,12,IJK,30,686435,127424,5,0,5,0.0,0,0.1,0.56,12,
Puducherry,2011,12,INC,30,686435,377202,16,7,1,43.75,23.33,25.3,46.05,2,INDIAN NATIONAL CONGRESS
Puducherry,2011,12,IND,30,686435,686435,79,1,72,1.2658227848101267,3.33,10.28,10.28,5,
Puducherry,2011,12,JD(U),30,686435,71643,3,0,3,0.0,0,0.03,0.31,13,
Puducherry,2011,12,LJP,30,686435,93081,4,0,4,0.0,0,0.06,0.45,14,
Puducherry,2011,12,PB,30,686435,22672,1,0,1,0.0,0,0.01,0.34,15,
Puducherry,2011,12,PMK,30,686435,49155,2,0,0,0.0,0,2.53,35.28,16,PATTALI MAKKAL KATCHI
Puducherry,2011,12,RSP,30,686435,25340,1,0,1,0.0,0,0.02,0.42,17,
Puducherry,2011,12,SDPI,30,686435,22542,1,0,1,0.0,0,0.04,1.08,18,
Puducherry,2006,11,ADMK,30,565289,364114,18,3,8,16.666666666666668,10,16.04,24.91,3,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM
Puducherry,2006,11,AIFB,30,565289,34330,1,0,1,0.0,0,0.01,0.18,9,
Puducherry,2006,11,BJP,30,565289,518564,27,0,26,0.0,0,3.07,3.35,10,BHARATIYA JANATA PARTY
Puducherry,2006,11,BSP,30,565289,272623,15,0,15,0.0,0,0.2,0.41,11,
Puducherry,2006,11,BVVP,30,565289,18117,1,0,1,0.0,0,0.08,2.56,12,
Puducherry,2006,11,CPI,30,565289,34330,1,1,0,100.0,3.33,3.06,50.43,7,COMMUNIST PARTY OF INDIA
Puducherry,2006,11,CPI(ML)(L),30,565289,89366,4,0,4,0.0,0,0.05,0.31,13,
Puducherry,2006,11,CPM,30,565289,42449,3,0,1,0.0,0,1.92,25.57,14,COMMUNIST PARTY OF INDIA (MARXIST)
Puducherry,2006,11,DMDK,30,565289,465998,24,0,23,0.0,0,2.73,3.31,15,
Puducherry,2006,11,DMK,30,565289,173238,11,7,0,63.63636363636363,23.33,12.59,41.08,2,DRAVIDA MUNNETRA KAZHAGAM
Puducherry,2006,11,INC,30,565289,312546,16,10,0,62.5,33.33,29.91,54.09,1,INDIAN NATIONAL CONGRESS
Puducherry,2006,11,IND,30,565289,565289,76,3,65,3.9473684210526314,10,13.92,13.92,4,
Puducherry,2006,11,JD(S),30,565289,17428,1,0,0,0.0,0,0.63,20.41,16,
Puducherry,2006,11,LJP,30,565289,94595,4,0,4,0.0,0,0.06,0.38,17,
Puducherry,2006,11,MDMK,30,565289,49803,3,1,1,33.333333333333336,3.33,2.47,28.06,8,MARUMALARCHI DRAVIDA MUNNETRA KAZHAGAM
Puducherry,2006,11,PMC,30,565289,148077,9,3,1,33.333333333333336,10,9.4,35.89,5,PUDHUCHERRY MAKKAL CONGRESS
Puducherry,2006,11,PMK,30,565289,45175,2,2,0,100.0,6.67,3.8,47.61,6,PATTALI MAKKAL KATCHI
Puducherry,2006,11,RPI(A),30,565289,18573,1,0,1,0.0,0,0.01,0.27,18,
Puducherry,2006,11,RSP,30,565289,29949,1,0,1,0.0,0,0.04,0.8,19,
Puducherry,2001,10,ADMK,30,477107,319368,20,3,11,15.0,10,12.56,18.76,4,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM
Puducherry,2001,10,BJP,30,477107,76696,5,1,2,20.0,3.33,4.65,28.9,7,BHARATIYA JANATA PARTY
Puducherry,2001,10,CPI,30,477107,30363,2,0,0,0.0,0,1.85,29.1,8,COMMUNIST PARTY OF INDIA
Puducherry,2001,10,CPI(ML)(L),30,477107,55009,3,0,3,0.0,0,0.05,0.47,9,
Puducherry,2001,10,CPM,30,477107,48123,3,0,2,0.0,0,1.24,12.28,10,COMMUNIST PARTY OF INDIA (MARXIST)
Puducherry,2001,10,DMK,30,477107,241658,15,7,1,46.666666666666664,23.33,17.54,34.63,2,DRAVIDA MUNNETRA KAZHAGAM
Puducherry,2001,10,INC,30,477107,334845,21,11,3,52.38095238095238,36.67,22.78,32.46,1,INDIAN NATIONAL CONGRESS
Puducherry,2001,10,IND,30,477107,477107,74,2,68,2.7027027027027026,6.67,10.77,10.77,5,
Puducherry,2001,10,JD(U),30,477107,24319,1,0,0,0.0,0,1.84,36.06,11,
Puducherry,2001,10,JP,30,477107,15815,1,0,1,0.0,0,0.03,0.79,12,
Puducherry,2001,10,LJNSP,30,477107,118420,7,0,7,0.0,0,0.17,0.68,13,
Puducherry,2001,10,MDMK,30,477107,187613,11,0,11,0.0,0,1.03,2.62,14,MARUMALARCHI DRAVIDA MUNNETRA KAZHAGAM
Puducherry,2001,10,PB,30,477107,30114,2,0,2,0.0,0,0.08,1.25,15,
Puducherry,2001,10,PMC,30,477107,134434,9,4,1,44.44444444444444,13.33,10.24,36.35,3,PUDHUCHERRY MAKKAL CONGRESS
Puducherry,2001,10,PMK,30,477107,157739,10,0,3,0.0,0,7.71,23.32,16,PATTALI MAKKAL KATCHI
Puducherry,2001,10,RJD,30,477107,22254,1,0,1,0.0,0,0.04,0.76,17,
Puducherry,2001,10,RPI,30,477107,15735,1,0,1,0.0,0,0.01,0.23,18,
Puducherry,2001,10,TMC(M),30,477107,111899,7,2,2,28.571428571428573,6.67,7.42,31.63,6,TAMIL MAANILA CONGRESS (MOOPANAR)
Puducherry,1996,9,ADMK,30,460293,174043,10,3,1,30.0,10,12.53,33.14,4,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM
Puducherry,1996,9,AIIC(T),30,460293,68160,5,0,5,0.0,0,0.12,0.84,9,
Puducherry,1996,9,BJP,30,460293,209962,14,0,14,0.0,0,1.13,2.48,10,BHARATIYA JANATA PARTY
Puducherry,1996,9,BSP,30,460293,92409,6,0,6,0.0,0,0.12,0.62,11,
Puducherry,1996,9,CPI,30,460293,53910,3,2,0,66.66666666666667,6.67,6.51,55.58,5,COMMUNIST PARTY OF INDIA
Puducherry,1996,9,CPI(ML)(L),30,460293,22902,1,0,1,0.0,0,0.03,0.54,12,
