State_Name,Year,Assembly_No,Constituency_No,Constituency_Name,Constituency_Type,Candidate,Party,Votes,Position,Vote_Share_Percentage,Last_Position,Last_Candidate,Position_Change,Vote_Share_Change_pct
Puducherry,2021,14,1,MANNADIPET,GEN,A. NAMASSIVAYAM,BJP,14939,1,51.82,8,SADHASIVAM @ SARAVANAN,7,51.03
Puducherry,2021,14,1,MANNADIPET,GEN,A. KRISHNAN @ A.K. KUMAR,DMK,12189,2,42.28,2,A. KRISHNAN,0,15.17
Puducherry,2021,14,1,MANNADIPET,GEN,CHITRA,NTK,485,3,1.68,,,,1.68
Puducherry,2021,14,1,MANNADIPET,GEN,None Of The Above,NOTA,433,4,1.5,5,None of the Above,1,0.32
Puducherry,2021,14,1,MANNADIPET,GEN,P. GOPALAKRISHNAN,MNM,238,5,0.83,,,,0.83
Puducherry,2021,14,1,MANNADIPET,GEN,"K.K. MATHIVADHANAN, M.B.A., M.Phil.,",BSP,100,7,0.35,9,PURUSHOTHAMAN,2,0.03
Puducherry,2021,14,1,MANNADIPET,GEN,S. MANIKANDAN,DMDK,64,8,0.22,7,M. KARTHIKEYAN,-1,-0.6
Puducherry,2021,14,1,MANNADIPET,GEN,C. DHANAVELU,AMMK,57,9,0.2,,,,0.2
Puducherry,2021,14,2,THIRUBHUVANAI,SC,B. KOBIGA,AINRC,8238,2,28.6,1,B. KOBIGA,-1,-16.13
Puducherry,2021,14,2,THIRUBHUVANAI,SC,A. MUHILAN,DMK,7644,3,26.53,,,,26.53
Puducherry,2021,14,2,THIRUBHUVANAI,SC,K. RANJIT,NTK,588,4,2.04,,,,2.04
Puducherry,2021,14,2,THIRUBHUVANAI,SC,DURAI RAMESH,MNM,482,5,1.67,,,,1.67
Puducherry,2021,14,2,THIRUBHUVANAI,SC,None Of The Above,NOTA,284,6,0.99,5,None of the Above,-1,-0.84
Puducherry,2021,14,2,THIRUBHUVANAI,SC,Dr.K. SILAMBARASAN,AMMK,229,7,0.79,,,,0.79
Puducherry,2021,14,2,THIRUBHUVANAI,SC,T. VINAYAGAMOORTHY,DMDK,119,9,0.41,,,,0.41
Puducherry,2021,14,2,THIRUBHUVANAI,SC,V. SIVARAMAN,IJK,117,10,0.41,,,,0.41
Puducherry,2021,14,2,THIRUBHUVANAI,SC,"T. UDAYAKUMAR, MLIS",BSP,80,13,0.28,9,PERU. P. PANDIYAN,-4,0.03
Puducherry,2021,14,3,OUSSUDU,SC,AK SAI J SARAVANAN KUMAR,BJP,14121,1,48.78,2,SAI J SARAVANAN KUMAR,1,24.63
Puducherry,2021,14,3,OUSSUDU,SC,P. KARTHIKEYAN,INC,12241,2,42.29,1,E. THEEPPAINTHAN,-1,9.27
Puducherry,2021,14,3,OUSSUDU,SC,GEETHA PRIYA,NTK,740,3,2.56,10,S. SASIKUMAR,7,2.34
Puducherry,2021,14,3,OUSSUDU,SC,MUTHALU VENGADESAN,AMMK,496,4,1.71,,,,1.71
Puducherry,2021,14,3,OUSSUDU,SC,None Of The Above,NOTA,409,5,1.41,7,None of the Above,2,-0.07
Puducherry,2021,14,3,OUSSUDU,SC,K. SANKAR,MNM,293,7,1.01,,,,1.01
Puducherry,2021,14,3,OUSSUDU,SC,R. BABOU,DMDK,77,9,0.27,,,,0.27
Puducherry,2021,14,3,OUSSUDU,SC,M. RAMESH,IJK,14,12,0.05,12,R. JEYAPRIYA,0,-0.07
Puducherry,2021,14,4,MANGALAM,GEN,DJEACOUMAR .C,AINRC,16972,1,50.89,1,S.V. SUGUMARAN,0,6.28
Puducherry,2021,14,4,MANGALAM,GEN,SUN. KUMARAVEL,DMK,14221,2,42.64,2,S. KUMARAVEL,0,15.81
Puducherry,2021,14,4,MANGALAM,GEN,B. BHARATHKALAI,NTK,838,3,2.51,10,P. BAKKIYARAJ,7,2.18
