State_Name,Year,Assembly_No,Party,Total_Cand,Winners,Deposit_Lost,Avg_Winning_Margin,Strike_Rate,position
Puducherry,2021,14,AINRC,16,10,1,13.66,62.5,2
Puducherry,2021,14,BJP,9,6,0,9.01,66.67,1
Puducherry,2021,14,DMK,13,6,1,9.63,46.15,3
Puducherry,2021,14,INC,14,2,1,1.64,14.29,4
Puducherry,2021,14,IND,116,6,107,0.28,5.17,5
Puducherry,2016,13,ADMK,30,4,17,1.06,13.33,4
Puducherry,2016,13,AINRC,30,9,8,5.53,30.0,2
Puducherry,2016,13,DMK,9,2,2,4.7,22.22,3
Puducherry,2016,13,INC,20,14,2,12.33,70.0,1
Puducherry,2016,13,IND,95,1,89,0.1,1.05,5
Puducherry,2011,12,ADMK,10,5,2,11.28,50.0,2
Puducherry,2011,12,AINRC,17,15,0,26.17,88.24,1
Puducherry,2011,12,DMK,10,2,1,2.11,20.0,4
Puducherry,2011,12,INC,16,7,1,11.73,43.75,3
Puducherry,2011,12,IND,79,1,72,0.02,1.27,5
Puducherry,2006,11,ADMK,18,3,8,1.78,16.67,7
Puducherry,2006,11,CPI,1,1,0,9.87,100.0,1
Puducherry,2006,11,DMK,11,7,0,7.75,63.64,3
Puducherry,2006,11,INC,16,10,0,17.27,62.5,4
Puducherry,2006,11,IND,76,3,65,0.35,3.95,8
Puducherry,2006,11,MDMK,3,1,1,0.65,33.33,5
Puducherry,2006,11,PMC,9,3,1,2.74,33.33,6
Puducherry,2006,11,PMK,2,2,0,8.16,100.0,2
Puducherry,2001,10,ADMK,20,3,11,3.17,15.0,6
Puducherry,2001,10,BJP,5,1,2,2.71,20.0,5
Puducherry,2001,10,DMK,15,7,1,10.06,46.67,2
Puducherry,2001,10,INC,21,11,3,5.71,52.38,1
Puducherry,2001,10,IND,74,2,68,0.52,2.7,7
Puducherry,2001,10,PMC,9,4,1,5.48,44.44,3
Puducherry,2001,10,TMC(M),7,2,2,5.5,28.57,4
Puducherry,1996,9,ADMK,10,3,1,2.38,30.0,5
Puducherry,1996,9,CPI,3,2,0,18.79,66.67,2
Puducherry,1996,9,DMK,18,7,4,9.25,38.89,4
Puducherry,1996,9,INC,20,9,0,5.01,45.0,3
Puducherry,1996,9,IND,157,2,151,0.43,1.27,8
Puducherry,1996,9,JD,6,1,2,6.11,16.67,7
Puducherry,1996,9,PMK,5,1,4,1.08,20.0,6
Puducherry,1996,9,TMC(M),5,5,0,13.14,100.0,1
Puducherry,1991,8,ADK,10,6,1,7.94,60.0,2
Puducherry,1991,8,CPI,3,1,1,10.75,33.33,3
Puducherry,1991,8,DMK,19,4,0,2.21,21.05,4
Puducherry,1991,8,INC,19,15,0,16.26,78.95,1
Puducherry,1991,8,IND,91,3,84,0.44,3.3,6
Puducherry,1991,8,JD,6,1,0,0.76,16.67,5
Puducherry,1990,7,ADK,13,3,0,2.57,23.08,5
Puducherry,1990,7,CPI,3,2,1,5.51,66.67,1
Puducherry,1990,7,DMK,18,9,0,4.47,50.0,3
Puducherry,1990,7,INC,17,11,0,11.11,64.71,2
Puducherry,1990,7,IND,77,1,69,0.05,1.3,6
Puducherry,1990,7,JD,8,4,2,4.92,50.0,4
Puducherry,1985,6,ADK,10,6,1,4.58,60.0,2
Puducherry,1985,6,DMK,22,5,2,2.31,22.73,3
Puducherry,1985,6,INC,20,15,0,16.65,75.0,1
Puducherry,1985,6,IND,32,2,27,0.8,6.25,5
Puducherry,1985,6,JNP,17,2,13,1.38,11.76,4
Puducherry,1980,5,CPM,2,1,0,4.24,50.0,3
Puducherry,1980,5,DMK,15,14,1,21.44,93.33,1
Puducherry,1980,5,INC(I),13,10,0,27.61,76.92,2
Puducherry,1980,5,IND,55,2,49,0.64,3.64,5
Puducherry,1980,5,JNP,9,3,2,4.91,33.33,4
Puducherry,1977,4,ADK,27,14,2,6.22,51.85,1
Puducherry,1977,4,CPI,8,1,3,0.14,12.5,4
Puducherry,1977,4,DMK,26,3,20,0.57,11.54,5
Puducherry,1977,4,INC,22,2,7,0.94,9.09,6
Puducherry,1977,4,IND,20,3,16,1.59,15.0,3
Puducherry,1977,4,JNP,28,7,5,2.48,25.0,2
Puducherry,1974,3,ADK,21,12,2,7.65,57.14,1
Puducherry,1974,3,CPI,7,2,0,1.93,28.57,4
Puducherry,1974,3,CPM,5,1,4,1.05,20.0,5
Puducherry,1974,3,DMK,26,2,4,0.6,7.69,6
Puducherry,1974,3,INC,15,7,2,6.71,46.67,2
Puducherry,1974,3,IND,18,1,12,0.38,5.56,7
Puducherry,1974,3,NCO,16,5,0,1.65,31.25,3
Puducherry,1969,2,CPI,7,3,0,7.71,42.86,2
Puducherry,1969,2,DMK,19,15,0,15.38,78.95,1
Puducherry,1969,2,INC,30,10,1,3.78,33.33,3
Puducherry,1969,2,IND,20,2,12,1.49,10.0,4
Puducherry,1964,1,CONG,28,20,0,19.53,71.43,2
Puducherry,1964,1,INC,1,1,0,0,100.0,1
Puducherry,1964,1,IND,39,5,17,2.55,12.82,4
Puducherry,1964,1,PF,17,4,4,0.73,23.53,3
