Assembly_No,Party_ID,MyNeta_education,MLAs_var_Party,Party_MLAs,Year,Party,pty_mla_var_perc
14,737,10th Pass,3,10,2021,AINRC,30
14,737,12th Pass,2,10,2021,AINRC,20
14,737,Graduate,1,10,2021,AINRC,10
14,737,Graduate Professional,2,10,2021,AINRC,20
14,737,Post Graduate,2,10,2021,AINRC,20
14,1605,10th Pass,1,6,2021,BJP,16.67
14,1605,12th Pass,1,6,2021,BJP,16.67
14,1605,Graduate,1,6,2021,BJP,16.67
14,1605,Graduate Professional,1,6,2021,BJP,16.67
14,1605,Illiterate,1,6,2021,BJP,16.67
14,1605,Others,1,6,2021,BJP,16.67
14,10192,10th Pass,1,6,2021,DMK,16.67
14,10192,12th Pass,1,6,2021,DMK,16.67
14,10192,Graduate,1,6,2021,DMK,16.67
14,10192,Graduate Professional,1,6,2021,DMK,16.67
14,10192,Post Graduate,2,6,2021,DMK,33.33
14,3482,10th Pass,1,2,2021,INC,50
14,3482,Graduate,1,2,2021,INC,50
14,10809,5th Pass,1,6,2021,IND,16.67
14,10809,Graduate,1,6,2021,IND,16.67
14,10809,Graduate Professional,1,6,2021,IND,16.67
14,10809,Post Graduate,3,6,2021,IND,50
13,930,Unknown,4,4,2016,ADMK,100
13,737,Unknown,9,9,2016,AINRC,100
13,10192,10th Pass,1,2,2016,DMK,50
13,10192,Post Graduate,1,2,2016,DMK,50
13,3482,10th Pass,2,14,2016,INC,14.29
13,3482,12th Pass,1,14,2016,INC,7.14
13,3482,5th Pass,1,14,2016,INC,7.14
13,3482,8th Pass,1,14,2016,INC,7.14
13,3482,Graduate,3,14,2016,INC,21.43
13,3482,Graduate Professional,2,14,2016,INC,14.29
13,3482,Illiterate,1,14,2016,INC,7.14
13,3482,Others,1,14,2016,INC,7.14
13,3482,Post Graduate,2,14,2016,INC,14.29
13,10809,Unknown,1,1,2016,IND,100
12,930,10th Pass,2,5,2011,ADMK,40
12,930,5th Pass,1,5,2011,ADMK,20
12,930,Graduate Professional,1,5,2011,ADMK,20
12,930,Post Graduate,1,5,2011,ADMK,20
12,737,Unknown,15,15,2011,AINRC,100
12,10192,12th Pass,1,2,2011,DMK,50
12,10192,Post Graduate,1,2,2011,DMK,50
12,3482,10th Pass,1,7,2011,INC,14.29
12,3482,12th Pass,2,7,2011,INC,28.57
12,3482,Graduate,2,7,2011,INC,28.57
12,3482,Graduate Professional,1,7,2011,INC,14.29
12,3482,Others,1,7,2011,INC,14.29
12,10809,Unknown,1,1,2011,IND,100
11,930,10th Pass,1,3,2006,ADMK,33.33
11,930,Others,1,3,2006,ADMK,33.33
11,930,Post Graduate,1,3,2006,ADMK,33.33
11,2444,10th Pass,1,1,2006,CPI,100
11,10192,10th Pass,1,7,2006,DMK,14.29
11,10192,8th Pass,1,7,2006,DMK,14.29
11,10192,Graduate,2,7,2006,DMK,28.57
11,10192,Graduate Professional,2,7,2006,DMK,28.57
11,10192,Post Graduate,1,7,2006,DMK,14.29
11,3482,10th Pass,1,10,2006,INC,10
11,3482,12th Pass,2,10,2006,INC,20
11,3482,8th Pass,1,10,2006,INC,10
11,3482,Graduate,1,10,2006,INC,10
11,3482,Graduate Professional,1,10,2006,INC,10
11,3482,Others,1,10,2006,INC,10
11,3482,Post Graduate,3,10,2006,INC,30
11,10809,10th Pass,1,3,2006,IND,33.33
11,10809,8th Pass,1,3,2006,IND,33.33
11,10809,Graduate,1,3,2006,IND,33.33
11,11601,Graduate Professional,1,1,2006,MDMK,100
11,6267,Unknown,3,3,2006,PMC,100
11,11891,12th Pass,1,2,2006,PMK,50
11,11891,Graduate Professional,1,2,2006,PMK,50
