Assembly_No,Total_Candidates,No_Incumbents,Successful_Incumbents,Total_Seats,Turncoats,Successful_Turncoats,No_Recontests,First_contests,Second_contests,Multiple_contests,No_first_time_winners,First_Contest_winners,Year,Party_ID,pty_Total_Candidates,pty_Incumbents,pty_Turncoats,pty_Recontests,pty_First_contests,pty_Second_contests,pty_Multiple_contests,pty_first_time_winners,pty_First_Contest_winners,pty_Successful_Incumbents,pty_Successful_Turncoats,Party,pty_recontests_pct,Color,pty_incm_recontests_pct,hover_pty_incm_recontests_pct,pty_incm_Strike_Rate,hover_pty_incm_Strike_Rate,pty_turn_Strike_Rate,hover_pty_turn_Strike_Rate,pty_fist_time_winners_pct
14,324,20,7,30,12,5,69,240,43,41,15,9,2021,930,5,4,1,5,0,1,4,0,0,0,0,ADMK,7.25,#37f226,20,4 (20.0%),0,0.0% (0/4),0,0.0% (0/1),0
14,324,20,7,30,12,5,69,240,43,41,15,9,2021,737,16,9,4,12,2,7,7,3,2,5,3,AINRC,17.39,#19FF05,45,9 (45.0%),55.56,55.56% (5/9),75,75.0% (3/4),20
14,324,20,7,30,12,5,69,240,43,41,15,9,2021,24338,25,0,2,2,22,3,0,0,0,0,0,AMMK,2.9,#B7BA00,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/2),0
14,324,20,7,30,12,5,69,240,43,41,15,9,2021,1605,9,1,2,5,3,2,4,3,1,1,2,BJP,7.25,#ff9933,5,1 (5.0%),100,100.0% (1/1),100,100.0% (2/2),20
14,324,20,7,30,12,5,69,240,43,41,15,9,2021,16651,11,0,0,1,10,1,0,0,0,0,0,BSP,1.45,#003399,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
14,324,20,7,30,12,5,69,240,43,41,15,9,2021,2444,1,0,0,0,0,1,0,0,0,0,0,CPI,0,#ff3300,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
14,324,20,7,30,12,5,69,240,43,41,15,9,2021,2472,1,0,0,0,0,1,0,0,0,0,0,CPI(ML)(L),0,#9c6f73,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
14,324,20,7,30,12,5,69,240,43,41,15,9,2021,14635,1,0,0,0,1,0,0,0,0,0,0,CPM,0,#991f00,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
14,324,20,7,30,12,5,69,240,43,41,15,9,2021,2956,26,0,0,3,22,4,0,0,0,0,0,DMDK,4.35,#FFFF00,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
14,324,20,7,30,12,5,69,240,43,41,15,9,2021,10192,13,1,0,6,7,2,4,3,3,1,0,DMK,8.7,#b3b300,5,1 (5.0%),100,100.0% (1/1),nan,nan% (0/0),20
