Assembly_No,Party_ID,TCPD_Prof_Main,MLAs_var_Party,Party_MLAs,Year,Party,pty_mla_var_perc
14,737,Agriculture,1,10,2021,AINRC,10
14,737,Business,4,10,2021,AINRC,40
14,737,Former Government,1,10,2021,AINRC,10
14,737,Politics,3,10,2021,AINRC,30
14,737,Salaried Work or Employed,1,10,2021,AINRC,10
14,1605,Business,5,6,2021,BJP,83.33
14,1605,Other,1,6,2021,BJP,16.67
14,10192,Agriculture,1,6,2021,DMK,16.67
14,10192,Business,4,6,2021,DMK,66.67
14,10192,Liberal Profession or Professional,1,6,2021,DMK,16.67
14,3482,Business,2,2,2021,INC,100
14,10809,Agriculture,1,6,2021,IND,16.67
14,10809,Business,1,6,2021,IND,16.67
14,10809,Liberal Profession or Professional,1,6,2021,IND,16.67
14,10809,Other,3,6,2021,IND,50
13,930,Unknown,4,4,2016,ADMK,100
13,737,Unknown,9,9,2016,AINRC,100
13,10192,Business,2,2,2016,DMK,100
13,3482,Agriculture,2,14,2016,INC,14.29
13,3482,Business,6,14,2016,INC,42.86
13,3482,Former Government,2,14,2016,INC,14.29
13,3482,Politics,3,14,2016,INC,21.43
13,3482,Retired or Pension,1,14,2016,INC,7.14
13,10809,Unknown,1,1,2016,IND,100
12,930,Agriculture,1,5,2011,ADMK,20
12,930,Business,2,5,2011,ADMK,40
12,930,Former Government,1,5,2011,ADMK,20
12,930,Politics,1,5,2011,ADMK,20
12,737,Unknown,15,15,2011,AINRC,100
12,10192,Business,1,2,2011,DMK,50
12,10192,Politics,1,2,2011,DMK,50
12,3482,Agriculture,2,7,2011,INC,28.57
12,3482,Business,1,7,2011,INC,14.29
12,3482,Former Government,1,7,2011,INC,14.29
12,3482,Politics,3,7,2011,INC,42.86
12,10809,Unknown,1,1,2011,IND,100
11,930,Other,3,3,2006,ADMK,100
11,2444,Other,1,1,2006,CPI,100
11,10192,Other,7,7,2006,DMK,100
11,3482,Other,10,10,2006,INC,100
11,10809,Other,3,3,2006,IND,100
11,11601,Other,1,1,2006,MDMK,100
11,6267,Unknown,3,3,2006,PMC,100
11,11891,Other,2,2,2006,PMK,100
