Assembly_No,MyNeta_education,MLAs_var
16,10th Pass,17
16,12th Pass,24
16,5th Pass,1
16,8th Pass,3
16,Doctorate,2
16,Graduate,21
16,Graduate Professional,23
16,Others,5
16,Post Graduate,21
15,10th Pass,21
15,12th Pass,17
15,5th Pass,1
15,8th Pass,6
15,Graduate,32
15,Graduate Professional,19
15,Others,2
15,Post Graduate,19
14,10th Pass,19
14,12th Pass,18
14,5th Pass,6
14,8th Pass,8
14,Graduate,35
14,Graduate Professional,15
14,Literate,2
14,Others,1
14,Post Graduate,12
14,Unknown,1
13,10th Pass,21
13,12th Pass,16
13,5th Pass,2
13,8th Pass,13
13,Doctorate,1
13,Graduate,28
13,Graduate Professional,15
13,Literate,2
13,Post Graduate,13
13,Unknown,5
