Assembly_No,Total_Candidates,Contesting_Incumbents,Successful_Incumbents,Total_Seats,Turncoats,Successful_Turncoats,Recontesting_Candidates,First_Contests,Second_Contests,Multiple_Contests,No_first_time_winners,First_Contest_Winners,Year,Recontesting_Candidates_pct,First_Contests_pct,Second_Contests_pct,Multiple_Contests_pct,Contesting_Incumbents_pct,Successful_Incumbents_pct,No_first_time_winners_pct,First_Contest_Winners_pct,Incumbent_Strike_Rate,Turncoat_Strike_Rate
16,1304,86,22,117,32,2,222,1026,138,140,94,69,2022,17.02,78.68,10.58,10.74,73.5,18.8,80.34,58.97,25.58,6.25
15,1145,82,37,117,25,6,205,902,116,127,69,54,2017,17.9,78.78,10.13,11.09,70.09,31.62,58.97,46.15,45.12,24
14,1078,78,46,117,12,2,191,860,108,110,58,43,2012,17.72,79.78,10.02,10.2,66.67,39.32,49.57,36.75,58.97,16.67
13,1043,88,34,116,16,8,192,813,108,122,58,33,2007,18.41,77.95,10.35,11.7,75.86,29.31,50,28.45,38.64,50
12,923,79,28,117,32,1,179,701,126,96,60,44,2002,19.39,75.95,13.65,10.4,67.52,23.93,51.28,37.61,35.44,3.12
11,693,77,21,117,11,2,149,485,123,85,71,57,1997,21.5,69.99,17.75,12.27,65.81,17.95,60.68,48.72,27.27,18.18
10,579,34,11,117,3,0,91,460,64,55,91,70,1992,15.72,79.45,11.05,9.5,29.06,9.4,77.78,59.83,32.35,0
9,857,63,27,117,9,1,131,675,96,86,75,63,1985,15.29,78.76,11.2,10.04,53.85,23.08,64.1,53.85,42.86,11.11
8,722,66,35,117,18,4,147,541,104,77,57,42,1980,20.36,74.93,14.4,10.66,56.41,29.91,48.72,35.9,53.03,22.22
7,682,60,22,117,14,8,109,543,79,60,82,67,1977,15.98,79.62,11.58,8.8,51.28,18.8,70.09,57.26,36.67,57.14
6,468,59,29,104,12,3,104,350,86,32,67,56,1972,22.22,74.79,18.38,6.84,56.73,27.88,64.42,53.85,49.15,25
5,471,12,5,104,11,7,24,399,57,15,87,78,1969,5.1,84.71,12.1,3.18,11.54,4.81,83.65,75,41.67,63.64
4,602,14,5,104,5,3,18,584,17,1,99,97,1967,2.99,97.01,2.82,0.17,13.46,4.81,95.19,93.27,35.71,60
3,756,0,0,154,0,0,0,756,0,0,154,154,1962,0,100,0,0,0,0,100,100,0,0
