State_Name,Year,Assembly_No,Party,Total_Seats_in_Assembly,Total_Votes_in_Assembly,Total_Votes_in_Contested_Seats,Total_Candidates,Winners,Deposits_Lost,Strike_Rate,Seat_Share,Vote_Share_in_Assembly,Vote_Share_in_Contested_Seats,position,Expanded_Party_Name
Punjab,2022,16,AAAP,117,15563720,15563720,117,92,1,78.63247863247864,78.63,42.01,42.01,1,AAM AADMI PARTY
Punjab,2022,16,ASPKR,117,15563720,1039580,8,0,8,0.0,0,0.02,0.33,7,
Punjab,2022,16,Aam Aadmi Parivartan Party,117,15563720,199529,1,0,1,0.0,0,0.01,0.4,8,
Punjab,2022,16,Aam Lok Party United,117,15563720,869605,6,0,6,0.0,0,0.01,0.11,9,
Punjab,2022,16,Aas Punjab Party,117,15563720,989968,8,0,8,0.0,0,0.01,0.22,10,
Punjab,2022,16,Akhil Bharatiya Rajarya Sabha,117,15563720,173756,1,0,1,0.0,0,0,0.39,11,
Punjab,2022,16,Akhil Bharatiya Socialist Party,117,15563720,105083,1,0,1,0.0,0,0,0.08,12,
Punjab,2022,16,Apna Sangharsh Kisani Ekta Party,117,15563720,133524,1,0,1,0.0,0,0,0.14,13,
Punjab,2022,16,Apni Ekta Party,117,15563720,369962,3,0,3,0.0,0,0.01,0.35,14,
Punjab,2022,16,Apni Janta Party,117,15563720,112144,1,0,1,0.0,0,0,0.55,15,
Punjab,2022,16,BJP,117,15563720,9666826,73,2,55,2.73972602739726,1.71,6.6,10.63,4,BHARATIYA JANATA PARTY
Punjab,2022,16,BSP,117,15563720,2469889,20,1,15,5.0,0.85,1.77,11.14,5,BAHUJAN SAMAJ PARTY
Punjab,2022,16,Bahujan Mukti Party,117,15563720,2402969,18,0,18,0.0,0,0.03,0.2,16,
Punjab,2022,16,Bahujan Samaj Party  (Ambedkar),117,15563720,1506740,12,0,12,0.0,0,0.05,0.53,17,
Punjab,2022,16,Bharatiya Jan Jagriti Party,117,15563720,263407,2,0,2,0.0,0,0,0.11,18,
Punjab,2022,16,Bharatrashtra Democratic Party,117,15563720,508504,4,0,4,0.0,0,0.01,0.36,19,
Punjab,2022,16,CPI,117,15563720,901840,7,0,7,0.0,0,0.05,0.82,20,COMMUNIST PARTY OF INDIA
Punjab,2022,16,CPI(ML)(L),117,15563720,1544445,11,0,11,0.0,0,0.03,0.33,21,
Punjab,2022,16,CPM,117,15563720,1916609,14,0,14,0.0,0,0.06,0.5,22,COMMUNIST PARTY OF INDIA  (MARXIST)
Punjab,2022,16,Communist Party of India (Marxist-Leninist) Red Star,117,15563720,173756,1,0,1,0.0,0,0,0.37,23,
Punjab,2022,16,Democratic Bharatiya Samaj Party,117,15563720,687585,5,0,5,0.0,0,0.01,0.24,24,
Punjab,2022,16,INC,117,15563720,15563720,117,18,32,15.384615384615385,15.38,22.98,22.98,2,INDIAN NATIONAL CONGRESS
Punjab,2022,16,IND,117,15563720,15563720,459,1,456,0.2178649237472767,0.85,2.94,2.94,6,
Punjab,2022,16,India Praja Bandhu Party,117,15563720,172717,1,0,1,0.0,0,0,0.18,25,
Punjab,2022,16,Insaniyat Lok Vikas Party,117,15563720,1442467,11,0,11,0.0,0,0.01,0.11,26,
Punjab,2022,16,JD(U),117,15563720,293162,2,0,2,0.0,0,0,0.2,27,
Punjab,2022,16,Jai Jawan Jai Kisan Party,117,15563720,1780078,13,0,13,0.0,0,0.03,0.28,28,
Punjab,2022,16,Jan Asra Party,117,15563720,386983,3,0,3,0.0,0,0.01,0.48,29,
Punjab,2022,16,Janta Brigade Party,117,15563720,124499,1,0,1,0.0,0,0,0.15,30,
Punjab,2022,16,Krishak Bharti Party,117,15563720,141308,1,0,1,0.0,0,0,0.21,31,
Punjab,2022,16,LIP,117,15563720,4695380,35,0,35,0.0,0,0.28,0.92,32,LOK INSAAF PARTY
Punjab,2022,16,Marxist Leninist Party of India (Red Flag),117,15563720,291336,2,0,2,0.0,0,0,0.09,33,
Punjab,2022,16,NOTA,117,15563720,15563720,117,0,0,0.0,0,0.71,0.71,34,
Punjab,2022,16,National Apni Party,117,15563720,489418,4,0,4,0.0,0,0.01,0.32,35,
Punjab,2022,16,Nationalist Justice Party,117,15563720,2285570,17,0,17,0.0,0,0.03,0.19,36,
Punjab,2022,16,PLC,117,15563720,3743910,28,0,27,0.0,0,0.54,2.26,37,
Punjab,2022,16,Peoples Party of India (Democratic),117,15563720,2136718,16,0,16,0.0,0,0.03,0.19,38,
Punjab,2022,16,Punjab Kisan Dal,117,15563720,1674926,13,0,13,0.0,0,0.03,0.27,39,
Punjab,2022,16,Punjab Labour Party,117,15563720,139167,1,0,1,0.0,0,0,0.11,40,
Punjab,2022,16,Punjab National Party,117,15563720,968168,7,0,7,0.0,0,0.01,0.14,41,
Punjab,2022,16,RPI(A),117,15563720,433559,3,0,3,0.0,0,0,0.16,42,
Punjab,2022,16,RSP,117,15563720,826495,6,0,6,0.0,0,0.01,0.21,43,
Punjab,2022,16,Rashtrawadi Party of India,117,15563720,112144,1,0,1,0.0,0,0,0.38,44,
Punjab,2022,16,Rashtriya Janhit Sangharsh Party,117,15563720,126822,1,0,1,0.0,0,0,0.12,45,
Punjab,2022,16,Republican Party of India (A),117,15563720,667083,5,0,5,0.0,0,0.01,0.18,46,
Punjab,2022,16,Republican Party of India Ektavadi,117,15563720,281792,2,0,2,0.0,0,0,0.1,47,
Punjab,2022,16,Right to Recall Party,117,15563720,410841,3,0,3,0.0,0,0,0.09,48,
Punjab,2022,16,SAD,117,15563720,13093831,97,3,27,3.0927835051546393,2.56,18.38,21.85,3,SHIROMANI AKALI DAL
Punjab,2022,16,SAD(S),117,15563720,2007728,15,0,14,0.0,0,0.59,4.58,49,
Punjab,2022,16,SP,117,15563720,2407021,18,0,18,0.0,0,0.03,0.22,50,
Punjab,2022,16,Sada Haq Party,117,15563720,122472,1,0,1,0.0,0,0.01,1.59,51,
Punjab,2022,16,Samaj Adhikar Kalyan Party,117,15563720,331880,2,0,2,0.0,0,0,0.17,52,
Punjab,2022,16,Samaj Bhalai Morcha,117,15563720,115506,1,0,1,0.0,0,0,0.2,53,
Punjab,2022,16,Samajik Sangharsh Party,117,15563720,913027,7,0,7,0.0,0,0.02,0.39,54,
Punjab,2022,16,Sanjhi Virasat Party,117,15563720,487091,4,0,4,0.0,0,0.01,0.22,55,
Punjab,2022,16,Sanyukt Sangharsh Party,117,15563720,1318775,10,0,10,0.0,0,0.11,1.28,56,
Punjab,2022,16,Sarav Sanjhi Party,117,15563720,127907,1,0,1,0.0,0,0,0.43,57,
Punjab,2022,16,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),117,15563720,10737275,81,0,79,0.0,0,2.48,3.6,58,
Punjab,2022,16,Vishal Party of India,117,15563720,122472,1,0,1,0.0,0,0,0.14,59,
Punjab,2017,15,AAAP,117,15443460,14875506,112,20,28,17.857142857142858,17.09,23.72,24.62,2,AAM AADMI PARTY
Punjab,2017,15,ABSD,117,15443460,325298,3,0,3,0.0,0,0,0.23,6,
Punjab,2017,15,AITC,117,15443460,2684195,20,0,20,0.0,0,0.07,0.39,7,
Punjab,2017,15,APPA,117,15443460,10226128,78,0,78,0.0,0,0.24,0.37,8,
Punjab,2017,15,BASD,117,15443460,167482,1,0,1,0.0,0,0,0.11,9,
Punjab,2017,15,BDPTY,117,15443460,750520,6,0,6,0.0,0,0.01,0.3,10,
Punjab,2017,15,BGTD,117,15443460,146668,1,0,1,0.0,0,0,0.17,11,
Punjab,2017,15,BIRK,117,15443460,140803,1,0,1,0.0,0,0,0.06,12,
Punjab,2017,15,BJP,117,15443460,2781911,23,3,1,13.043478260869565,2.56,5.39,29.95,4,BHARATIYA JANATA PARTY
Punjab,2017,15,BMUP,117,15443460,1882484,14,0,14,0.0,0,0.02,0.16,13,
Punjab,2017,15,BRP,117,15443460,146984,1,0,1,0.0,0,0,0.27,14,
Punjab,2017,15,BRPP,117,15443460,243047,2,0,2,0.0,0,0.01,0.34,15,
Punjab,2017,15,BSP,117,15443460,14711235,111,0,110,0.0,0,1.52,1.59,16,BAHUJAN SAMAJ PARTY
Punjab,2017,15,BSP(A),117,15443460,1528952,12,0,12,0.0,0,0.04,0.42,17,
Punjab,2017,15,CPI,117,15443460,3063223,23,0,23,0.0,0,0.22,1.11,18,COMMUNIST PARTY OF INDIA
Punjab,2017,15,CPI(ML)(L),117,15443460,1156667,8,0,8,0.0,0,0.06,0.83,19,
Punjab,2017,15,CPIM,117,15443460,127298,1,0,1,0.0,0,0,0.3,20,
Punjab,2017,15,CPM,117,15443460,1588067,12,0,12,0.0,0,0.07,0.69,21,COMMUNIST PARTY OF INDIA  (MARXIST)
Punjab,2017,15,DBSP,117,15443460,224290,2,0,2,0.0,0,0,0.2,22,
Punjab,2017,15,DCP,117,15443460,107550,1,0,1,0.0,0,0,0.16,23,
Punjab,2017,15,DEMSWP,117,15443460,2391949,19,0,19,0.0,0,0.06,0.42,24,
Punjab,2017,15,DPI,117,15443460,261797,2,0,2,0.0,0,0.01,0.32,25,
Punjab,2017,15,DPIN,117,15443460,965454,8,0,8,0.0,0,0.02,0.3,26,
Punjab,2017,15,HINUP,117,15443460,762684,6,0,6,0.0,0,0.01,0.2,27,
Punjab,2017,15,HND,117,15443460,123179,1,0,1,0.0,0,0,0.13,28,
Punjab,2017,15,HSS,117,15443460,1967002,15,0,15,0.0,0,0.03,0.21,29,
Punjab,2017,15,IKL,117,15443460,559723,4,0,4,0.0,0,0.01,0.18,30,
Punjab,2017,15,INC,117,15443460,15443460,117,77,2,65.8119658119658,65.81,38.5,38.5,1,INDIAN NATIONAL CONGRESS
Punjab,2017,15,IND,117,15443460,15443460,303,0,300,0.0,0,2.09,2.09,31,
Punjab,2017,15,IUML,117,15443460,126255,1,0,1,0.0,0,0,0.42,32,
Punjab,2017,15,IVD,117,15443460,249970,2,0,2,0.0,0,0.01,0.32,33,
Punjab,2017,15,JJJKP,117,15443460,1041217,8,0,8,0.0,0,0.01,0.19,34,
Punjab,2017,15,JKNPP,117,15443460,438326,3,0,3,0.0,0,0.01,0.22,35,
