State_Name,Year,Assembly_No,Constituency_No,Constituency_Name,Constituency_Type,Candidate,Party,Votes,Position,Vote_Share_Percentage,Last_Position,Last_Candidate,Position_Change,Vote_Share_Change_pct
Punjab,2022,16,1,SUJANPUR,GEN,NARESH PURI,INC,46916,1,36.27,2,AMIT SINGH,1,12.17
Punjab,2022,16,1,SUJANPUR,GEN,DINESH SINGH (BABBU),BJP,42280,2,32.69,1,DINESH SINGH,-1,-6.32
Punjab,2022,16,1,SUJANPUR,GEN,AMIT SINGH (MANTO),AAAP,29310,3,22.66,5,KULBHUSHAN SINGH,2,20.4
Punjab,2022,16,1,SUJANPUR,GEN,RAJ KUMAR GUPTA (BITTU),SAD,7999,4,6.18,,,,6.18
Punjab,2022,16,1,SUJANPUR,GEN,None Of The Above,NOTA,801,5,0.62,7,None of the Above,2,-0.18
Punjab,2022,16,1,SUJANPUR,GEN,MANDEEP KAUR,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),704,6,0.54,,,,0.54
Punjab,2022,16,2,BHOA,SC,LAL CHAND,AAAP,50339,1,36.59,4,AMARJEET SINGH,3,33.72
Punjab,2022,16,2,BHOA,SC,JOGINDER PAL,INC,49135,2,35.72,1,JOGINDER PAL,-1,-16.05
Punjab,2022,16,2,BHOA,SC,SEEMA KUMARI,BJP,29132,3,21.18,2,SEEMA KUMARI,-1,-9.61
Punjab,2022,16,2,BHOA,SC,RAKESH KUMAR,BSP,5046,4,3.67,6,CHAIN SINGH,2,3.14
Punjab,2022,16,2,BHOA,SC,MUNISH KUMAR,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),1118,5,0.81,,,,0.81
Punjab,2022,16,2,BHOA,SC,None Of The Above,NOTA,749,6,0.54,11,None of the Above,5,0.19
Punjab,2022,16,3,PATHANKOT,GEN,ASHWANI KUMAR SHARMA,BJP,43132,1,38.01,2,ASHWANI KUMAR,1,-2.78
Punjab,2022,16,3,PATHANKOT,GEN,AMIT VIJ,INC,35373,2,31.17,1,AMIT,-1,-19.69
Punjab,2022,16,3,PATHANKOT,GEN,VIBHUTI SHARMA,AAAP,31451,3,27.72,3,RAJ KUMAR,0,22.27
Punjab,2022,16,3,PATHANKOT,GEN,ADVOCATE JYOTI PAL BHIM,BSP,1079,4,0.95,6,ANKUR KHAJURIA,2,0.53
Punjab,2022,16,3,PATHANKOT,GEN,KARTAR SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),955,5,0.84,,,,0.84
Punjab,2022,16,3,PATHANKOT,GEN,SATYA DEV SAINI,CPI,824,6,0.73,,,,0.73
