State_Name,Year,Assembly_No,Party,Total_Cand,Winners,Deposit_Lost,Avg_Winning_Margin,Strike_Rate,position
Punjab,2022,16,AAAP,117,92,1,15.44,78.63,1
Punjab,2022,16,BJP,73,2,55,0.12,2.74,5
Punjab,2022,16,BSP,20,1,15,0.22,5.0,3
Punjab,2022,16,INC,117,18,32,0.76,15.38,2
Punjab,2022,16,IND,459,1,456,0.02,0.22,6
Punjab,2022,16,SAD,97,3,27,0.31,3.09,4
Punjab,2017,15,AAAP,112,20,28,1.8,17.86,3
Punjab,2017,15,BJP,23,3,1,0.83,13.04,5
Punjab,2017,15,INC,117,77,2,9.05,65.81,1
Punjab,2017,15,LIP,6,2,2,7.7,33.33,2
Punjab,2017,15,SAD,94,15,2,1.18,15.96,4
Punjab,2012,14,BJP,23,12,1,4.95,52.17,2
Punjab,2012,14,INC,117,46,4,3.48,39.32,3
Punjab,2012,14,IND,418,3,405,0.18,0.72,4
Punjab,2012,14,SAD,94,56,0,4.48,59.57,1
Punjab,2007,13,BJP,23,19,0,7.72,82.61,1
Punjab,2007,13,INC,116,44,4,2.48,37.93,3
Punjab,2007,13,IND,431,5,416,0.05,1.16,4
Punjab,2007,13,SAD,93,48,0,5.99,51.61,2
Punjab,2002,12,BJP,23,3,1,0.76,13.04,4
Punjab,2002,12,CPI,11,2,5,0.86,18.18,3
Punjab,2002,12,INC,105,62,3,7.59,59.05,1
Punjab,2002,12,IND,274,9,250,0.14,3.28,5
Punjab,2002,12,SAD,92,41,2,5.18,44.57,2
Punjab,1997,11,BJP,22,18,0,17.18,81.82,1
Punjab,1997,11,BSP,67,1,45,0.02,1.49,7
Punjab,1997,11,CPI,15,2,6,0.59,13.33,3
Punjab,1997,11,INC,105,14,15,0.87,13.33,4
Punjab,1997,11,IND,244,6,218,0.27,2.46,6
Punjab,1997,11,SAD,92,75,0,14.59,81.52,2
Punjab,1997,11,SAD(M),30,1,23,0.11,3.33,5
Punjab,1992,10,BJP,66,6,25,0.7,9.09,5
Punjab,1992,10,BSP,105,9,54,0.96,8.57,6
Punjab,1992,10,CPI,20,4,10,7.2,20.0,4
Punjab,1992,10,CPM,17,1,9,1.11,5.88,7
Punjab,1992,10,INC,116,87,4,18,75.0,2
Punjab,1992,10,IND,151,4,137,0.33,2.65,10
Punjab,1992,10,IPF,2,1,1,5.16,50.0,3
Punjab,1992,10,JD,37,1,33,0,2.7,9
Punjab,1992,10,SAD,58,3,38,0.48,5.17,8
Punjab,1992,10,UCPI,1,1,0,12.71,100.0,1
Punjab,1985,9,BJP,26,6,12,2.54,23.08,3
Punjab,1985,9,CPI,38,1,29,0.22,2.63,5
Punjab,1985,9,INC,117,32,4,3.56,27.35,2
Punjab,1985,9,IND,542,4,519,0.09,0.74,6
Punjab,1985,9,JNP,5,1,2,3.26,20.0,4
Punjab,1985,9,SAD,100,73,3,9.76,73.0,1
Punjab,1980,8,BJP,41,1,19,0.06,2.44,5
Punjab,1980,8,CPI,18,9,1,6.98,50.0,3
Punjab,1980,8,CPM,13,5,1,5.4,38.46,4
Punjab,1980,8,INC(I),117,63,0,6.27,53.85,1
Punjab,1980,8,IND,376,2,364,0.08,0.53,6
Punjab,1980,8,SAD,73,37,7,4.81,50.68,2
Punjab,1977,7,CPI,18,7,0,4.8,38.89,4
Punjab,1977,7,CPM,8,8,0,14.1,100.0,1
Punjab,1977,7,INC,96,17,2,1.5,17.71,5
Punjab,1977,7,IND,435,2,418,0.02,0.46,6
Punjab,1977,7,JNP,41,25,2,5.44,60.98,3
Punjab,1977,7,SAD,70,58,1,12.47,82.86,2
Punjab,1972,6,CPI,13,10,0,15.75,76.92,1
Punjab,1972,6,CPM,17,1,8,1.19,5.88,4
Punjab,1972,6,INC,89,66,1,13.52,74.16,2
Punjab,1972,6,IND,205,3,179,0.06,1.46,5
Punjab,1972,6,SAD,72,24,9,3.48,33.33,3
Punjab,1969,5,BJS,30,8,6,2.18,26.67,5
Punjab,1969,5,CPI,28,4,17,1.45,14.29,8
Punjab,1969,5,CPM,10,2,2,1.93,20.0,6
Punjab,1969,5,INC,103,38,4,3.75,36.89,2
Punjab,1969,5,IND,160,4,143,0.26,2.5,10
Punjab,1969,5,PJP,16,1,12,0.74,6.25,9
Punjab,1969,5,PSP,3,1,2,3.49,33.33,3
Punjab,1969,5,SAD,65,43,2,8.6,66.15,1
Punjab,1969,5,SSP,7,2,5,1.75,28.57,4
Punjab,1969,5,SWA,6,1,4,1.68,16.67,7
Punjab,1967,4,ADM,61,2,54,0.16,3.28,9
Punjab,1967,4,ADS,59,24,10,6.06,40.68,2
Punjab,1967,4,BJS,49,9,26,2.47,18.37,5
Punjab,1967,4,CPI,19,5,5,3.47,26.32,3
Punjab,1967,4,CPM,13,3,5,3.68,23.08,4
Punjab,1967,4,INC,102,48,1,5.09,47.06,1
Punjab,1967,4,IND,255,9,229,0.65,3.53,8
Punjab,1967,4,RPI,17,3,14,1.2,17.65,6
Punjab,1967,4,SSP,8,1,6,1.01,12.5,7
Punjab,1962,3,AD,46,19,3,4.96,41.3,3
Punjab,1962,3,CPI,47,9,23,1.76,19.15,5
Punjab,1962,3,HLS,8,3,1,2.4,37.5,4
Punjab,1962,3,INC,154,90,1,8.42,58.44,1
Punjab,1962,3,IND,330,18,286,0.64,5.45,8
Punjab,1962,3,JS,80,8,47,0.81,10.0,6
Punjab,1962,3,SOC,8,4,4,5.52,50.0,2
Punjab,1962,3,SWA,42,3,30,0.73,7.14,7
