Assembly_No,TCPD_Prof_Main,MLAs_var
16,Agriculture,15
16,Business,39
16,Education,3
16,Former Government,1
16,Liberal Profession or Professional,22
16,Other,13
16,Politics,9
16,Retired or Pension,4
16,Salaried Work or Employed,7
16,Small Business or Self-employed,1
16,Social Work,3
15,Agriculture,29
15,Business,39
15,Former Government,2
15,Liberal Profession or Professional,8
15,Other,14
15,Politics,11
15,Retired or Pension,2
15,Salaried Work or Employed,4
15,Small Business or Self-employed,2
15,Social Work,4
15,Unemployed,2
14,Agriculture,22
14,Business,39
14,Former Government,2
14,Liberal Profession or Professional,6
14,Other,24
14,Politics,16
14,Retired or Pension,2
14,Salaried Work or Employed,2
14,Social Work,3
14,Unknown,1
13,Other,114
13,Unknown,2
