Assembly_No,Party_ID,MyNeta_education,MLAs_var_Party,Party_MLAs,Year,Party,pty_mla_var_perc
16,13,10th Pass,12,92,2022,AAAP,13.04
16,13,12th Pass,19,92,2022,AAAP,20.65
16,13,5th Pass,1,92,2022,AAAP,1.09
16,13,8th Pass,3,92,2022,AAAP,3.26
16,13,Doctorate,2,92,2022,AAAP,2.17
16,13,Graduate,12,92,2022,AAAP,13.04
16,13,Graduate Professional,22,92,2022,AAAP,23.91
16,13,Others,4,92,2022,AAAP,4.35
16,13,Post Graduate,17,92,2022,AAAP,18.48
16,1605,10th Pass,1,2,2022,BJP,50
16,1605,Graduate,1,2,2022,BJP,50
16,16651,12th Pass,1,1,2022,BSP,100
16,3482,10th Pass,4,18,2022,INC,22.22
16,3482,12th Pass,3,18,2022,INC,16.67
16,3482,Graduate,7,18,2022,INC,38.89
16,3482,Graduate Professional,1,18,2022,INC,5.56
16,3482,Others,1,18,2022,INC,5.56
16,3482,Post Graduate,2,18,2022,INC,11.11
16,10809,Post Graduate,1,1,2022,IND,100
16,16994,12th Pass,1,3,2022,SAD,33.33
16,16994,Graduate,1,3,2022,SAD,33.33
16,16994,Post Graduate,1,3,2022,SAD,33.33
15,13,10th Pass,2,20,2017,AAAP,10
15,13,12th Pass,5,20,2017,AAAP,25
15,13,Graduate,3,20,2017,AAAP,15
15,13,Graduate Professional,4,20,2017,AAAP,20
15,13,Others,1,20,2017,AAAP,5
15,13,Post Graduate,5,20,2017,AAAP,25
15,1605,12th Pass,1,3,2017,BJP,33.33
15,1605,Graduate Professional,1,3,2017,BJP,33.33
15,1605,Post Graduate,1,3,2017,BJP,33.33
15,3482,10th Pass,18,77,2017,INC,23.38
15,3482,12th Pass,10,77,2017,INC,12.99
15,3482,8th Pass,6,77,2017,INC,7.79
15,3482,Graduate,22,77,2017,INC,28.57
15,3482,Graduate Professional,10,77,2017,INC,12.99
15,3482,Others,1,77,2017,INC,1.3
15,3482,Post Graduate,10,77,2017,INC,12.99
15,5015,Graduate,2,2,2017,LIP,100
15,16994,10th Pass,1,15,2017,SAD,6.67
15,16994,12th Pass,1,15,2017,SAD,6.67
15,16994,5th Pass,1,15,2017,SAD,6.67
15,16994,Graduate,5,15,2017,SAD,33.33
15,16994,Graduate Professional,4,15,2017,SAD,26.67
15,16994,Post Graduate,3,15,2017,SAD,20
14,1605,10th Pass,1,12,2012,BJP,8.33
14,1605,12th Pass,3,12,2012,BJP,25
14,1605,5th Pass,1,12,2012,BJP,8.33
14,1605,8th Pass,1,12,2012,BJP,8.33
14,1605,Graduate,2,12,2012,BJP,16.67
14,1605,Graduate Professional,2,12,2012,BJP,16.67
14,1605,Post Graduate,2,12,2012,BJP,16.67
14,3482,10th Pass,11,46,2012,INC,23.91
14,3482,12th Pass,8,46,2012,INC,17.39
14,3482,5th Pass,2,46,2012,INC,4.35
14,3482,8th Pass,1,46,2012,INC,2.17
14,3482,Graduate,17,46,2012,INC,36.96
14,3482,Graduate Professional,4,46,2012,INC,8.7
14,3482,Post Graduate,3,46,2012,INC,6.52
14,10809,Graduate,2,3,2012,IND,66.67
14,10809,Unknown,1,3,2012,IND,33.33
14,16994,10th Pass,7,56,2012,SAD,12.5
14,16994,12th Pass,7,56,2012,SAD,12.5
14,16994,5th Pass,3,56,2012,SAD,5.36
14,16994,8th Pass,6,56,2012,SAD,10.71
14,16994,Graduate,14,56,2012,SAD,25
14,16994,Graduate Professional,9,56,2012,SAD,16.07
14,16994,Literate,2,56,2012,SAD,3.57
14,16994,Others,1,56,2012,SAD,1.79
14,16994,Post Graduate,7,56,2012,SAD,12.5
13,1605,10th Pass,4,19,2007,BJP,21.05
13,1605,12th Pass,4,19,2007,BJP,21.05
13,1605,8th Pass,1,19,2007,BJP,5.26
13,1605,Graduate,3,19,2007,BJP,15.79
13,1605,Graduate Professional,2,19,2007,BJP,10.53
13,1605,Post Graduate,5,19,2007,BJP,26.32
13,3482,10th Pass,8,44,2007,INC,18.18
13,3482,12th Pass,6,44,2007,INC,13.64
13,3482,5th Pass,1,44,2007,INC,2.27
13,3482,8th Pass,4,44,2007,INC,9.09
13,3482,Graduate,16,44,2007,INC,36.36
13,3482,Graduate Professional,3,44,2007,INC,6.82
13,3482,Literate,1,44,2007,INC,2.27
13,3482,Post Graduate,2,44,2007,INC,4.55
13,3482,Unknown,3,44,2007,INC,6.82
13,10809,8th Pass,2,5,2007,IND,40
13,10809,Graduate,1,5,2007,IND,20
13,10809,Graduate Professional,2,5,2007,IND,40
13,16994,10th Pass,9,48,2007,SAD,18.75
13,16994,12th Pass,6,48,2007,SAD,12.5
13,16994,5th Pass,1,48,2007,SAD,2.08
13,16994,8th Pass,6,48,2007,SAD,12.5
13,16994,Doctorate,1,48,2007,SAD,2.08
13,16994,Graduate,8,48,2007,SAD,16.67
13,16994,Graduate Professional,8,48,2007,SAD,16.67
13,16994,Literate,1,48,2007,SAD,2.08
13,16994,Post Graduate,6,48,2007,SAD,12.5
13,16994,Unknown,2,48,2007,SAD,4.17
