Assembly_No,Total_Candidates,No_Incumbents,Successful_Incumbents,Total_Seats,Turncoats,Successful_Turncoats,No_Recontests,First_contests,Second_contests,Multiple_contests,No_first_time_winners,First_Contest_winners,Year,Party_ID,pty_Total_Candidates,pty_Incumbents,pty_Turncoats,pty_Recontests,pty_First_contests,pty_Second_contests,pty_Multiple_contests,pty_first_time_winners,pty_First_Contest_winners,pty_Successful_Incumbents,pty_Successful_Turncoats,Party,pty_recontests_pct,Color,pty_incm_recontests_pct,hover_pty_incm_recontests_pct,pty_incm_Strike_Rate,hover_pty_incm_Strike_Rate,pty_turn_Strike_Rate,hover_pty_turn_Strike_Rate,pty_fist_time_winners_pct
16,1304,86,22,117,32,2,222,1026,138,140,94,69,2022,13,117,9,5,31,79,29,9,83,62,9,1,AAAP,13.96,#87CEEB,10.47,9 (10.47%),100,100.0% (9/9),20,20.0% (1/5),88.3
16,1304,86,22,117,32,2,222,1026,138,140,94,69,2022,24926,8,0,0,0,8,0,0,0,0,0,0,ASPKR,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
16,1304,86,22,117,32,2,222,1026,138,140,94,69,2022,25075,1,0,0,0,1,0,0,0,0,0,0,Aam Aadmi Parivartan Party,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
16,1304,86,22,117,32,2,222,1026,138,140,94,69,2022,25070,6,0,0,0,6,0,0,0,0,0,0,Aam Lok Party United,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
16,1304,86,22,117,32,2,222,1026,138,140,94,69,2022,25059,8,0,0,0,8,0,0,0,0,0,0,Aas Punjab Party,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
16,1304,86,22,117,32,2,222,1026,138,140,94,69,2022,8759,1,0,0,0,1,0,0,0,0,0,0,Akhil Bharatiya Rajarya Sabha,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
16,1304,86,22,117,32,2,222,1026,138,140,94,69,2022,385,1,0,1,1,0,0,1,0,0,0,0,Akhil Bharatiya Socialist Party,0.45,,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/1),0
16,1304,86,22,117,32,2,222,1026,138,140,94,69,2022,25069,1,0,0,0,1,0,0,0,0,0,0,Apna Sangharsh Kisani Ekta Party,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
16,1304,86,22,117,32,2,222,1026,138,140,94,69,2022,25074,3,0,0,0,3,0,0,0,0,0,0,Apni Ekta Party,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
16,1304,86,22,117,32,2,222,1026,138,140,94,69,2022,25066,1,0,0,0,1,0,0,0,0,0,0,Apni Janta Party,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
16,1304,86,22,117,32,2,222,1026,138,140,94,69,2022,1605,73,2,6,16,53,8,12,2,1,0,0,BJP,7.21,#ff9933,2.33,2 (2.33%),0,0.0% (0/2),0,0.0% (0/6),2.13
16,1304,86,22,117,32,2,222,1026,138,140,94,69,2022,16651,20,0,0,4,16,4,0,1,0,0,0,BSP,1.8,#003399,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),1.06
